time,displacement
-179.960462,-0.00154662
-179.910462,-0.00155600
-179.860462,-0.00156541
-179.810462,-0.00157483
-179.760462,-0.00158426
-179.710462,-0.00159372
-179.660462,-0.00160318
-179.610462,-0.00161267
-179.560462,-0.00162215
-179.510462,-0.00163166
-179.460462,-0.00164114
-179.410462,-0.00165067
-179.360462,-0.00166015
-179.310462,-0.00166969
-179.260462,-0.00167917
-179.210462,-0.00168871
-179.160462,-0.00169818
-179.110462,-0.00170772
-179.060462,-0.00171719
-179.010462,-0.00172674
-178.960462,-0.00173619
-178.910462,-0.00174574
-178.860462,-0.00175517
-178.810462,-0.00176470
-178.760462,-0.00177410
-178.710462,-0.00178358
-178.660462,-0.00179290
-178.610462,-0.00180230
-178.560462,-0.00181152
-178.510462,-0.00182081
-178.460462,-0.00182991
-178.410462,-0.00183907
-178.360462,-0.00184804
-178.310462,-0.00185706
-178.260462,-0.00186592
-178.210462,-0.00187481
-178.160462,-0.00188354
-178.110462,-0.00189231
-178.060462,-0.00190094
-178.010462,-0.00190964
-177.960462,-0.00191820
-177.910462,-0.00192683
-177.860462,-0.00193533
-177.810462,-0.00194391
-177.760462,-0.00195238
-177.710462,-0.00196093
-177.660462,-0.00196944
-177.610462,-0.00197799
-177.560462,-0.00198654
-177.510462,-0.00199510
-177.460462,-0.00200368
-177.410462,-0.00201225
-177.360462,-0.00202084
-177.310462,-0.00202939
-177.260462,-0.00203803
-177.210462,-0.00204659
-177.160462,-0.00205533
-177.110462,-0.00206395
-177.060462,-0.00207281
-177.010462,-0.00208154
-176.960462,-0.00209054
-176.910462,-0.00209939
-176.860462,-0.00210857
-176.810462,-0.00211752
-176.760462,-0.00212687
-176.710462,-0.00213594
-176.660462,-0.00214545
-176.610462,-0.00215460
-176.560462,-0.00216421
-176.510462,-0.00217341
-176.460462,-0.00218310
-176.410462,-0.00219230
-176.360462,-0.00220200
-176.310462,-0.00221119
-176.260462,-0.00222087
-176.210462,-0.00222999
-176.160462,-0.00223966
-176.110462,-0.00224871
-176.060462,-0.00225835
-176.010462,-0.00226737
-175.960462,-0.00227696
-175.910462,-0.00228593
-175.860462,-0.00229551
-175.810462,-0.00230447
-175.760462,-0.00231406
-175.710462,-0.00232300
-175.660462,-0.00233252
-175.610462,-0.00234136
-175.560462,-0.00235078
-175.510462,-0.00235947
-175.460462,-0.00236879
-175.410462,-0.00237741
-175.360462,-0.00238661
-175.310462,-0.00239516
-175.260462,-0.00240436
-175.210462,-0.00241292
-175.160462,-0.00242207
-175.110462,-0.00243069
-175.060462,-0.00243983
-175.010462,-0.00244844
-174.960462,-0.00245759
-174.910462,-0.00246622
-174.860462,-0.00247531
-174.810462,-0.00248387
-174.760462,-0.00249284
-174.710462,-0.00250128
-174.660462,-0.00251005
-174.610462,-0.00251828
-174.560462,-0.00252681
-174.510462,-0.00253484
-174.460462,-0.00254315
-174.410462,-0.00255104
-174.360462,-0.00255926
-174.310462,-0.00256705
-174.260462,-0.00257526
-174.210462,-0.00258309
-174.160462,-0.00259145
-174.110462,-0.00259949
-174.060462,-0.00260810
-174.010462,-0.00261636
-173.960462,-0.00262523
-173.910462,-0.00263372
-173.860462,-0.00264281
-173.810462,-0.00265142
-173.760462,-0.00266059
-173.710462,-0.00266916
-173.660462,-0.00267830
-173.610462,-0.00268671
-173.560462,-0.00269576
-173.510462,-0.00270406
-173.460462,-0.00271305
-173.410462,-0.00272128
-173.360462,-0.00273034
-173.310462,-0.00273866
-173.260462,-0.00274789
-173.210462,-0.00275638
-173.160462,-0.00276590
-173.110462,-0.00277470
-173.060462,-0.00278453
-173.010462,-0.00279357
-172.960462,-0.00280377
-172.910462,-0.00281315
-172.860462,-0.00282365
-172.810462,-0.00283324
-172.760462,-0.00284400
-172.710462,-0.00285373
-172.660462,-0.00286466
-172.610462,-0.00287455
-172.560462,-0.00288565
-172.510462,-0.00289570
-172.460462,-0.00290691
-172.410462,-0.00291707
-172.360462,-0.00292827
-172.310462,-0.00293832
-172.260462,-0.00294934
-172.210462,-0.00295926
-172.160462,-0.00297011
-172.110462,-0.00297980
-172.060462,-0.00299040
-172.010462,-0.00299988
-171.960462,-0.00301017
-171.910462,-0.00301927
-171.860462,-0.00302910
-171.810462,-0.00303769
-171.760462,-0.00304699
-171.710462,-0.00305499
-171.660462,-0.00306363
-171.610462,-0.00307103
-171.560462,-0.00307901
-171.510462,-0.00308587
-171.460462,-0.00309345
-171.410462,-0.00309999
-171.360462,-0.00310722
-171.310462,-0.00311351
-171.260462,-0.00312048
-171.210462,-0.00312665
-171.160462,-0.00313336
-171.110462,-0.00313923
-171.060462,-0.00314553
-171.010462,-0.00315106
-170.960462,-0.00315691
-170.910462,-0.00316209
-170.860462,-0.00316757
-170.810462,-0.00317242
-170.760462,-0.00317756
-170.710462,-0.00318220
-170.660462,-0.00318718
-170.610462,-0.00319169
-170.560462,-0.00319661
-170.510462,-0.00320117
-170.460462,-0.00320606
-170.410462,-0.00321071
-170.360462,-0.00321560
-170.310462,-0.00322029
-170.260462,-0.00322528
-170.210462,-0.00323009
-170.160462,-0.00323524
-170.110462,-0.00324024
-170.060462,-0.00324555
-170.010462,-0.00325073
-169.960462,-0.00325622
-169.910462,-0.00326168
-169.860462,-0.00326734
-169.810462,-0.00327298
-169.760462,-0.00327880
-169.710462,-0.00328455
-169.660462,-0.00329040
-169.610462,-0.00329618
-169.560462,-0.00330209
-169.510462,-0.00330798
-169.460462,-0.00331401
-169.410462,-0.00332016
-169.360462,-0.00332668
-169.310462,-0.00333327
-169.260462,-0.00334012
-169.210462,-0.00334697
-169.160462,-0.00335399
-169.110462,-0.00336083
-169.060462,-0.00336777
-169.010462,-0.00337453
-168.960462,-0.00338127
-168.910462,-0.00338799
-168.860462,-0.00339485
-168.810462,-0.00340177
-168.760462,-0.00340878
-168.710462,-0.00341591
-168.660462,-0.00342313
-168.610462,-0.00343044
-168.560462,-0.00343779
-168.510462,-0.00344532
-168.460462,-0.00345291
-168.410462,-0.00346056
-168.360462,-0.00346829
-168.310462,-0.00347624
-168.260462,-0.00348429
-168.210462,-0.00349259
-168.160462,-0.00350078
-168.110462,-0.00350922
-168.060462,-0.00351756
-168.010462,-0.00352626
-167.960462,-0.00353474
-167.910462,-0.00354362
-167.860462,-0.00355223
-167.810462,-0.00356126
-167.760462,-0.00356997
-167.710462,-0.00357901
-167.660462,-0.00358767
-167.610462,-0.00359659
-167.560462,-0.00360504
-167.510462,-0.00361369
-167.460462,-0.00362174
-167.410462,-0.00362998
-167.360462,-0.00363757
-167.310462,-0.00364540
-167.260462,-0.00365241
-167.210462,-0.00365972
-167.160462,-0.00366609
-167.110462,-0.00367275
-167.060462,-0.00367852
-167.010462,-0.00368452
-166.960462,-0.00368965
-166.910462,-0.00369508
-166.860462,-0.00369957
-166.810462,-0.00370444
-166.760462,-0.00370837
-166.710462,-0.00371277
-166.660462,-0.00371631
-166.610462,-0.00372034
-166.560462,-0.00372362
-166.510462,-0.00372744
-166.460462,-0.00373070
-166.410462,-0.00373444
-166.360462,-0.00373779
-166.310462,-0.00374172
-166.260462,-0.00374527
-166.210462,-0.00374940
-166.160462,-0.00375335
-166.110462,-0.00375773
-166.060462,-0.00376183
-166.010462,-0.00376623
-165.960462,-0.00377051
-165.910462,-0.00377500
-165.860462,-0.00377949
-165.810462,-0.00378406
-165.760462,-0.00378865
-165.710462,-0.00379319
-165.660462,-0.00379774
-165.610462,-0.00380228
-165.560462,-0.00380704
-165.510462,-0.00381164
-165.460462,-0.00381668
-165.410462,-0.00382150
-165.360462,-0.00382698
-165.310462,-0.00383218
-165.260462,-0.00383827
-165.210462,-0.00384408
-165.160462,-0.00385089
-165.110462,-0.00385722
-165.060462,-0.00386476
-165.010462,-0.00387150
-164.960462,-0.00387951
-164.910462,-0.00388651
-164.860462,-0.00389469
-164.810462,-0.00390161
-164.760462,-0.00390962
-164.710462,-0.00391622
-164.660462,-0.00392377
-164.610462,-0.00392968
-164.560462,-0.00393658
-164.510462,-0.00394164
-164.460462,-0.00394777
-164.410462,-0.00395213
-164.360462,-0.00395772
-164.310462,-0.00396160
-164.260462,-0.00396677
-164.210462,-0.00397022
-164.160462,-0.00397501
-164.110462,-0.00397824
-164.060462,-0.00398280
-164.010462,-0.00398572
-163.960462,-0.00398991
-163.910462,-0.00399242
-163.860462,-0.00399602
-163.810462,-0.00399805
-163.760462,-0.00400099
-163.710462,-0.00400266
-163.660462,-0.00400511
-163.610462,-0.00400660
-163.560462,-0.00400882
-163.510462,-0.00401034
-163.460462,-0.00401261
-163.410462,-0.00401440
-163.360462,-0.00401675
-163.310462,-0.00401910
-163.260462,-0.00402164
-163.210462,-0.00402435
-163.160462,-0.00402716
-163.110462,-0.00403032
-163.060462,-0.00403321
-163.010462,-0.00403673
-162.960462,-0.00403956
-162.910462,-0.00404339
-162.860462,-0.00404632
-162.810462,-0.00405051
-162.760462,-0.00405356
-162.710462,-0.00405821
-162.660462,-0.00406139
-162.610462,-0.00406651
-162.560462,-0.00406994
-162.510462,-0.00407542
-162.460462,-0.00407894
-162.410462,-0.00408487
-162.360462,-0.00408869
-162.310462,-0.00409512
-162.260462,-0.00409924
-162.210462,-0.00410616
-162.160462,-0.00411041
-162.110462,-0.00411757
-162.060462,-0.00412209
-162.010462,-0.00412947
-161.960462,-0.00413389
-161.910462,-0.00414126
-161.860462,-0.00414544
-161.810462,-0.00415246
-161.760462,-0.00415599
-161.710462,-0.00416247
-161.660462,-0.00416544
-161.610462,-0.00417128
-161.560462,-0.00417371
-161.510462,-0.00417908
-161.460462,-0.00418101
-161.410462,-0.00418585
-161.360462,-0.00418742
-161.310462,-0.00419187
-161.260462,-0.00419292
-161.210462,-0.00419701
-161.160462,-0.00419784
-161.110462,-0.00420149
-161.060462,-0.00420203
-161.010462,-0.00420523
-160.960462,-0.00420538
-160.910462,-0.00420819
-160.860462,-0.00420816
-160.810462,-0.00421074
-160.760462,-0.00421050
-160.710462,-0.00421278
-160.660462,-0.00421241
-160.610462,-0.00421449
-160.560462,-0.00421407
-160.510462,-0.00421583
