time,displacement
-179.985462,0.00037675
-179.960462,0.00037572
-179.935462,0.00037470
-179.910462,0.00037367
-179.885462,0.00037264
-179.860462,0.00037160
-179.835462,0.00037058
-179.810462,0.00036955
-179.785462,0.00036850
-179.760462,0.00036746
-179.735462,0.00036644
-179.710462,0.00036540
-179.685462,0.00036435
-179.660462,0.00036331
-179.635462,0.00036227
-179.610462,0.00036123
-179.585462,0.00036018
-179.560462,0.00035911
-179.535462,0.00035805
-179.510462,0.00035701
-179.485462,0.00035597
-179.460462,0.00035487
-179.435462,0.00035381
-179.410462,0.00035277
-179.385462,0.00035169
-179.360462,0.00035063
-179.335462,0.00034955
-179.310462,0.00034848
-179.285462,0.00034742
-179.260462,0.00034630
-179.235462,0.00034520
-179.210462,0.00034411
-179.185462,0.00034302
-179.160462,0.00034194
-179.135462,0.00034081
-179.110462,0.00033973
-179.085462,0.00033867
-179.060462,0.00033759
-179.035462,0.00033653
-179.010462,0.00033545
-178.985462,0.00033442
-178.960462,0.00033337
-178.935462,0.00033226
-178.910462,0.00033122
-178.885462,0.00033019
-178.860462,0.00032917
-178.835462,0.00032813
-178.810462,0.00032707
-178.785462,0.00032608
-178.760462,0.00032508
-178.735462,0.00032408
-178.710462,0.00032310
-178.685462,0.00032204
-178.660462,0.00032106
-178.635462,0.00032007
-178.610462,0.00031901
-178.585462,0.00031800
-178.560462,0.00031701
-178.535462,0.00031602
-178.510462,0.00031499
-178.485462,0.00031398
-178.460462,0.00031301
-178.435462,0.00031203
-178.410462,0.00031103
-178.385462,0.00030999
-178.360462,0.00030901
-178.335462,0.00030802
-178.310462,0.00030694
-178.285462,0.00030593
-178.260462,0.00030494
-178.235462,0.00030397
-178.210462,0.00030299
-178.185462,0.00030189
-178.160462,0.00030090
-178.135462,0.00029995
-178.110462,0.00029888
-178.085462,0.00029785
-178.060462,0.00029679
-178.035462,0.00029576
-178.010462,0.00029474
-177.985462,0.00029358
-177.960462,0.00029253
-177.935462,0.00029155
-177.910462,0.00029051
-177.885462,0.00028946
-177.860462,0.00028837
-177.835462,0.00028741
-177.810462,0.00028644
-177.785462,0.00028541
-177.760462,0.00028442
-177.735462,0.00028334
-177.710462,0.00028236
-177.685462,0.00028130
-177.660462,0.00028018
-177.635462,0.00027914
-177.610462,0.00027799
-177.585462,0.00027693
-177.560462,0.00027574
-177.535462,0.00027453
-177.510462,0.00027352
-177.485462,0.00027228
-177.460462,0.00027116
-177.435462,0.00027004
-177.410462,0.00026882
-177.385462,0.00026773
-177.360462,0.00026646
-177.335462,0.00026525
-177.310462,0.00026413
-177.285462,0.00026298
-177.260462,0.00026183
-177.235462,0.00026056
-177.210462,0.00025944
-177.185462,0.00025832
-177.160462,0.00025717
-177.135462,0.00025603
-177.110462,0.00025461
-177.085462,0.00025340
-177.060462,0.00025235
-177.035462,0.00025096
-177.010462,0.00024970
-176.985462,0.00024871
-176.960462,0.00024755
-176.935462,0.00024632
-176.910462,0.00024515
-176.885462,0.00024404
-176.860462,0.00024289
-176.835462,0.00024158
-176.810462,0.00024033
-176.785462,0.00023913
-176.760462,0.00023784
-176.735462,0.00023649
-176.710462,0.00023509
-176.685462,0.00023380
-176.660462,0.00023253
-176.635462,0.00023120
-176.610462,0.00022979
-176.585462,0.00022833
-176.560462,0.00022701
-176.535462,0.00022562
-176.510462,0.00022425
-176.485462,0.00022293
-176.460462,0.00022151
-176.435462,0.00022011
-176.410462,0.00021860
-176.385462,0.00021717
-176.360462,0.00021586
-176.335462,0.00021450
-176.310462,0.00021312
-176.285462,0.00021160
-176.260462,0.00021025
-176.235462,0.00020905
-176.210462,0.00020766
-176.185462,0.00020633
-176.160462,0.00020501
-176.135462,0.00020374
-176.110462,0.00020250
-176.085462,0.00020097
-176.060462,0.00019955
-176.035462,0.00019834
-176.010462,0.00019703
-175.985462,0.00019553
-175.960462,0.00019404
-175.935462,0.00019278
-175.910462,0.00019129
-175.885462,0.00018985
-175.860462,0.00018856
-175.835462,0.00018697
-175.810462,0.00018568
-175.785462,0.00018419
-175.760462,0.00018240
-175.735462,0.00018110
-175.710462,0.00017971
-175.685462,0.00017813
-175.660462,0.00017648
-175.635462,0.00017496
-175.610462,0.00017371
-175.585462,0.00017227
-175.560462,0.00017092
-175.535462,0.00016953
-175.510462,0.00016800
-175.485462,0.00016659
-175.460462,0.00016510
-175.435462,0.00016360
-175.410462,0.00016214
-175.385462,0.00016078
-175.360462,0.00015936
-175.335462,0.00015779
-175.310462,0.00015641
-175.285462,0.00015503
-175.260462,0.00015372
-175.235462,0.00015244
-175.210462,0.00015084
-175.185462,0.00014958
-175.160462,0.00014837
-175.135462,0.00014667
-175.110462,0.00014529
-175.085462,0.00014403
-175.060462,0.00014254
-175.035462,0.00014098
-175.010462,0.00013934
-174.985462,0.00013802
-174.960462,0.00013671
-174.935462,0.00013528
-174.910462,0.00013396
-174.885462,0.00013275
-174.860462,0.00013162
-174.835462,0.00013017
-174.810462,0.00012874
-174.785462,0.00012762
-174.760462,0.00012650
-174.735462,0.00012540
-174.710462,0.00012404
-174.685462,0.00012289
-174.660462,0.00012200
-174.635462,0.00012098
-174.610462,0.00012012
-174.585462,0.00011912
-174.560462,0.00011812
-174.535462,0.00011738
-174.510462,0.00011630
-174.485462,0.00011509
-174.460462,0.00011416
-174.435462,0.00011328
-174.410462,0.00011213
-174.385462,0.00011092
-174.360462,0.00011002
-174.335462,0.00010908
-174.310462,0.00010802
-174.285462,0.00010705
-174.260462,0.00010598
-174.235462,0.00010506
-174.210462,0.00010408
-174.185462,0.00010281
-174.160462,0.00010181
-174.135462,0.00010090
-174.110462,0.00009993
-174.085462,0.00009887
-174.060462,0.00009760
-174.035462,0.00009665
-174.010462,0.00009582
-173.985462,0.00009479
-173.960462,0.00009384
-173.935462,0.00009281
-173.910462,0.00009202
-173.885462,0.00009116
-173.860462,0.00008981
-173.835462,0.00008892
-173.810462,0.00008831
-173.785462,0.00008737
-173.760462,0.00008627
-173.735462,0.00008537
-173.710462,0.00008466
-173.685462,0.00008371
-173.660462,0.00008298
-173.635462,0.00008228
-173.610462,0.00008147
-173.585462,0.00008094
-173.560462,0.00008007
-173.535462,0.00007938
-173.510462,0.00007883
-173.485462,0.00007803
-173.460462,0.00007746
-173.435462,0.00007651
-173.410462,0.00007555
-173.385462,0.00007493
-173.360462,0.00007413
-173.335462,0.00007331
-173.310462,0.00007245
-173.285462,0.00007190
-173.260462,0.00007125
-173.235462,0.00007036
-173.210462,0.00006978
-173.185462,0.00006921
-173.160462,0.00006875
-173.135462,0.00006802
-173.110462,0.00006707
-173.085462,0.00006652
-173.060462,0.00006591
-173.035462,0.00006527
-173.010462,0.00006440
-172.985462,0.00006348
-172.960462,0.00006313
-172.935462,0.00006242
-172.910462,0.00006130
-172.885462,0.00006069
-172.860462,0.00006021
-172.835462,0.00005958
-172.810462,0.00005889
-172.785462,0.00005824
-172.760462,0.00005780
-172.735462,0.00005718
-172.710462,0.00005664
-172.685462,0.00005609
-172.660462,0.00005537
-172.635462,0.00005495
-172.610462,0.00005417
-172.585462,0.00005340
-172.560462,0.00005296
-172.535462,0.00005227
-172.510462,0.00005171
-172.485462,0.00005112
-172.460462,0.00005068
