time,displacement
-179.985462,-0.00077678
-179.960462,-0.00077452
-179.935462,-0.00077226
-179.910462,-0.00077000
-179.885462,-0.00076775
-179.860462,-0.00076550
-179.835462,-0.00076325
-179.810462,-0.00076101
-179.785462,-0.00075877
-179.760462,-0.00075652
-179.735462,-0.00075430
-179.710462,-0.00075205
-179.685462,-0.00074982
-179.660462,-0.00074760
-179.635462,-0.00074538
-179.610462,-0.00074315
-179.585462,-0.00074094
-179.560462,-0.00073871
-179.535462,-0.00073648
-179.510462,-0.00073426
-179.485462,-0.00073206
-179.460462,-0.00072982
-179.435462,-0.00072759
-179.410462,-0.00072538
-179.385462,-0.00072313
-179.360462,-0.00072090
-179.335462,-0.00071869
-179.310462,-0.00071642
-179.285462,-0.00071417
-179.260462,-0.00071199
-179.235462,-0.00070975
-179.210462,-0.00070748
-179.185462,-0.00070532
-179.160462,-0.00070310
-179.135462,-0.00070081
-179.110462,-0.00069865
-179.085462,-0.00069644
-179.060462,-0.00069415
-179.035462,-0.00069202
-179.010462,-0.00068982
-178.985462,-0.00068755
-178.960462,-0.00068542
-178.935462,-0.00068328
-178.910462,-0.00068107
-178.885462,-0.00067890
-178.860462,-0.00067672
-178.835462,-0.00067453
-178.810462,-0.00067234
-178.785462,-0.00067018
-178.760462,-0.00066796
-178.735462,-0.00066577
-178.710462,-0.00066366
-178.685462,-0.00066146
-178.660462,-0.00065924
-178.635462,-0.00065711
-178.610462,-0.00065497
-178.585462,-0.00065278
-178.560462,-0.00065063
-178.535462,-0.00064851
-178.510462,-0.00064629
-178.485462,-0.00064415
-178.460462,-0.00064209
-178.435462,-0.00063984
-178.410462,-0.00063773
-178.385462,-0.00063573
-178.360462,-0.00063349
-178.335462,-0.00063135
-178.310462,-0.00062934
-178.285462,-0.00062716
-178.260462,-0.00062499
-178.235462,-0.00062296
-178.210462,-0.00062083
-178.185462,-0.00061859
-178.160462,-0.00061653
-178.135462,-0.00061444
-178.110462,-0.00061221
-178.085462,-0.00061016
-178.060462,-0.00060807
-178.035462,-0.00060584
-178.010462,-0.00060378
-177.985462,-0.00060175
-177.960462,-0.00059957
-177.935462,-0.00059737
-177.910462,-0.00059530
-177.885462,-0.00059311
-177.860462,-0.00059084
-177.835462,-0.00058883
-177.810462,-0.00058662
-177.785462,-0.00058437
-177.760462,-0.00058240
-177.735462,-0.00058014
-177.710462,-0.00057792
-177.685462,-0.00057595
-177.660462,-0.00057375
-177.635462,-0.00057154
-177.610462,-0.00056947
-177.585462,-0.00056735
-177.560462,-0.00056511
-177.535462,-0.00056293
-177.510462,-0.00056086
-177.485462,-0.00055864
-177.460462,-0.00055655
-177.435462,-0.00055450
-177.410462,-0.00055230
-177.385462,-0.00055026
-177.360462,-0.00054826
-177.335462,-0.00054617
-177.310462,-0.00054407
-177.285462,-0.00054202
-177.260462,-0.00054003
-177.235462,-0.00053788
-177.210462,-0.00053586
-177.185462,-0.00053398
-177.160462,-0.00053181
-177.135462,-0.00052982
-177.110462,-0.00052795
-177.085462,-0.00052579
-177.060462,-0.00052377
-177.035462,-0.00052191
-177.010462,-0.00051978
-176.985462,-0.00051767
-176.960462,-0.00051583
-176.935462,-0.00051377
-176.910462,-0.00051170
-176.885462,-0.00051002
-176.860462,-0.00050798
-176.835462,-0.00050588
-176.810462,-0.00050421
-176.785462,-0.00050209
-176.760462,-0.00049992
-176.735462,-0.00049813
-176.710462,-0.00049607
-176.685462,-0.00049396
-176.660462,-0.00049205
-176.635462,-0.00049004
-176.610462,-0.00048796
-176.585462,-0.00048602
-176.560462,-0.00048408
-176.535462,-0.00048197
-176.510462,-0.00048013
-176.485462,-0.00047835
-176.460462,-0.00047613
-176.435462,-0.00047417
-176.410462,-0.00047251
-176.385462,-0.00047050
-176.360462,-0.00046848
-176.335462,-0.00046673
-176.310462,-0.00046480
-176.285462,-0.00046264
-176.260462,-0.00046083
-176.235462,-0.00045901
-176.210462,-0.00045692
-176.185462,-0.00045528
-176.160462,-0.00045358
-176.135462,-0.00045147
-176.110462,-0.00044979
-176.085462,-0.00044810
-176.060462,-0.00044604
-176.035462,-0.00044424
-176.010462,-0.00044250
-175.985462,-0.00044045
-175.960462,-0.00043843
-175.935462,-0.00043673
-175.910462,-0.00043477
-175.885462,-0.00043278
-175.860462,-0.00043112
-175.835462,-0.00042907
-175.810462,-0.00042695
-175.785462,-0.00042513
-175.760462,-0.00042319
-175.735462,-0.00042110
-175.710462,-0.00041910
-175.685462,-0.00041742
-175.660462,-0.00041536
-175.635462,-0.00041320
-175.610462,-0.00041156
-175.585462,-0.00040948
-175.560462,-0.00040752
-175.535462,-0.00040597
-175.510462,-0.00040394
-175.485462,-0.00040202
-175.460462,-0.00040038
-175.435462,-0.00039859
-175.410462,-0.00039682
-175.385462,-0.00039517
-175.360462,-0.00039350
-175.335462,-0.00039162
-175.310462,-0.00039006
-175.285462,-0.00038844
-175.260462,-0.00038646
-175.235462,-0.00038512
-175.210462,-0.00038360
-175.185462,-0.00038150
-175.160462,-0.00038010
-175.135462,-0.00037880
-175.110462,-0.00037686
-175.085462,-0.00037506
-175.060462,-0.00037372
-175.035462,-0.00037197
-175.010462,-0.00036999
-174.985462,-0.00036856
-174.960462,-0.00036674
-174.935462,-0.00036482
-174.910462,-0.00036351
-174.885462,-0.00036169
-174.860462,-0.00035987
-174.835462,-0.00035846
-174.810462,-0.00035679
-174.785462,-0.00035514
-174.760462,-0.00035363
-174.735462,-0.00035215
-174.710462,-0.00035039
-174.685462,-0.00034885
-174.660462,-0.00034759
-174.635462,-0.00034570
-174.610462,-0.00034421
-174.585462,-0.00034302
-174.560462,-0.00034111
-174.535462,-0.00033947
-174.510462,-0.00033821
-174.485462,-0.00033650
-174.460462,-0.00033460
-174.435462,-0.00033312
-174.410462,-0.00033148
-174.385462,-0.00032933
-174.360462,-0.00032778
-174.335462,-0.00032631
-174.310462,-0.00032417
-174.285462,-0.00032268
-174.260462,-0.00032126
-174.235462,-0.00031926
-174.210462,-0.00031774
-174.185462,-0.00031628
-174.160462,-0.00031459
-174.135462,-0.00031310
-174.110462,-0.00031172
-174.085462,-0.00031007
-174.060462,-0.00030840
-174.035462,-0.00030708
-174.010462,-0.00030529
-173.985462,-0.00030355
-173.960462,-0.00030244
-173.935462,-0.00030075
-173.910462,-0.00029902
-173.885462,-0.00029787
-173.860462,-0.00029632
-173.835462,-0.00029457
-173.810462,-0.00029321
-173.785462,-0.00029181
-173.760462,-0.00028995
-173.735462,-0.00028827
-173.710462,-0.00028682
-173.685462,-0.00028465
-173.660462,-0.00028292
-173.635462,-0.00028170
-173.610462,-0.00027958
-173.585462,-0.00027785
-173.560462,-0.00027663
-173.535462,-0.00027468
-173.510462,-0.00027279
-173.485462,-0.00027133
-173.460462,-0.00026946
-173.435462,-0.00026730
-173.410462,-0.00026575
-173.385462,-0.00026395
-173.360462,-0.00026171
-173.335462,-0.00026027
-173.310462,-0.00025849
-173.285462,-0.00025608
-173.260462,-0.00025450
-173.235462,-0.00025287
-173.210462,-0.00025058
-173.185462,-0.00024868
-173.160462,-0.00024715
-173.135462,-0.00024517
-173.110462,-0.00024319
-173.085462,-0.00024178
-173.060462,-0.00023979
-173.035462,-0.00023789
-173.010462,-0.00023689
-172.985462,-0.00023493
-172.960462,-0.00023286
-172.935462,-0.00023193
-172.910462,-0.00023047
-172.885462,-0.00022841
-172.860462,-0.00022700
-172.835462,-0.00022584
-172.810462,-0.00022389
-172.785462,-0.00022231
-172.760462,-0.00022134
-172.735462,-0.00021948
-172.710462,-0.00021812
-172.685462,-0.00021706
-172.660462,-0.00021490
-172.635462,-0.00021339
-172.610462,-0.00021233
-172.585462,-0.00021044
-172.560462,-0.00020856
-172.535462,-0.00020725
-172.510462,-0.00020574
-172.485462,-0.00020365
-172.460462,-0.00020215
-172.435462,-0.00020075
-172.410462,-0.00019873
-172.385462,-0.00019741
-172.360462,-0.00019603
-172.335462,-0.00019399
-172.310462,-0.00019257
-172.285462,-0.00019116
-172.260462,-0.00018917
-172.235462,-0.00018752
-172.210462,-0.00018631
-172.185462,-0.00018452
-172.160462,-0.00018255
-172.135462,-0.00018153
-172.110462,-0.00017996
-172.085462,-0.00017821
-172.060462,-0.00017746
-172.035462,-0.00017602
-172.010462,-0.00017444
-171.985462,-0.00017352
-171.960462,-0.00017215
-171.935462,-0.00017061
-171.910462,-0.00016944
-171.885462,-0.00016840
-171.860462,-0.00016697
-171.835462,-0.00016577
-171.810462,-0.00016500
-171.785462,-0.00016358
-171.760462,-0.00016255
-171.735462,-0.00016210
-171.710462,-0.00016050
-171.685462,-0.00015919
-171.660462,-0.00015867
-171.635462,-0.00015709
-171.610462,-0.00015579
-171.585462,-0.00015520
-171.560462,-0.00015400
-171.535462,-0.00015290
-171.510462,-0.00015216
-171.485462,-0.00015102
-171.460462,-0.00014980
-171.435462,-0.00014922
-171.410462,-0.00014803
-171.385462,-0.00014622
-171.360462,-0.00014547
-171.335462,-0.00014463
-171.310462,-0.00014298
-171.285462,-0.00014157
-171.260462,-0.00014078
-171.235462,-0.00013958
-171.210462,-0.00013778
-171.185462,-0.00013705
-171.160462,-0.00013578
-171.135462,-0.00013401
-171.110462,-0.00013370
-171.085462,-0.00013240
-171.060462,-0.00013058
-171.035462,-0.00012990
-171.010462,-0.00012864
-170.985462,-0.00012712
-170.960462,-0.00012614
-170.935462,-0.00012515
-170.910462,-0.00012370
-170.885462,-0.00012269
-170.860462,-0.00012206
-170.835462,-0.00012045
-170.810462,-0.00011944
-170.785462,-0.00011884
-170.760462,-0.00011729
-170.735462,-0.00011620
-170.710462,-0.00011525
-170.685462,-0.00011420
-170.660462,-0.00011314
-170.635462,-0.00011214
-170.610462,-0.00011151
-170.585462,-0.00011019
-170.560462,-0.00010946
-170.535462,-0.00010904
-170.510462,-0.00010734
-170.485462,-0.00010677
-170.460462,-0.00010647
-170.435462,-0.00010484
-170.410462,-0.00010400
-170.385462,-0.00010366
-170.360462,-0.00010252
-170.335462,-0.00010165
-170.310462,-0.00010129
-170.285462,-0.00010008
-170.260462,-0.00009891
-170.235462,-0.00009844
-170.210462,-0.00009697
-170.185462,-0.00009571
-170.160462,-0.00009541
-170.135462,-0.00009394
-170.110462,-0.00009240
-170.085462,-0.00009184
-170.060462,-0.00009082
-170.035462,-0.00008939
-170.010462,-0.00008836
-169.985462,-0.00008760
-169.960462,-0.00008626
-169.935462,-0.00008500
-169.910462,-0.00008431
-169.885462,-0.00008274
-169.860462,-0.00008149
-169.835462,-0.00008124
-169.810462,-0.00007972
-169.785462,-0.00007844
-169.760462,-0.00007851
-169.735462,-0.00007751
-169.710462,-0.00007620
-169.685462,-0.00007598
-169.660462,-0.00007511
