time,displacement
-179.985462,0.00162351
-179.960462,0.00161863
-179.935462,0.00161376
-179.910462,0.00160888
-179.885462,0.00160401
-179.860462,0.00159914
-179.835462,0.00159427
-179.810462,0.00158941
-179.785462,0.00158453
-179.760462,0.00157967
-179.735462,0.00157483
-179.710462,0.00156998
-179.685462,0.00156508
-179.660462,0.00156023
-179.635462,0.00155541
-179.610462,0.00155056
-179.585462,0.00154570
-179.560462,0.00154086
-179.535462,0.00153600
-179.510462,0.00153115
-179.485462,0.00152633
-179.460462,0.00152146
-179.435462,0.00151662
-179.410462,0.00151182
-179.385462,0.00150696
-179.360462,0.00150207
-179.335462,0.00149724
-179.310462,0.00149245
-179.285462,0.00148759
-179.260462,0.00148274
-179.235462,0.00147796
-179.210462,0.00147314
-179.185462,0.00146834
-179.160462,0.00146361
-179.135462,0.00145880
-179.110462,0.00145403
-179.085462,0.00144938
-179.060462,0.00144459
-179.035462,0.00143978
-179.010462,0.00143515
-178.985462,0.00143040
-178.960462,0.00142558
-178.935462,0.00142094
-178.910462,0.00141627
-178.885462,0.00141153
-178.860462,0.00140687
-178.835462,0.00140213
-178.810462,0.00139737
-178.785462,0.00139275
-178.760462,0.00138805
-178.735462,0.00138322
-178.710462,0.00137850
-178.685462,0.00137383
-178.660462,0.00136909
-178.635462,0.00136437
-178.610462,0.00135965
-178.585462,0.00135491
-178.560462,0.00135020
-178.535462,0.00134548
-178.510462,0.00134071
-178.485462,0.00133593
-178.460462,0.00133121
-178.435462,0.00132649
-178.410462,0.00132161
-178.385462,0.00131691
-178.360462,0.00131235
-178.335462,0.00130747
-178.310462,0.00130277
-178.285462,0.00129821
-178.260462,0.00129338
-178.235462,0.00128867
-178.210462,0.00128405
-178.185462,0.00127927
-178.160462,0.00127464
-178.135462,0.00127015
-178.110462,0.00126543
-178.085462,0.00126065
-178.060462,0.00125615
-178.035462,0.00125159
-178.010462,0.00124684
-177.985462,0.00124226
-177.960462,0.00123775
-177.935462,0.00123308
-177.910462,0.00122847
-177.885462,0.00122376
-177.860462,0.00121900
-177.835462,0.00121450
-177.810462,0.00120985
-177.785462,0.00120495
-177.760462,0.00120023
-177.735462,0.00119561
-177.710462,0.00119077
-177.685462,0.00118597
-177.660462,0.00118138
-177.635462,0.00117659
-177.610462,0.00117181
-177.585462,0.00116726
-177.560462,0.00116244
-177.535462,0.00115773
-177.510462,0.00115329
-177.485462,0.00114859
-177.460462,0.00114384
-177.435462,0.00113937
-177.410462,0.00113494
-177.385462,0.00113030
-177.360462,0.00112580
-177.335462,0.00112142
-177.310462,0.00111686
-177.285462,0.00111235
-177.260462,0.00110783
-177.235462,0.00110328
-177.210462,0.00109886
-177.185462,0.00109452
-177.160462,0.00109000
-177.135462,0.00108528
-177.110462,0.00108087
-177.085462,0.00107668
-177.060462,0.00107209
-177.035462,0.00106752
-177.010462,0.00106320
-176.985462,0.00105853
-176.960462,0.00105390
-176.935462,0.00104947
-176.910462,0.00104472
-176.885462,0.00104037
-176.860462,0.00103613
-176.835462,0.00103113
-176.810462,0.00102646
-176.785462,0.00102227
-176.760462,0.00101755
-176.735462,0.00101287
-176.710462,0.00100858
-176.685462,0.00100393
-176.660462,0.00099926
-176.635462,0.00099481
-176.610462,0.00099004
-176.585462,0.00098553
-176.560462,0.00098144
-176.535462,0.00097682
-176.510462,0.00097212
-176.485462,0.00096803
-176.460462,0.00096374
-176.435462,0.00095905
-176.410462,0.00095469
-176.385462,0.00095051
-176.360462,0.00094612
-176.335462,0.00094184
-176.310462,0.00093754
-176.285462,0.00093299
-176.260462,0.00092871
-176.235462,0.00092464
-176.210462,0.00092023
-176.185462,0.00091572
-176.160462,0.00091163
-176.135462,0.00090749
-176.110462,0.00090281
-176.085462,0.00089854
-176.060462,0.00089443
-176.035462,0.00088986
-176.010462,0.00088562
-175.985462,0.00088120
-175.960462,0.00087648
-175.935462,0.00087240
-175.910462,0.00086823
-175.885462,0.00086357
-175.860462,0.00085917
-175.835462,0.00085501
-175.810462,0.00085057
-175.785462,0.00084603
-175.760462,0.00084174
-175.735462,0.00083735
-175.710462,0.00083301
-175.685462,0.00082881
-175.660462,0.00082446
-175.635462,0.00082024
-175.610462,0.00081616
-175.585462,0.00081200
-175.560462,0.00080763
-175.535462,0.00080341
-175.510462,0.00079959
-175.485462,0.00079537
-175.460462,0.00079099
-175.435462,0.00078693
-175.410462,0.00078273
-175.385462,0.00077852
-175.360462,0.00077444
-175.335462,0.00077012
-175.310462,0.00076592
-175.285462,0.00076216
-175.260462,0.00075781
-175.235462,0.00075314
-175.210462,0.00074934
-175.185462,0.00074515
-175.160462,0.00074028
-175.135462,0.00073606
-175.110462,0.00073194
-175.085462,0.00072733
-175.060462,0.00072299
-175.035462,0.00071856
-175.010462,0.00071399
-174.985462,0.00071008
-174.960462,0.00070599
-174.935462,0.00070120
-174.910462,0.00069688
-174.885462,0.00069290
-174.860462,0.00068849
-174.835462,0.00068408
-174.810462,0.00067995
-174.785462,0.00067576
-174.760462,0.00067158
-174.735462,0.00066752
-174.710462,0.00066321
-174.685462,0.00065899
-174.660462,0.00065529
-174.635462,0.00065120
-174.610462,0.00064653
-174.585462,0.00064236
-174.560462,0.00063849
-174.535462,0.00063397
-174.510462,0.00062958
-174.485462,0.00062574
-174.460462,0.00062130
-174.435462,0.00061692
-174.410462,0.00061289
-174.385462,0.00060815
-174.360462,0.00060374
-174.335462,0.00059976
-174.310462,0.00059487
-174.285462,0.00059005
-174.260462,0.00058604
-174.235462,0.00058165
-174.210462,0.00057695
-174.185462,0.00057268
-174.160462,0.00056837
-174.135462,0.00056390
-174.110462,0.00055974
-174.085462,0.00055530
-174.060462,0.00055052
-174.035462,0.00054645
-174.010462,0.00054216
-173.985462,0.00053704
-173.960462,0.00053246
-173.935462,0.00052841
-173.910462,0.00052397
-173.885462,0.00051918
-173.860462,0.00051486
-173.835462,0.00051053
-173.810462,0.00050579
-173.785462,0.00050152
-173.760462,0.00049708
-173.735462,0.00049253
-173.710462,0.00048861
-173.685462,0.00048404
-173.660462,0.00047904
-173.635462,0.00047493
-173.610462,0.00047076
-173.585462,0.00046587
-173.560462,0.00046158
-173.535462,0.00045747
-173.510462,0.00045244
-173.485462,0.00044783
-173.460462,0.00044324
-173.435462,0.00043806
-173.410462,0.00043371
-173.385462,0.00042940
-173.360462,0.00042434
-173.335462,0.00041946
-173.310462,0.00041515
-173.285462,0.00041060
-173.260462,0.00040539
-173.235462,0.00040102
-173.210462,0.00039666
-173.185462,0.00039141
-173.160462,0.00038677
-173.135462,0.00038210
-173.110462,0.00037718
-173.085462,0.00037291
-173.060462,0.00036854
-173.035462,0.00036356
-173.010462,0.00035885
-172.985462,0.00035497
-172.960462,0.00035028
-172.935462,0.00034538
-172.910462,0.00034176
-172.885462,0.00033742
-172.860462,0.00033275
-172.835462,0.00032887
-172.810462,0.00032430
