time,displacement
-179.985462,0.00039702
-179.960462,0.00039156
-179.935462,0.00038610
-179.910462,0.00038064
-179.885462,0.00037518
-179.860462,0.00036972
-179.835462,0.00036426
-179.810462,0.00035880
-179.785462,0.00035334
-179.760462,0.00034789
-179.735462,0.00034243
-179.710462,0.00033698
-179.685462,0.00033153
-179.660462,0.00032609
-179.635462,0.00032065
-179.610462,0.00031520
-179.585462,0.00030975
-179.560462,0.00030428
-179.535462,0.00029882
-179.510462,0.00029336
-179.485462,0.00028790
-179.460462,0.00028243
-179.435462,0.00027696
-179.410462,0.00027151
-179.385462,0.00026606
-179.360462,0.00026063
-179.335462,0.00025520
-179.310462,0.00024977
-179.285462,0.00024434
-179.260462,0.00023890
-179.235462,0.00023346
-179.210462,0.00022802
-179.185462,0.00022257
-179.160462,0.00021713
-179.135462,0.00021169
-179.110462,0.00020626
-179.085462,0.00020082
-179.060462,0.00019538
-179.035462,0.00018994
-179.010462,0.00018451
-178.985462,0.00017909
-178.960462,0.00017365
-178.935462,0.00016821
-178.910462,0.00016277
-178.885462,0.00015734
-178.860462,0.00015191
-178.835462,0.00014648
-178.810462,0.00014104
-178.785462,0.00013559
-178.760462,0.00013014
-178.735462,0.00012469
-178.710462,0.00011926
-178.685462,0.00011384
-178.660462,0.00010842
-178.635462,0.00010301
-178.610462,0.00009758
-178.585462,0.00009213
-178.560462,0.00008666
-178.535462,0.00008119
-178.510462,0.00007574
-178.485462,0.00007030
-178.460462,0.00006487
-178.435462,0.00005945
-178.410462,0.00005404
-178.385462,0.00004863
-178.360462,0.00004323
-178.335462,0.00003785
-178.310462,0.00003251
-178.285462,0.00002718
-178.260462,0.00002182
-178.235462,0.00001644
-178.210462,0.00001104
-178.185462,0.00000569
-178.160462,0.00000042
-178.135462,-0.00000478
-178.110462,-0.00000998
-178.085462,-0.00001522
-178.060462,-0.00002052
-178.035462,-0.00002585
-178.010462,-0.00003119
-177.985462,-0.00003652
-177.960462,-0.00004185
-177.935462,-0.00004717
-177.910462,-0.00005247
-177.885462,-0.00005771
-177.860462,-0.00006290
-177.835462,-0.00006808
-177.810462,-0.00007329
-177.785462,-0.00007856
-177.760462,-0.00008387
-177.735462,-0.00008915
-177.710462,-0.00009438
-177.685462,-0.00009955
-177.660462,-0.00010469
-177.635462,-0.00010983
-177.610462,-0.00011500
-177.585462,-0.00012018
-177.560462,-0.00012537
-177.535462,-0.00013055
-177.510462,-0.00013572
-177.485462,-0.00014086
-177.460462,-0.00014594
-177.435462,-0.00015098
