time,displacement
-179.985462,0.00170835
-179.960462,0.00170313
-179.935462,0.00169791
-179.910462,0.00169268
-179.885462,0.00168745
-179.860462,0.00168221
-179.835462,0.00167698
-179.810462,0.00167174
-179.785462,0.00166649
-179.760462,0.00166125
-179.735462,0.00165600
-179.710462,0.00165075
-179.685462,0.00164550
-179.660462,0.00164024
-179.635462,0.00163498
-179.610462,0.00162972
-179.585462,0.00162445
-179.560462,0.00161917
-179.535462,0.00161389
-179.510462,0.00160861
-179.485462,0.00160334
-179.460462,0.00159807
-179.435462,0.00159281
-179.410462,0.00158753
-179.385462,0.00158226
-179.360462,0.00157698
-179.335462,0.00157171
-179.310462,0.00156642
-179.285462,0.00156112
-179.260462,0.00155582
-179.235462,0.00155051
-179.210462,0.00154521
-179.185462,0.00153990
-179.160462,0.00153458
-179.135462,0.00152924
-179.110462,0.00152390
-179.085462,0.00151855
-179.060462,0.00151321
-179.035462,0.00150787
-179.010462,0.00150254
-178.985462,0.00149722
-178.960462,0.00149190
-178.935462,0.00148657
-178.910462,0.00148123
-178.885462,0.00147589
-178.860462,0.00147053
-178.835462,0.00146517
-178.810462,0.00145979
-178.785462,0.00145440
-178.760462,0.00144900
-178.735462,0.00144360
-178.710462,0.00143818
-178.685462,0.00143277
-178.660462,0.00142736
-178.635462,0.00142194
-178.610462,0.00141653
-178.585462,0.00141110
-178.560462,0.00140566
-178.535462,0.00140024
-178.510462,0.00139486
-178.485462,0.00138952
-178.460462,0.00138420
-178.435462,0.00137887
-178.410462,0.00137353
-178.385462,0.00136817
-178.360462,0.00136281
-178.335462,0.00135744
-178.310462,0.00135205
-178.285462,0.00134666
-178.260462,0.00134129
-178.235462,0.00133596
-178.210462,0.00133066
-178.185462,0.00132536
-178.160462,0.00132004
-178.135462,0.00131469
-178.110462,0.00130932
-178.085462,0.00130395
-178.060462,0.00129857
-178.035462,0.00129315
-178.010462,0.00128771
-177.985462,0.00128227
-177.960462,0.00127686
-177.935462,0.00127150
-177.910462,0.00126619
-177.885462,0.00126090
-177.860462,0.00125560
-177.835462,0.00125028
-177.810462,0.00124496
-177.785462,0.00123966
-177.760462,0.00123437
-177.735462,0.00122908
-177.710462,0.00122377
-177.685462,0.00121845
-177.660462,0.00121311
-177.635462,0.00120777
-177.610462,0.00120244
-177.585462,0.00119711
-177.560462,0.00119180
-177.535462,0.00118652
-177.510462,0.00118125
-177.485462,0.00117599
-177.460462,0.00117070
-177.435462,0.00116537
-177.410462,0.00116004
-177.385462,0.00115473
-177.360462,0.00114943
-177.335462,0.00114413
-177.310462,0.00113881
-177.285462,0.00113349
-177.260462,0.00112819
-177.235462,0.00112294
-177.210462,0.00111774
-177.185462,0.00111259
-177.160462,0.00110744
-177.135462,0.00110229
-177.110462,0.00109711
-177.085462,0.00109188
-177.060462,0.00108659
-177.035462,0.00108126
-177.010462,0.00107591
-176.985462,0.00107058
-176.960462,0.00106525
-176.935462,0.00105995
-176.910462,0.00105465
-176.885462,0.00104936
-176.860462,0.00104407
-176.835462,0.00103877
-176.810462,0.00103349
-176.785462,0.00102827
-176.760462,0.00102314
-176.735462,0.00101808
-176.710462,0.00101304
-176.685462,0.00100793
-176.660462,0.00100271
-176.635462,0.00099740
-176.610462,0.00099203
-176.585462,0.00098667
-176.560462,0.00098137
-176.535462,0.00097614
-176.510462,0.00097097
-176.485462,0.00096583
-176.460462,0.00096070
-176.435462,0.00095555
-176.410462,0.00095040
-176.385462,0.00094525
-176.360462,0.00094013
-176.335462,0.00093504
-176.310462,0.00092997
-176.285462,0.00092489
-176.260462,0.00091976
-176.235462,0.00091459
-176.210462,0.00090938
-176.185462,0.00090415
-176.160462,0.00089892
-176.135462,0.00089369
-176.110462,0.00088844
-176.085462,0.00088318
-176.060462,0.00087791
-176.035462,0.00087264
-176.010462,0.00086737
-175.985462,0.00086208
-175.960462,0.00085677
-175.935462,0.00085144
-175.910462,0.00084609
-175.885462,0.00084077
-175.860462,0.00083548
-175.835462,0.00083022
-175.810462,0.00082495
-175.785462,0.00081968
-175.760462,0.00081440
-175.735462,0.00080912
-175.710462,0.00080383
-175.685462,0.00079852
-175.660462,0.00079316
-175.635462,0.00078779
-175.610462,0.00078240
-175.585462,0.00077700
-175.560462,0.00077160
-175.535462,0.00076617
-175.510462,0.00076075
-175.485462,0.00075535
-175.460462,0.00074997
-175.435462,0.00074453
-175.410462,0.00073900
-175.385462,0.00073337
-175.360462,0.00072773
-175.335462,0.00072214
-175.310462,0.00071665
-175.285462,0.00071123
-175.260462,0.00070583
-175.235462,0.00070044
-175.210462,0.00069502
-175.185462,0.00068957
-175.160462,0.00068403
-175.135462,0.00067844
-175.110462,0.00067287
-175.085462,0.00066741
-175.060462,0.00066206
-175.035462,0.00065676
-175.010462,0.00065143
-174.985462,0.00064604
-174.960462,0.00064058
-174.935462,0.00063505
-174.910462,0.00062942
-174.885462,0.00062367
-174.860462,0.00061789
-174.835462,0.00061219
-174.810462,0.00060664
-174.785462,0.00060124
-174.760462,0.00059590
-174.735462,0.00059056
-174.710462,0.00058517
-174.685462,0.00057970
-174.660462,0.00057415
-174.635462,0.00056857
-174.610462,0.00056299
-174.585462,0.00055742
-174.560462,0.00055183
-174.535462,0.00054622
-174.510462,0.00054067
-174.485462,0.00053528
-174.460462,0.00053008
-174.435462,0.00052496
-174.410462,0.00051977
-174.385462,0.00051445
-174.360462,0.00050903
-174.335462,0.00050355
-174.310462,0.00049802
-174.285462,0.00049243
-174.260462,0.00048681
-174.235462,0.00048125
-174.210462,0.00047583
-174.185462,0.00047053
-174.160462,0.00046528
-174.135462,0.00046004
-174.110462,0.00045479
-174.085462,0.00044950
-174.060462,0.00044414
-174.035462,0.00043868
-174.010462,0.00043316
-173.985462,0.00042767
-173.960462,0.00042224
-173.935462,0.00041683
-173.910462,0.00041137
-173.885462,0.00040581
-173.860462,0.00040024
-173.835462,0.00039476
-173.810462,0.00038941
-173.785462,0.00038420
-173.760462,0.00037912
-173.735462,0.00037415
-173.710462,0.00036927
-173.685462,0.00036441
-173.660462,0.00035948
-173.635462,0.00035446
-173.610462,0.00034935
-173.585462,0.00034420
-173.560462,0.00033903
-173.535462,0.00033384
-173.510462,0.00032864
-173.485462,0.00032343
-173.460462,0.00031826
-173.435462,0.00031313
-173.410462,0.00030802
-173.385462,0.00030294
-173.360462,0.00029789
-173.335462,0.00029292
-173.310462,0.00028803
-173.285462,0.00028318
-173.260462,0.00027832
-173.235462,0.00027338
-173.210462,0.00026836
-173.185462,0.00026327
-173.160462,0.00025817
-173.135462,0.00025308
-173.110462,0.00024801
-173.085462,0.00024293
-173.060462,0.00023782
-173.035462,0.00023269
-173.010462,0.00022759
-172.985462,0.00022255
-172.960462,0.00021759
-172.935462,0.00021266
-172.910462,0.00020775
-172.885462,0.00020286
