time,displacement
-179.985462,-0.00054720
-179.960462,-0.00054684
-179.935462,-0.00054648
-179.910462,-0.00054612
-179.885462,-0.00054574
-179.860462,-0.00054537
-179.835462,-0.00054499
-179.810462,-0.00054461
-179.785462,-0.00054423
-179.760462,-0.00054385
-179.735462,-0.00054347
-179.710462,-0.00054307
-179.685462,-0.00054266
-179.660462,-0.00054224
-179.635462,-0.00054180
-179.610462,-0.00054135
-179.585462,-0.00054089
-179.560462,-0.00054043
-179.535462,-0.00053998
-179.510462,-0.00053952
-179.485462,-0.00053907
-179.460462,-0.00053862
-179.435462,-0.00053815
-179.410462,-0.00053765
-179.385462,-0.00053712
-179.360462,-0.00053658
-179.335462,-0.00053603
-179.310462,-0.00053549
-179.285462,-0.00053496
-179.260462,-0.00053443
-179.235462,-0.00053389
-179.210462,-0.00053334
-179.185462,-0.00053277
-179.160462,-0.00053221
-179.135462,-0.00053165
-179.110462,-0.00053111
-179.085462,-0.00053058
-179.060462,-0.00053004
-179.035462,-0.00052948
-179.010462,-0.00052890
-178.985462,-0.00052830
-178.960462,-0.00052768
-178.935462,-0.00052702
-178.910462,-0.00052633
-178.885462,-0.00052561
-178.860462,-0.00052487
-178.835462,-0.00052413
-178.810462,-0.00052340
-178.785462,-0.00052269
-178.760462,-0.00052198
-178.735462,-0.00052128
-178.710462,-0.00052057
-178.685462,-0.00051986
-178.660462,-0.00051914
-178.635462,-0.00051843
-178.610462,-0.00051771
-178.585462,-0.00051696
-178.560462,-0.00051615
-178.535462,-0.00051530
-178.510462,-0.00051442
-178.485462,-0.00051354
-178.460462,-0.00051269
-178.435462,-0.00051187
-178.410462,-0.00051108
-178.385462,-0.00051030
-178.360462,-0.00050949
-178.335462,-0.00050866
-178.310462,-0.00050781
-178.285462,-0.00050698
-178.260462,-0.00050618
-178.235462,-0.00050536
-178.210462,-0.00050444
-178.185462,-0.00050343
-178.160462,-0.00050239
-178.135462,-0.00050142
-178.110462,-0.00050054
-178.085462,-0.00049970
-178.060462,-0.00049880
-178.035462,-0.00049783
-178.010462,-0.00049682
-177.985462,-0.00049585
-177.960462,-0.00049491
-177.935462,-0.00049399
-177.910462,-0.00049308
-177.885462,-0.00049219
-177.860462,-0.00049138
-177.835462,-0.00049062
-177.810462,-0.00048979
-177.785462,-0.00048878
-177.760462,-0.00048756
-177.735462,-0.00048625
-177.710462,-0.00048497
-177.685462,-0.00048382
-177.660462,-0.00048282
-177.635462,-0.00048191
-177.610462,-0.00048106
-177.585462,-0.00048026
-177.560462,-0.00047947
-177.535462,-0.00047864
-177.510462,-0.00047773
-177.485462,-0.00047677
-177.460462,-0.00047583
-177.435462,-0.00047498
-177.410462,-0.00047419
-177.385462,-0.00047336
-177.360462,-0.00047238
-177.335462,-0.00047127
-177.310462,-0.00047012
-177.285462,-0.00046907
-177.260462,-0.00046821
-177.235462,-0.00046755
-177.210462,-0.00046701
-177.185462,-0.00046649
-177.160462,-0.00046585
-177.135462,-0.00046496
-177.110462,-0.00046376
-177.085462,-0.00046233
-177.060462,-0.00046084
-177.035462,-0.00045949
-177.010462,-0.00045841
-176.985462,-0.00045757
-176.960462,-0.00045688
-176.935462,-0.00045624
-176.910462,-0.00045556
-176.885462,-0.00045481
-176.860462,-0.00045400
-176.835462,-0.00045318
-176.810462,-0.00045243
-176.785462,-0.00045181
-176.760462,-0.00045125
-176.735462,-0.00045063
-176.710462,-0.00044979
-176.685462,-0.00044868
-176.660462,-0.00044738
-176.635462,-0.00044606
-176.610462,-0.00044491
-176.585462,-0.00044400
-176.560462,-0.00044327
-176.535462,-0.00044264
-176.510462,-0.00044199
-176.485462,-0.00044129
-176.460462,-0.00044052
-176.435462,-0.00043970
-176.410462,-0.00043886
-176.385462,-0.00043805
-176.360462,-0.00043730
-176.335462,-0.00043660
-176.310462,-0.00043583
-176.285462,-0.00043485
-176.260462,-0.00043364
-176.235462,-0.00043230
-176.210462,-0.00043104
-176.185462,-0.00042996
-176.160462,-0.00042905
-176.135462,-0.00042825
-176.110462,-0.00042749
-176.085462,-0.00042672
-176.060462,-0.00042588
-176.035462,-0.00042486
-176.010462,-0.00042368
-175.985462,-0.00042247
-175.960462,-0.00042143
-175.935462,-0.00042061
-175.910462,-0.00041989
-175.885462,-0.00041907
-175.860462,-0.00041805
-175.835462,-0.00041687
-175.810462,-0.00041566
-175.785462,-0.00041450
-175.760462,-0.00041345
-175.735462,-0.00041255
-175.710462,-0.00041184
-175.685462,-0.00041131
-175.660462,-0.00041081
-175.635462,-0.00041013
-175.610462,-0.00040916
-175.585462,-0.00040796
-175.560462,-0.00040668
-175.535462,-0.00040548
-175.510462,-0.00040437
-175.485462,-0.00040326
-175.460462,-0.00040204
-175.435462,-0.00040069
-175.410462,-0.00039928
-175.385462,-0.00039791
-175.360462,-0.00039667
-175.335462,-0.00039556
-175.310462,-0.00039451
-175.285462,-0.00039343
-175.260462,-0.00039224
-175.235462,-0.00039093
-175.210462,-0.00038956
-175.185462,-0.00038821
-175.160462,-0.00038697
-175.135462,-0.00038587
-175.110462,-0.00038493
-175.085462,-0.00038408
-175.060462,-0.00038322
-175.035462,-0.00038221
-175.010462,-0.00038097
-174.985462,-0.00037952
-174.960462,-0.00037800
-174.935462,-0.00037653
-174.910462,-0.00037514
-174.885462,-0.00037380
-174.860462,-0.00037250
-174.835462,-0.00037126
-174.810462,-0.00037010
-174.785462,-0.00036893
-174.760462,-0.00036763
-174.735462,-0.00036613
-174.710462,-0.00036450
-174.685462,-0.00036286
-174.660462,-0.00036126
-174.635462,-0.00035969
-174.610462,-0.00035814
-174.585462,-0.00035661
-174.560462,-0.00035511
-174.535462,-0.00035365
-174.510462,-0.00035222
-174.485462,-0.00035084
-174.460462,-0.00034952
-174.435462,-0.00034822
-174.410462,-0.00034680
-174.385462,-0.00034510
-174.360462,-0.00034310
-174.335462,-0.00034093
-174.310462,-0.00033876
-174.285462,-0.00033671
-174.260462,-0.00033477
-174.235462,-0.00033288
-174.210462,-0.00033106
-174.185462,-0.00032938
-174.160462,-0.00032792
-174.135462,-0.00032661
-174.110462,-0.00032533
-174.085462,-0.00032393
-174.060462,-0.00032236
-174.035462,-0.00032065
-174.010462,-0.00031881
-173.985462,-0.00031678
-173.960462,-0.00031453
-173.935462,-0.00031213
-173.910462,-0.00030985
-173.885462,-0.00030790
-173.860462,-0.00030632
-173.835462,-0.00030496
-173.810462,-0.00030360
-173.785462,-0.00030213
-173.760462,-0.00030052
-173.735462,-0.00029877
-173.710462,-0.00029683
-173.685462,-0.00029473
-173.660462,-0.00029256
-173.635462,-0.00029041
-173.610462,-0.00028832
-173.585462,-0.00028623
-173.560462,-0.00028406
-173.535462,-0.00028187
-173.510462,-0.00027975
-173.485462,-0.00027781
-173.460462,-0.00027605
-173.435462,-0.00027438
-173.410462,-0.00027271
-173.385462,-0.00027098
-173.360462,-0.00026916
-173.335462,-0.00026731
-173.310462,-0.00026551
-173.285462,-0.00026384
-173.260462,-0.00026229
-173.235462,-0.00026079
-173.210462,-0.00025927
-173.185462,-0.00025771
-173.160462,-0.00025609
-173.135462,-0.00025438
-173.110462,-0.00025252
-173.085462,-0.00025051
-173.060462,-0.00024844
-173.035462,-0.00024647
-173.010462,-0.00024465
-172.985462,-0.00024286
-172.960462,-0.00024085
-172.935462,-0.00023846
-172.910462,-0.00023574
-172.885462,-0.00023294
-172.860462,-0.00023035
-172.835462,-0.00022819
-172.810462,-0.00022655
-172.785462,-0.00022540
-172.760462,-0.00022463
-172.735462,-0.00022406
-172.710462,-0.00022346
-172.685462,-0.00022266
-172.660462,-0.00022154
-172.635462,-0.00022013
-172.610462,-0.00021853
-172.585462,-0.00021683
-172.560462,-0.00021505
-172.535462,-0.00021307
-172.510462,-0.00021079
-172.485462,-0.00020819
-172.460462,-0.00020541
-172.435462,-0.00020272
-172.410462,-0.00020038
-172.385462,-0.00019851
-172.360462,-0.00019704
-172.335462,-0.00019584
-172.310462,-0.00019475
-172.285462,-0.00019374
-172.260462,-0.00019285
-172.235462,-0.00019206
-172.210462,-0.00019127
-172.185462,-0.00019032
-172.160462,-0.00018910
-172.135462,-0.00018762
-172.110462,-0.00018592
-172.085462,-0.00018401
-172.060462,-0.00018186
-172.035462,-0.00017951
-172.010462,-0.00017717
-171.985462,-0.00017506
-171.960462,-0.00017336
-171.935462,-0.00017201
-171.910462,-0.00017082
-171.885462,-0.00016961
-171.860462,-0.00016828
-171.835462,-0.00016684
-171.810462,-0.00016538
-171.785462,-0.00016399
-171.760462,-0.00016273
-171.735462,-0.00016156
-171.710462,-0.00016037
-171.685462,-0.00015908
-171.660462,-0.00015772
-171.635462,-0.00015641
-171.610462,-0.00015522
-171.585462,-0.00015408
-171.560462,-0.00015290
-171.535462,-0.00015169
-171.510462,-0.00015052
-171.485462,-0.00014934
-171.460462,-0.00014798
-171.435462,-0.00014625
-171.410462,-0.00014412
-171.385462,-0.00014177
-171.360462,-0.00013938
-171.335462,-0.00013709
-171.310462,-0.00013504
-171.285462,-0.00013339
-171.260462,-0.00013223
-171.235462,-0.00013142
-171.210462,-0.00013063
-171.185462,-0.00012959
-171.160462,-0.00012833
-171.135462,-0.00012710
-171.110462,-0.00012603
-171.085462,-0.00012499
-171.060462,-0.00012379
-171.035462,-0.00012237
-171.010462,-0.00012085
-170.985462,-0.00011928
-170.960462,-0.00011756
-170.935462,-0.00011559
-170.910462,-0.00011351
-170.885462,-0.00011164
-170.860462,-0.00011022
-170.835462,-0.00010920
-170.810462,-0.00010832
-170.785462,-0.00010729
