time,displacement
-179.985462,0.00008606
-179.960462,0.00008558
-179.935462,0.00008511
-179.910462,0.00008464
-179.885462,0.00008416
-179.860462,0.00008369
-179.835462,0.00008322
-179.810462,0.00008275
-179.785462,0.00008229
-179.760462,0.00008182
-179.735462,0.00008135
-179.710462,0.00008089
-179.685462,0.00008042
-179.660462,0.00007995
-179.635462,0.00007948
-179.610462,0.00007901
-179.585462,0.00007855
-179.560462,0.00007808
-179.535462,0.00007762
-179.510462,0.00007714
-179.485462,0.00007666
-179.460462,0.00007619
-179.435462,0.00007572
-179.410462,0.00007526
-179.385462,0.00007480
-179.360462,0.00007434
-179.335462,0.00007388
-179.310462,0.00007343
-179.285462,0.00007299
-179.260462,0.00007255
-179.235462,0.00007212
-179.210462,0.00007168
-179.185462,0.00007124
-179.160462,0.00007081
-179.135462,0.00007038
-179.110462,0.00006994
-179.085462,0.00006952
-179.060462,0.00006909
-179.035462,0.00006864
-179.010462,0.00006820
-178.985462,0.00006774
-178.960462,0.00006728
-178.935462,0.00006681
-178.910462,0.00006634
-178.885462,0.00006586
-178.860462,0.00006539
-178.835462,0.00006491
-178.810462,0.00006445
-178.785462,0.00006399
-178.760462,0.00006355
-178.735462,0.00006310
-178.710462,0.00006264
-178.685462,0.00006217
-178.660462,0.00006171
-178.635462,0.00006126
-178.610462,0.00006082
-178.585462,0.00006037
-178.560462,0.00005992
-178.535462,0.00005948
-178.510462,0.00005904
-178.485462,0.00005859
-178.460462,0.00005814
-178.435462,0.00005767
-178.410462,0.00005721
-178.385462,0.00005675
-178.360462,0.00005630
-178.335462,0.00005582
-178.310462,0.00005532
-178.285462,0.00005481
-178.260462,0.00005430
-178.235462,0.00005379
-178.210462,0.00005327
-178.185462,0.00005275
-178.160462,0.00005222
-178.135462,0.00005169
-178.110462,0.00005116
-178.085462,0.00005062
-178.060462,0.00005009
-178.035462,0.00004956
-178.010462,0.00004903
-177.985462,0.00004852
-177.960462,0.00004802
-177.935462,0.00004754
-177.910462,0.00004704
-177.885462,0.00004653
-177.860462,0.00004600
-177.835462,0.00004546
-177.810462,0.00004491
-177.785462,0.00004437
-177.760462,0.00004384
-177.735462,0.00004330
-177.710462,0.00004275
-177.685462,0.00004218
-177.660462,0.00004158
-177.635462,0.00004096
-177.610462,0.00004035
-177.585462,0.00003974
-177.560462,0.00003914
-177.535462,0.00003853
-177.510462,0.00003792
-177.485462,0.00003730
-177.460462,0.00003665
-177.435462,0.00003600
-177.410462,0.00003536
-177.385462,0.00003472
-177.360462,0.00003408
-177.335462,0.00003346
-177.310462,0.00003286
-177.285462,0.00003224
-177.260462,0.00003161
-177.235462,0.00003098
-177.210462,0.00003035
-177.185462,0.00002972
-177.160462,0.00002912
-177.135462,0.00002851
-177.110462,0.00002786
-177.085462,0.00002720
-177.060462,0.00002651
-177.035462,0.00002581
-177.010462,0.00002509
-176.985462,0.00002438
-176.960462,0.00002367
-176.935462,0.00002295
-176.910462,0.00002222
-176.885462,0.00002150
-176.860462,0.00002076
-176.835462,0.00002001
-176.810462,0.00001924
-176.785462,0.00001847
-176.760462,0.00001772
-176.735462,0.00001700
-176.710462,0.00001630
-176.685462,0.00001560
-176.660462,0.00001490
-176.635462,0.00001420
-176.610462,0.00001349
-176.585462,0.00001277
-176.560462,0.00001204
-176.535462,0.00001131
-176.510462,0.00001059
-176.485462,0.00000989
-176.460462,0.00000917
-176.435462,0.00000841
-176.410462,0.00000763
-176.385462,0.00000685
-176.360462,0.00000609
-176.335462,0.00000535
-176.310462,0.00000461
-176.285462,0.00000384
-176.260462,0.00000305
-176.235462,0.00000225
-176.210462,0.00000146
-176.185462,0.00000070
-176.160462,-0.00000005
-176.135462,-0.00000080
-176.110462,-0.00000156
-176.085462,-0.00000228
-176.060462,-0.00000296
-176.035462,-0.00000364
-176.010462,-0.00000431
-175.985462,-0.00000499
-175.960462,-0.00000567
-175.935462,-0.00000636
-175.910462,-0.00000705
-175.885462,-0.00000776
-175.860462,-0.00000849
-175.835462,-0.00000921
-175.810462,-0.00000992
-175.785462,-0.00001064
-175.760462,-0.00001141
-175.735462,-0.00001219
-175.710462,-0.00001296
-175.685462,-0.00001372
-175.660462,-0.00001446
-175.635462,-0.00001522
-175.610462,-0.00001599
-175.585462,-0.00001678
-175.560462,-0.00001759
-175.535462,-0.00001839
-175.510462,-0.00001913
-175.485462,-0.00001982
-175.460462,-0.00002049
-175.435462,-0.00002117
-175.410462,-0.00002186
-175.385462,-0.00002254
-175.360462,-0.00002321
-175.335462,-0.00002386
-175.310462,-0.00002447
-175.285462,-0.00002504
-175.260462,-0.00002561
-175.235462,-0.00002619
-175.210462,-0.00002681
-175.185462,-0.00002747
-175.160462,-0.00002815
-175.135462,-0.00002885
-175.110462,-0.00002956
-175.085462,-0.00003027
-175.060462,-0.00003095
-175.035462,-0.00003163
-175.010462,-0.00003234
-174.985462,-0.00003309
-174.960462,-0.00003386
-174.935462,-0.00003462
-174.910462,-0.00003534
-174.885462,-0.00003600
-174.860462,-0.00003660
-174.835462,-0.00003717
-174.810462,-0.00003769
-174.785462,-0.00003820
-174.760462,-0.00003874
-174.735462,-0.00003932
-174.710462,-0.00003993
-174.685462,-0.00004055
-174.660462,-0.00004116
-174.635462,-0.00004173
-174.610462,-0.00004228
-174.585462,-0.00004282
-174.560462,-0.00004339
-174.535462,-0.00004397
-174.510462,-0.00004457
-174.485462,-0.00004519
-174.460462,-0.00004580
-174.435462,-0.00004636
-174.410462,-0.00004691
-174.385462,-0.00004742
-174.360462,-0.00004793
-174.335462,-0.00004845
-174.310462,-0.00004898
-174.285462,-0.00004952
-174.260462,-0.00005006
-174.235462,-0.00005056
-174.210462,-0.00005105
-174.185462,-0.00005154
-174.160462,-0.00005201
-174.135462,-0.00005250
-174.110462,-0.00005300
-174.085462,-0.00005351
-174.060462,-0.00005403
-174.035462,-0.00005454
-174.010462,-0.00005498
-173.985462,-0.00005538
-173.960462,-0.00005575
-173.935462,-0.00005609
-173.910462,-0.00005643
-173.885462,-0.00005678
-173.860462,-0.00005715
-173.835462,-0.00005754
-173.810462,-0.00005789
-173.785462,-0.00005821
-173.760462,-0.00005853
-173.735462,-0.00005884
-173.710462,-0.00005917
-173.685462,-0.00005956
-173.660462,-0.00005999
-173.635462,-0.00006046
-173.610462,-0.00006091
-173.585462,-0.00006131
-173.560462,-0.00006168
-173.535462,-0.00006204
-173.510462,-0.00006243
-173.485462,-0.00006289
-173.460462,-0.00006339
-173.435462,-0.00006391
-173.410462,-0.00006443
-173.385462,-0.00006494
-173.360462,-0.00006540
-173.335462,-0.00006582
-173.310462,-0.00006622
-173.285462,-0.00006665
-173.260462,-0.00006706
-173.235462,-0.00006744
-173.210462,-0.00006776
-173.185462,-0.00006802
-173.160462,-0.00006830
-173.135462,-0.00006859
-173.110462,-0.00006890
-173.085462,-0.00006925
-173.060462,-0.00006960
-173.035462,-0.00006995
-173.010462,-0.00007033
-172.985462,-0.00007074
-172.960462,-0.00007119
-172.935462,-0.00007166
-172.910462,-0.00007212
-172.885462,-0.00007258
-172.860462,-0.00007308
-172.835462,-0.00007363
-172.810462,-0.00007421
-172.785462,-0.00007486
-172.760462,-0.00007554
-172.735462,-0.00007619
-172.710462,-0.00007679
-172.685462,-0.00007740
-172.660462,-0.00007804
-172.635462,-0.00007870
-172.610462,-0.00007939
-172.585462,-0.00008009
-172.560462,-0.00008080
-172.535462,-0.00008148
-172.510462,-0.00008210
-172.485462,-0.00008271
-172.460462,-0.00008336
-172.435462,-0.00008407
-172.410462,-0.00008484
-172.385462,-0.00008563
-172.360462,-0.00008644
-172.335462,-0.00008722
-172.310462,-0.00008796
-172.285462,-0.00008873
-172.260462,-0.00008958
-172.235462,-0.00009052
-172.210462,-0.00009150
-172.185462,-0.00009247
-172.160462,-0.00009344
-172.135462,-0.00009445
-172.110462,-0.00009550
-172.085462,-0.00009655
-172.060462,-0.00009758
-172.035462,-0.00009858
-172.010462,-0.00009957
-171.985462,-0.00010056
-171.960462,-0.00010160
-171.935462,-0.00010274
-171.910462,-0.00010391
-171.885462,-0.00010507
-171.860462,-0.00010623
-171.835462,-0.00010738
-171.810462,-0.00010859
-171.785462,-0.00010982
-171.760462,-0.00011107
-171.735462,-0.00011238
-171.710462,-0.00011368
-171.685462,-0.00011496
-171.660462,-0.00011618
-171.635462,-0.00011738
-171.610462,-0.00011863
-171.585462,-0.00011996
-171.560462,-0.00012133
-171.535462,-0.00012264
-171.510462,-0.00012386
-171.485462,-0.00012506
-171.460462,-0.00012630
-171.435462,-0.00012762
-171.410462,-0.00012906
-171.385462,-0.00013058
-171.360462,-0.00013213
-171.335462,-0.00013370
-171.310462,-0.00013528
-171.285462,-0.00013683
-171.260462,-0.00013837
-171.235462,-0.00013992
-171.210462,-0.00014150
-171.185462,-0.00014311
-171.160462,-0.00014472
-171.135462,-0.00014629
-171.110462,-0.00014781
-171.085462,-0.00014927
-171.060462,-0.00015073
-171.035462,-0.00015223
-171.010462,-0.00015375
-170.985462,-0.00015527
-170.960462,-0.00015673
-170.935462,-0.00015812
-170.910462,-0.00015950
-170.885462,-0.00016088
-170.860462,-0.00016225
-170.835462,-0.00016359
-170.810462,-0.00016489
-170.785462,-0.00016614
-170.760462,-0.00016738
-170.735462,-0.00016870
-170.710462,-0.00017008
-170.685462,-0.00017147
-170.660462,-0.00017283
-170.635462,-0.00017413
-170.610462,-0.00017543
-170.585462,-0.00017680
-170.560462,-0.00017824
-170.535462,-0.00017971
-170.510462,-0.00018116
-170.485462,-0.00018254
-170.460462,-0.00018385
-170.435462,-0.00018511
-170.410462,-0.00018641
-170.385462,-0.00018776
-170.360462,-0.00018913
-170.335462,-0.00019050
-170.310462,-0.00019179
-170.285462,-0.00019297
-170.260462,-0.00019402
-170.235462,-0.00019497
-170.210462,-0.00019588
-170.185462,-0.00019678
-170.160462,-0.00019771
-170.135462,-0.00019862
-170.110462,-0.00019947
-170.085462,-0.00020029
-170.060462,-0.00020101
-170.035462,-0.00020168
-170.010462,-0.00020237
-169.985462,-0.00020315
-169.960462,-0.00020401
-169.935462,-0.00020490
-169.910462,-0.00020579
-169.885462,-0.00020669
-169.860462,-0.00020756
-169.835462,-0.00020840
-169.810462,-0.00020919
-169.785462,-0.00020995
-169.760462,-0.00021067
-169.735462,-0.00021133
-169.710462,-0.00021194
-169.685462,-0.00021254
-169.660462,-0.00021318
-169.635462,-0.00021385
-169.610462,-0.00021446
-169.585462,-0.00021502
-169.560462,-0.00021556
-169.535462,-0.00021613
-169.510462,-0.00021676
-169.485462,-0.00021740
-169.460462,-0.00021801
-169.435462,-0.00021860
-169.410462,-0.00021916
-169.385462,-0.00021964
-169.360462,-0.00022003
-169.335462,-0.00022036
-169.310462,-0.00022064
-169.285462,-0.00022091
-169.260462,-0.00022121
-169.235462,-0.00022157
-169.210462,-0.00022194
-169.185462,-0.00022228
-169.160462,-0.00022264
-169.135462,-0.00022297
-169.110462,-0.00022333
-169.085462,-0.00022380
-169.060462,-0.00022432
-169.035462,-0.00022487
-169.010462,-0.00022547
-168.985462,-0.00022603
-168.960462,-0.00022653
-168.935462,-0.00022709
-168.910462,-0.00022758
-168.885462,-0.00022797
-168.860462,-0.00022838
-168.835462,-0.00022880
-168.810462,-0.00022922
-168.785462,-0.00022962
-168.760462,-0.00022997
-168.735462,-0.00023035
-168.710462,-0.00023071
-168.685462,-0.00023095
-168.660462,-0.00023116
-168.635462,-0.00023144
-168.610462,-0.00023183
-168.585462,-0.00023236
-168.560462,-0.00023301
-168.535462,-0.00023368
-168.510462,-0.00023430
-168.485462,-0.00023490
-168.460462,-0.00023552
-168.435462,-0.00023608
-168.410462,-0.00023659
-168.385462,-0.00023714
-168.360462,-0.00023771
