time,displacement
-179.960462,0.00011686
-179.910462,0.00012252
-179.860462,0.00012815
-179.810462,0.00013375
-179.760462,0.00013931
-179.710462,0.00014485
-179.660462,0.00015036
-179.610462,0.00015585
-179.560462,0.00016130
-179.510462,0.00016672
-179.460462,0.00017212
-179.410462,0.00017750
-179.360462,0.00018285
-179.310462,0.00018818
-179.260462,0.00019351
-179.210462,0.00019883
-179.160462,0.00020412
-179.110462,0.00020939
-179.060462,0.00021467
-179.010462,0.00021996
-178.960462,0.00022524
-178.910462,0.00023051
-178.860462,0.00023580
-178.810462,0.00024109
-178.760462,0.00024636
-178.710462,0.00025163
-178.660462,0.00025692
-178.610462,0.00026221
-178.560462,0.00026747
-178.510462,0.00027269
-178.460462,0.00027794
-178.410462,0.00028320
-178.360462,0.00028843
-178.310462,0.00029366
-178.260462,0.00029893
-178.210462,0.00030424
-178.160462,0.00030953
-178.110462,0.00031480
-178.060462,0.00032011
-178.010462,0.00032543
-177.960462,0.00033072
-177.910462,0.00033597
-177.860462,0.00034126
-177.810462,0.00034656
-177.760462,0.00035181
-177.710462,0.00035703
-177.660462,0.00036229
-177.610462,0.00036760
-177.560462,0.00037290
-177.510462,0.00037818
-177.460462,0.00038351
-177.410462,0.00038884
-177.360462,0.00039409
-177.310462,0.00039925
-177.260462,0.00040443
-177.210462,0.00040963
-177.160462,0.00041475
-177.110462,0.00041979
-177.060462,0.00042485
-177.010462,0.00042997
-176.960462,0.00043502
-176.910462,0.00044000
-176.860462,0.00044503
-176.810462,0.00045009
-176.760462,0.00045507
-176.710462,0.00046001
-176.660462,0.00046499
-176.610462,0.00047002
-176.560462,0.00047498
-176.510462,0.00047985
-176.460462,0.00048472
-176.410462,0.00048960
-176.360462,0.00049437
-176.310462,0.00049903
-176.260462,0.00050369
-176.210462,0.00050839
-176.160462,0.00051299
-176.110462,0.00051747
-176.060462,0.00052196
-176.010462,0.00052652
-175.960462,0.00053099
-175.910462,0.00053532
-175.860462,0.00053967
-175.810462,0.00054399
-175.760462,0.00054817
-175.710462,0.00055226
-175.660462,0.00055637
-175.610462,0.00056053
-175.560462,0.00056457
-175.510462,0.00056851
-175.460462,0.00057244
-175.410462,0.00057639
-175.360462,0.00058021
-175.310462,0.00058390
-175.260462,0.00058765
-175.210462,0.00059135
-175.160462,0.00059479
-175.110462,0.00059811
-175.060462,0.00060157
-175.010462,0.00060510
-174.960462,0.00060852
-174.910462,0.00061188
-174.860462,0.00061526
-174.810462,0.00061855
-174.760462,0.00062161
-174.710462,0.00062455
-174.660462,0.00062763
-174.610462,0.00063075
-174.560462,0.00063376
-174.510462,0.00063671
-174.460462,0.00063980
-174.410462,0.00064297
-174.360462,0.00064607
-174.310462,0.00064917
