time,displacement
-179.985462,-0.00154593
-179.960462,-0.00228074
-179.935462,-0.00301434
-179.910462,-0.00374621
-179.885462,-0.00447646
-179.860462,-0.00520534
-179.835462,-0.00593287
-179.810462,-0.00665888
-179.785462,-0.00738330
-179.760462,-0.00810620
-179.735462,-0.00882768
-179.710462,-0.00954771
-179.685462,-0.01026619
-179.660462,-0.01098311
-179.635462,-0.01169852
-179.610462,-0.01241246
-179.585462,-0.01312489
-179.560462,-0.01383574
-179.535462,-0.01454504
-179.510462,-0.01525282
-179.485462,-0.01595909
-179.460462,-0.01666381
-179.435462,-0.01736696
-179.410462,-0.01806855
-179.385462,-0.01876860
-179.360462,-0.01946710
-179.335462,-0.02016402
-179.310462,-0.02085935
-179.285462,-0.02155313
-179.260462,-0.02224537
-179.235462,-0.02293603
-179.210462,-0.02362511
-179.185462,-0.02431259
-179.160462,-0.02499848
-179.135462,-0.02568279
-179.110462,-0.02636551
-179.085462,-0.02704664
-179.060462,-0.02772618
-179.035462,-0.02840414
-179.010462,-0.02908049
-178.985462,-0.02975522
-178.960462,-0.03042834
-178.935462,-0.03109985
-178.910462,-0.03176976
-178.885462,-0.03243807
-178.860462,-0.03310474
-178.835462,-0.03376978
-178.810462,-0.03443318
-178.785462,-0.03509496
-178.760462,-0.03575512
-178.735462,-0.03641366
-178.710462,-0.03707057
-178.685462,-0.03772583
-178.660462,-0.03837942
-178.635462,-0.03903136
-178.610462,-0.03968167
-178.585462,-0.04033035
-178.560462,-0.04097739
-178.535462,-0.04162280
-178.510462,-0.04226655
-178.485462,-0.04290865
-178.460462,-0.04354910
-178.435462,-0.04418789
-178.410462,-0.04482501
-178.385462,-0.04546048
-178.360462,-0.04609431
-178.335462,-0.04672651
-178.310462,-0.04735708
-178.285462,-0.04798599
-178.260462,-0.04861323
-178.235462,-0.04923881
-178.210462,-0.04986272
-178.185462,-0.05048496
-178.160462,-0.05110554
-178.135462,-0.05172445
-178.110462,-0.05234170
-178.085462,-0.05295727
-178.060462,-0.05357114
-178.035462,-0.05418331
-178.010462,-0.05479380
-177.985462,-0.05540262
-177.960462,-0.05600975
-177.935462,-0.05661515
-177.910462,-0.05721881
-177.885462,-0.05782076
-177.860462,-0.05842102
-177.835462,-0.05901958
-177.810462,-0.05961642
-177.785462,-0.06021153
-177.760462,-0.06080492
-177.735462,-0.06139661
-177.710462,-0.06198659
-177.685462,-0.06257482
-177.660462,-0.06316126
-177.635462,-0.06374593
-177.610462,-0.06432887
-177.585462,-0.06491009
-177.560462,-0.06548959
-177.535462,-0.06606733
-177.510462,-0.06664327
-177.485462,-0.06721743
-177.460462,-0.06778981
-177.435462,-0.06836042
-177.410462,-0.06892926
-177.385462,-0.06949635
-177.360462,-0.07006170
-177.335462,-0.07062531
-177.310462,-0.07118714
-177.285462,-0.07174717
-177.260462,-0.07230538
-177.235462,-0.07286179
-177.210462,-0.07341644
-177.185462,-0.07396933
-177.160462,-0.07452047
-177.135462,-0.07506982
-177.110462,-0.07561737
-177.085462,-0.07616310
-177.060462,-0.07670702
-177.035462,-0.07724916
-177.010462,-0.07778952
-176.985462,-0.07832808
-176.960462,-0.07886481
-176.935462,-0.07939971
-176.910462,-0.07993282
-176.885462,-0.08046418
-176.860462,-0.08099377
-176.835462,-0.08152154
-176.810462,-0.08204744
-176.785462,-0.08257149
-176.760462,-0.08309375
-176.735462,-0.08361427
-176.710462,-0.08413304
-176.685462,-0.08465001
-176.660462,-0.08516518
-176.635462,-0.08567856
-176.610462,-0.08619015
-176.585462,-0.08669994
-176.560462,-0.08720791
-176.535462,-0.08771406
-176.510462,-0.08821838
-176.485462,-0.08872089
-176.460462,-0.08922157
-176.435462,-0.08972045
-176.410462,-0.09021755
-176.385462,-0.09071293
-176.360462,-0.09120659
-176.335462,-0.09169848
-176.310462,-0.09218856
-176.285462,-0.09267680
-176.260462,-0.09316325
-176.235462,-0.09364795
-176.210462,-0.09413090
-176.185462,-0.09461209
-176.160462,-0.09509146
-176.135462,-0.09556899
-176.110462,-0.09604469
-176.085462,-0.09651859
-176.060462,-0.09699070
-176.035462,-0.09746104
-176.010462,-0.09792958
-175.985462,-0.09839628
-175.960462,-0.09886114
-175.935462,-0.09932414
-175.910462,-0.09978529
-175.885462,-0.10024461
-175.860462,-0.10070211
-175.835462,-0.10115777
-175.810462,-0.10161161
-175.785462,-0.10206361
-175.760462,-0.10251375
-175.735462,-0.10296201
-175.710462,-0.10340839
-175.685462,-0.10385290
-175.660462,-0.10429558
-175.635462,-0.10473645
-175.610462,-0.10517547
-175.585462,-0.10561258
-175.560462,-0.10604774
-175.535462,-0.10648097
-175.510462,-0.10691233
-175.485462,-0.10734186
-175.460462,-0.10776954
-175.435462,-0.10819531
-175.410462,-0.10861911
-175.385462,-0.10904094
-175.360462,-0.10946086
-175.335462,-0.10987888
-175.310462,-0.11029501
-175.285462,-0.11070919
-175.260462,-0.11112142
-175.235462,-0.11153174
-175.210462,-0.11194019
-175.185462,-0.11234676
-175.160462,-0.11275139
-175.135462,-0.11315401
-175.110462,-0.11355466
-175.085462,-0.11395341
-175.060462,-0.11435032
-175.035462,-0.11474537
-175.010462,-0.11513848
-174.985462,-0.11552960
-174.960462,-0.11591874
-174.935462,-0.11630595
-174.910462,-0.11669125
-174.885462,-0.11707461
-174.860462,-0.11745598
-174.835462,-0.11783537
-174.810462,-0.11821282
-174.785462,-0.11858837
-174.760462,-0.11896198
-174.735462,-0.11933362
-174.710462,-0.11970330
-174.685462,-0.12007104
-174.660462,-0.12043688
-174.635462,-0.12080081
-174.610462,-0.12116277
-174.585462,-0.12152276
-174.560462,-0.12188082
-174.535462,-0.12223697
-174.510462,-0.12259121
-174.485462,-0.12294351
-174.460462,-0.12329383
-174.435462,-0.12364218
-174.410462,-0.12398860
-174.385462,-0.12433310
-174.360462,-0.12467568
-174.335462,-0.12501632
-174.310462,-0.12535498
-174.285462,-0.12569167
-174.260462,-0.12602639
-174.235462,-0.12635917
-174.210462,-0.12668999
-174.185462,-0.12701882
-174.160462,-0.12734564
-174.135462,-0.12767047
-174.110462,-0.12799337
-174.085462,-0.12831440
-174.060462,-0.12863354
-174.035462,-0.12895071
-174.010462,-0.12926585
-173.985462,-0.12957897
-173.960462,-0.12989014
-173.935462,-0.13019940
-173.910462,-0.13050676
-173.885462,-0.13081220
-173.860462,-0.13111566
-173.835462,-0.13141714
-173.810462,-0.13171666
-173.785462,-0.13201423
-173.760462,-0.13230989
-173.735462,-0.13260365
-173.710462,-0.13289552
-173.685462,-0.13318552
-173.660462,-0.13347364
-173.635462,-0.13375985
-173.610462,-0.13404416
-173.585462,-0.13432655
-173.560462,-0.13460703
-173.535462,-0.13488562
-173.510462,-0.13516236
-173.485462,-0.13543725
-173.460462,-0.13571027
-173.435462,-0.13598140
-173.410462,-0.13625065
-173.385462,-0.13651807
-173.360462,-0.13678369
-173.335462,-0.13704747
-173.310462,-0.13730933
-173.285462,-0.13756925
-173.260462,-0.13782729
-173.235462,-0.13808351
-173.210462,-0.13833794
-173.185462,-0.13859053
-173.160462,-0.13884125
-173.135462,-0.13909019
-173.110462,-0.13933747
-173.085462,-0.13958312
-173.060462,-0.13982701
-173.035462,-0.14006898
-173.010462,-0.14030900
-172.985462,-0.14054719
-172.960462,-0.14078369
-172.935462,-0.14101857
-172.910462,-0.14125179
-172.885462,-0.14148329
-172.860462,-0.14171305
-172.835462,-0.14194109
-172.810462,-0.14216736
-172.785462,-0.14239182
-172.760462,-0.14261443
-172.735462,-0.14283521
-172.710462,-0.14305421
-172.685462,-0.14327148
-172.660462,-0.14348703
-172.635462,-0.14370090
-172.610462,-0.14391307
-172.585462,-0.14412351
-172.560462,-0.14433215
-172.535462,-0.14453896
-172.510462,-0.14474403
-172.485462,-0.14494747
-172.460462,-0.14514930
-172.435462,-0.14534945
-172.410462,-0.14554783
-172.385462,-0.14574443
-172.360462,-0.14593932
-172.335462,-0.14613260
-172.310462,-0.14632422
-172.285462,-0.14651410
-172.260462,-0.14670218
-172.235462,-0.14688849
-172.210462,-0.14707315
-172.185462,-0.14725623
-172.160462,-0.14743769
-172.135462,-0.14761745
-172.110462,-0.14779542
-172.085462,-0.14797163
-172.060462,-0.14814611
-172.035462,-0.14831894
-172.010462,-0.14849016
-171.985462,-0.14865978
-171.960462,-0.14882783
-171.935462,-0.14899431
-171.910462,-0.14915919
-171.885462,-0.14932242
-171.860462,-0.14948398
-171.835462,-0.14964393
-171.810462,-0.14980231
-171.785462,-0.14995916
-171.760462,-0.15011442
-171.735462,-0.15026807
-171.710462,-0.15042014
-171.685462,-0.15057070
-171.660462,-0.15071977
-171.635462,-0.15086729
-171.610462,-0.15101318
-171.585462,-0.15115744
-171.560462,-0.15130007
-171.535462,-0.15144112
-171.510462,-0.15158056
-171.485462,-0.15171838
-171.460462,-0.15185465
-171.435462,-0.15198942
-171.410462,-0.15212269
-171.385462,-0.15225440
-171.360462,-0.15238445
-171.335462,-0.15251285
-171.310462,-0.15263971
-171.285462,-0.15276508
-171.260462,-0.15288893
-171.235462,-0.15301115
-171.210462,-0.15313167
-171.185462,-0.15325052
-171.160462,-0.15336778
-171.135462,-0.15348349
-171.110462,-0.15359764
-171.085462,-0.15371023
-171.060462,-0.15382124
-171.035462,-0.15393063
-171.010462,-0.15403840
-170.985462,-0.15414453
-170.960462,-0.15424904
-170.935462,-0.15435197
-170.910462,-0.15445333
-170.885462,-0.15455314
-170.860462,-0.15465139
-170.835462,-0.15474810
-170.810462,-0.15484332
-170.785462,-0.15493709
-170.760462,-0.15502939
-170.735462,-0.15512012
-170.710462,-0.15520921
-170.685462,-0.15529664
-170.660462,-0.15538247
-170.635462,-0.15546680
-170.610462,-0.15554966
-170.585462,-0.15563100
-170.560462,-0.15571077
-170.535462,-0.15578897
-170.510462,-0.15586565
-170.485462,-0.15594084
-170.460462,-0.15601450
-170.435462,-0.15608654
-170.410462,-0.15615696
-170.385462,-0.15622582
-170.360462,-0.15629320
-170.335462,-0.15635909
-170.310462,-0.15642345
-170.285462,-0.15648623
-170.260462,-0.15654750
-170.235462,-0.15660732
-170.210462,-0.15666563
-170.185462,-0.15672232
-170.160462,-0.15677731
-170.135462,-0.15683064
-170.110462,-0.15688245
-170.085462,-0.15693280
-170.060462,-0.15698168
-170.035462,-0.15702904
-170.010462,-0.15707487
-169.985462,-0.15711914
-169.960462,-0.15716184
-169.935462,-0.15720297
