time,displacement
-179.985462,-0.01131333
-179.960462,-0.01073114
-179.935462,-0.01014986
-179.910462,-0.00956993
-179.885462,-0.00899124
-179.860462,-0.00841359
-179.835462,-0.00783698
-179.810462,-0.00726154
-179.785462,-0.00668732
-179.760462,-0.00611426
-179.735462,-0.00554230
-179.710462,-0.00497145
-179.685462,-0.00440180
-179.660462,-0.00383336
-179.635462,-0.00326607
-179.610462,-0.00269992
-179.585462,-0.00213495
-179.560462,-0.00157119
-179.535462,-0.00100864
-179.510462,-0.00044727
-179.485462,0.00011294
-179.460462,0.00067195
-179.435462,0.00122973
-179.410462,0.00178630
-179.385462,0.00234168
-179.360462,0.00289586
-179.335462,0.00344882
-179.310462,0.00400054
-179.285462,0.00455105
-179.260462,0.00510035
-179.235462,0.00564844
-179.210462,0.00619530
-179.185462,0.00674091
-179.160462,0.00728528
-179.135462,0.00782842
-179.110462,0.00837033
-179.085462,0.00891099
-179.060462,0.00945040
-179.035462,0.00998857
-179.010462,0.01052551
-178.985462,0.01106120
-178.960462,0.01159562
-178.935462,0.01212877
-178.910462,0.01266064
-178.885462,0.01319126
-178.860462,0.01372062
-178.835462,0.01424872
-178.810462,0.01477556
-178.785462,0.01530112
-178.760462,0.01582541
-178.735462,0.01634842
-178.710462,0.01687016
-178.685462,0.01739062
-178.660462,0.01790979
-178.635462,0.01842767
-178.610462,0.01894428
-178.585462,0.01945962
-178.560462,0.01997367
-178.535462,0.02048642
-178.510462,0.02099787
-178.485462,0.02150803
-178.460462,0.02201690
-178.435462,0.02252449
-178.410462,0.02303077
-178.385462,0.02353573
-178.360462,0.02403939
-178.335462,0.02454176
-178.310462,0.02504285
-178.285462,0.02554262
-178.260462,0.02604108
-178.235462,0.02653823
-178.210462,0.02703406
-178.185462,0.02752860
-178.160462,0.02802183
-178.135462,0.02851373
-178.110462,0.02900430
-178.085462,0.02949356
-178.060462,0.02998151
-178.035462,0.03046813
-178.010462,0.03095341
-177.985462,0.03143736
-177.960462,0.03192000
-177.935462,0.03240133
-177.910462,0.03288133
-177.885462,0.03335998
-177.860462,0.03383726
-177.835462,0.03431321
-177.810462,0.03478787
-177.785462,0.03526124
-177.760462,0.03573331
-177.735462,0.03620404
-177.710462,0.03667345
-177.685462,0.03714155
-177.660462,0.03760836
-177.635462,0.03807386
-177.610462,0.03853804
-177.585462,0.03900086
-177.560462,0.03946236
-177.535462,0.03992254
-177.510462,0.04038140
-177.485462,0.04083895
-177.460462,0.04129518
-177.435462,0.04175010
-177.410462,0.04220370
-177.385462,0.04265598
-177.360462,0.04310696
-177.335462,0.04355662
-177.310462,0.04400498
-177.285462,0.04445201
-177.260462,0.04489772
-177.235462,0.04534209
-177.210462,0.04578514
-177.185462,0.04622688
-177.160462,0.04666729
-177.135462,0.04710636
-177.110462,0.04754409
-177.085462,0.04798051
-177.060462,0.04841562
-177.035462,0.04884944
-177.010462,0.04928191
-176.985462,0.04971302
-176.960462,0.05014279
-176.935462,0.05057124
-176.910462,0.05099836
-176.885462,0.05142416
-176.860462,0.05184863
-176.835462,0.05227180
-176.810462,0.05269367
-176.785462,0.05311424
-176.760462,0.05353347
-176.735462,0.05395135
-176.710462,0.05436790
-176.685462,0.05478313
-176.660462,0.05519700
-176.635462,0.05560948
-176.610462,0.05602056
-176.585462,0.05643027
-176.560462,0.05683864
-176.535462,0.05724564
-176.510462,0.05765127
-176.485462,0.05805551
-176.460462,0.05845841
-176.435462,0.05886000
-176.410462,0.05926027
-176.385462,0.05965916
-176.360462,0.06005665
-176.335462,0.06045275
-176.310462,0.06084750
-176.285462,0.06124091
-176.260462,0.06163298
-176.235462,0.06202369
-176.210462,0.06241302
-176.185462,0.06280094
-176.160462,0.06318744
-176.135462,0.06357250
-176.110462,0.06395612
-176.085462,0.06433835
-176.060462,0.06471922
-176.035462,0.06509871
-176.010462,0.06547678
-175.985462,0.06585338
-175.960462,0.06622853
-175.935462,0.06660227
-175.910462,0.06697462
-175.885462,0.06734558
-175.860462,0.06771513
-175.835462,0.06808326
-175.810462,0.06844994
-175.785462,0.06881516
-175.760462,0.06917890
-175.735462,0.06954114
-175.710462,0.06990193
-175.685462,0.07026130
-175.660462,0.07061921
-175.635462,0.07097561
-175.610462,0.07133044
-175.585462,0.07168374
-175.560462,0.07203556
-175.535462,0.07238594
-175.510462,0.07273488
-175.485462,0.07308234
-175.460462,0.07342828
-175.435462,0.07377268
-175.410462,0.07411553
-175.385462,0.07445682
-175.360462,0.07479659
-175.335462,0.07513485
-175.310462,0.07547160
-175.285462,0.07580678
-175.260462,0.07614033
-175.235462,0.07647225
-175.210462,0.07680263
-175.185462,0.07713151
-175.160462,0.07745886
-175.135462,0.07778463
-175.110462,0.07810876
-175.085462,0.07843130
-175.060462,0.07875228
-175.035462,0.07907172
-175.010462,0.07938959
-174.985462,0.07970592
-174.960462,0.08002071
-174.935462,0.08033397
-174.910462,0.08064565
-174.885462,0.08095569
-174.860462,0.08126411
-174.835462,0.08157093
-174.810462,0.08187618
-174.785462,0.08217982
-174.760462,0.08248182
-174.735462,0.08278221
-174.710462,0.08308102
-174.685462,0.08337826
-174.660462,0.08367388
-174.635462,0.08396784
-174.610462,0.08426018
-174.585462,0.08455095
-174.560462,0.08484017
-174.535462,0.08512779
-174.510462,0.08541376
-174.485462,0.08569814
-174.460462,0.08598099
-174.435462,0.08626237
-174.410462,0.08654226
-174.385462,0.08682059
-174.360462,0.08709731
-174.335462,0.08737243
-174.310462,0.08764597
