time,displacement
-179.985462,0.00072152
-179.960462,0.00073210
-179.935462,0.00074264
-179.910462,0.00075315
-179.885462,0.00076362
-179.860462,0.00077406
-179.835462,0.00078445
-179.810462,0.00079480
-179.785462,0.00080512
-179.760462,0.00081540
-179.735462,0.00082564
-179.710462,0.00083583
-179.685462,0.00084598
-179.660462,0.00085608
-179.635462,0.00086615
-179.610462,0.00087617
-179.585462,0.00088615
-179.560462,0.00089609
-179.535462,0.00090598
-179.510462,0.00091581
-179.485462,0.00092559
-179.460462,0.00093532
-179.435462,0.00094501
-179.410462,0.00095465
-179.385462,0.00096423
-179.360462,0.00097376
-179.335462,0.00098324
-179.310462,0.00099269
-179.285462,0.00100210
-179.260462,0.00101146
-179.235462,0.00102077
-179.210462,0.00103003
-179.185462,0.00103924
-179.160462,0.00104839
-179.135462,0.00105751
-179.110462,0.00106658
-179.085462,0.00107563
-179.060462,0.00108464
-179.035462,0.00109360
-179.010462,0.00110250
-178.985462,0.00111135
-178.960462,0.00112016
-178.935462,0.00112895
-178.910462,0.00113771
-178.885462,0.00114644
-178.860462,0.00115512
-178.835462,0.00116378
-178.810462,0.00117240
-178.785462,0.00118097
-178.760462,0.00118951
-178.735462,0.00119802
-178.710462,0.00120650
-178.685462,0.00121496
-178.660462,0.00122338
-178.635462,0.00123177
-178.610462,0.00124014
-178.585462,0.00124849
-178.560462,0.00125680
-178.535462,0.00126508
-178.510462,0.00127334
-178.485462,0.00128158
-178.460462,0.00128981
-178.435462,0.00129800
-178.410462,0.00130614
-178.385462,0.00131423
-178.360462,0.00132231
-178.335462,0.00133039
-178.310462,0.00133844
-178.285462,0.00134647
-178.260462,0.00135447
-178.235462,0.00136243
-178.210462,0.00137035
-178.185462,0.00137823
-178.160462,0.00138607
-178.135462,0.00139389
-178.110462,0.00140169
-178.085462,0.00140947
-178.060462,0.00141722
-178.035462,0.00142495
-178.010462,0.00143267
-177.985462,0.00144038
-177.960462,0.00144807
-177.935462,0.00145570
-177.910462,0.00146329
-177.885462,0.00147086
-177.860462,0.00147845
-177.835462,0.00148604
-177.810462,0.00149359
-177.785462,0.00150106
-177.760462,0.00150849
-177.735462,0.00151592
-177.710462,0.00152338
-177.685462,0.00153084
-177.660462,0.00153828
-177.635462,0.00154571
-177.610462,0.00155312
-177.585462,0.00156053
-177.560462,0.00156792
-177.535462,0.00157530
-177.510462,0.00158268
-177.485462,0.00159008
-177.460462,0.00159750
-177.435462,0.00160492
-177.410462,0.00161233
-177.385462,0.00161973
-177.360462,0.00162716
-177.335462,0.00163459
-177.310462,0.00164199
-177.285462,0.00164936
-177.260462,0.00165674
-177.235462,0.00166415
-177.210462,0.00167157
-177.185462,0.00167897
-177.160462,0.00168631
-177.135462,0.00169363
-177.110462,0.00170098
-177.085462,0.00170835
-177.060462,0.00171570
-177.035462,0.00172300
-177.010462,0.00173027
-176.985462,0.00173756
-176.960462,0.00174487
-176.935462,0.00175217
-176.910462,0.00175944
-176.885462,0.00176666
-176.860462,0.00177385
-176.835462,0.00178101
-176.810462,0.00178816
-176.785462,0.00179531
-176.760462,0.00180249
-176.735462,0.00180970
-176.710462,0.00181691
-176.685462,0.00182408
-176.660462,0.00183119
-176.635462,0.00183825
-176.610462,0.00184529
-176.585462,0.00185234
-176.560462,0.00185940
-176.535462,0.00186647
-176.510462,0.00187353
-176.485462,0.00188058
-176.460462,0.00188759
-176.435462,0.00189458
-176.410462,0.00190156
-176.385462,0.00190853
