time,displacement
-179.980000,0.01006218
-179.955000,0.01003407
-179.930000,0.01000592
-179.905000,0.00997771
-179.880000,0.00994946
-179.855000,0.00992115
-179.830000,0.00989280
-179.805000,0.00986439
-179.780000,0.00983592
-179.755000,0.00980741
-179.730000,0.00977886
-179.705000,0.00975025
-179.680000,0.00972160
-179.655000,0.00969290
-179.630000,0.00966415
-179.605000,0.00963536
-179.580000,0.00960651
-179.555000,0.00957762
-179.530000,0.00954868
-179.505000,0.00951969
-179.480000,0.00949066
-179.455000,0.00946159
-179.430000,0.00943247
-179.405000,0.00940331
-179.380000,0.00937410
-179.355000,0.00934486
-179.330000,0.00931557
-179.305000,0.00928625
-179.280000,0.00925688
-179.255000,0.00922747
-179.230000,0.00919803
-179.205000,0.00916856
-179.180000,0.00913905
-179.155000,0.00910949
-179.130000,0.00907988
-179.105000,0.00905022
-179.080000,0.00902052
-179.055000,0.00899078
-179.030000,0.00896100
-179.005000,0.00893121
-178.980000,0.00890139
-178.955000,0.00887154
-178.930000,0.00884165
-178.905000,0.00881172
-178.880000,0.00878174
-178.855000,0.00875173
-178.830000,0.00872167
-178.805000,0.00869156
-178.780000,0.00866140
-178.755000,0.00863121
-178.730000,0.00860097
-178.705000,0.00857070
-178.680000,0.00854040
-178.655000,0.00851007
-178.630000,0.00847972
-178.605000,0.00844934
-178.580000,0.00841893
-178.555000,0.00838848
-178.530000,0.00835800
-178.505000,0.00832747
-178.480000,0.00829689
-178.455000,0.00826625
-178.430000,0.00823554
-178.405000,0.00820480
-178.380000,0.00817402
-178.355000,0.00814324
-178.330000,0.00811242
-178.305000,0.00808158
-178.280000,0.00805070
-178.255000,0.00801979
-178.230000,0.00798884
-178.205000,0.00795781
-178.180000,0.00792672
-178.155000,0.00789555
-178.130000,0.00786436
-178.105000,0.00783314
-178.080000,0.00780192
-178.055000,0.00777066
-178.030000,0.00773937
-178.005000,0.00770803
-177.980000,0.00767667
-177.955000,0.00764527
-177.930000,0.00761384
-177.905000,0.00758238
-177.880000,0.00755088
-177.855000,0.00751935
-177.830000,0.00748779
-177.805000,0.00745621
-177.780000,0.00742460
-177.755000,0.00739295
-177.730000,0.00736127
-177.705000,0.00732957
-177.680000,0.00729788
-177.655000,0.00726621
-177.630000,0.00723452
-177.605000,0.00720278
-177.580000,0.00717098
-177.555000,0.00713913
-177.530000,0.00710727
-177.505000,0.00707539
-177.480000,0.00704347
-177.455000,0.00701151
-177.430000,0.00697953
-177.405000,0.00694756
-177.380000,0.00691559
-177.355000,0.00688357
-177.330000,0.00685151
-177.305000,0.00681941
-177.280000,0.00678728
-177.255000,0.00675513
-177.230000,0.00672293
-177.205000,0.00669069
-177.180000,0.00665838
-177.155000,0.00662603
-177.130000,0.00659362
-177.105000,0.00656117
-177.080000,0.00652868
-177.055000,0.00649620
-177.030000,0.00646372
-177.005000,0.00643122
-176.980000,0.00639868
-176.955000,0.00636609
-176.930000,0.00633342
-176.905000,0.00630069
-176.880000,0.00626787
-176.855000,0.00623498
-176.830000,0.00620203
-176.805000,0.00616907
-176.780000,0.00613609
-176.755000,0.00610308
-176.730000,0.00607003
-176.705000,0.00603693
-176.680000,0.00600377
-176.655000,0.00597056
-176.630000,0.00593730
-176.605000,0.00590400
-176.580000,0.00587067
-176.555000,0.00583732
-176.530000,0.00580394
-176.505000,0.00577052
-176.480000,0.00573703
-176.455000,0.00570347
-176.430000,0.00566979
-176.405000,0.00563603
-176.380000,0.00560219
-176.355000,0.00556832
-176.330000,0.00553441
-176.305000,0.00550043
-176.280000,0.00546637
-176.255000,0.00543223
-176.230000,0.00539803
-176.205000,0.00536375
-176.180000,0.00532938
-176.155000,0.00529492
-176.130000,0.00526044
-176.105000,0.00522596
-176.080000,0.00519147
-176.055000,0.00515689
-176.030000,0.00512220
-176.005000,0.00508745
-175.980000,0.00505272
-175.955000,0.00501806
-175.930000,0.00498339
-175.905000,0.00494864
-175.880000,0.00491379
-175.855000,0.00487887
-175.830000,0.00484393
-175.805000,0.00480898
-175.780000,0.00477398
-175.755000,0.00473894
-175.730000,0.00470391
-175.705000,0.00466895
-175.680000,0.00463403
-175.655000,0.00459910
