time,displacement
-179.980000,0.00370838
-179.955000,0.00370005
-179.930000,0.00369170
-179.905000,0.00368334
-179.880000,0.00367496
-179.855000,0.00366655
-179.830000,0.00365813
-179.805000,0.00364969
-179.780000,0.00364122
-179.755000,0.00363274
-179.730000,0.00362424
-179.705000,0.00361571
-179.680000,0.00360717
-179.655000,0.00359860
-179.630000,0.00359002
-179.605000,0.00358141
-179.580000,0.00357277
-179.555000,0.00356411
-179.530000,0.00355542
-179.505000,0.00354672
-179.480000,0.00353799
-179.455000,0.00352923
-179.430000,0.00352045
-179.405000,0.00351164
-179.380000,0.00350282
-179.355000,0.00349398
-179.330000,0.00348512
-179.305000,0.00347622
-179.280000,0.00346730
-179.255000,0.00345836
-179.230000,0.00344940
-179.205000,0.00344041
-179.180000,0.00343141
-179.155000,0.00342238
-179.130000,0.00341333
-179.105000,0.00340426
-179.080000,0.00339517
-179.055000,0.00338604
-179.030000,0.00337688
-179.005000,0.00336769
-178.980000,0.00335848
-178.955000,0.00334925
-178.930000,0.00334001
-178.905000,0.00333077
-178.880000,0.00332154
-178.855000,0.00331229
-178.830000,0.00330301
-178.805000,0.00329370
-178.780000,0.00328438
-178.755000,0.00327505
-178.730000,0.00326570
-178.705000,0.00325634
-178.680000,0.00324695
-178.655000,0.00323756
-178.630000,0.00322816
-178.605000,0.00321873
-178.580000,0.00320929
-178.555000,0.00319985
-178.530000,0.00319042
-178.505000,0.00318100
-178.480000,0.00317155
-178.455000,0.00316207
-178.430000,0.00315257
-178.405000,0.00314307
-178.380000,0.00313357
-178.355000,0.00312404
-178.330000,0.00311444
-178.305000,0.00310479
-178.280000,0.00309514
-178.255000,0.00308551
-178.230000,0.00307586
-178.205000,0.00306615
-178.180000,0.00305637
-178.155000,0.00304655
-178.130000,0.00303672
-178.105000,0.00302689
-178.080000,0.00301705
-178.055000,0.00300717
-178.030000,0.00299727
-178.005000,0.00298736
-177.980000,0.00297745
-177.955000,0.00296752
-177.930000,0.00295755
-177.905000,0.00294754
-177.880000,0.00293749
-177.855000,0.00292742
-177.830000,0.00291732
-177.805000,0.00290720
-177.780000,0.00289706
-177.755000,0.00288688
-177.730000,0.00287664
-177.705000,0.00286633
-177.680000,0.00285597
-177.655000,0.00284559
-177.630000,0.00283522
-177.605000,0.00282487
-177.580000,0.00281451
-177.555000,0.00280413
-177.530000,0.00279372
-177.505000,0.00278330
-177.480000,0.00277285
-177.455000,0.00276235
-177.430000,0.00275179
-177.405000,0.00274119
-177.380000,0.00273056
-177.355000,0.00271995
-177.330000,0.00270935
-177.305000,0.00269874
-177.280000,0.00268808
-177.255000,0.00267735
-177.230000,0.00266656
-177.205000,0.00265574
-177.180000,0.00264493
-177.155000,0.00263414
-177.130000,0.00262334
-177.105000,0.00261251
-177.080000,0.00260164
-177.055000,0.00259074
