time,displacement
-179.980000,-0.00032556
-179.955000,-0.00031893
-179.930000,-0.00031229
-179.905000,-0.00030565
-179.880000,-0.00029901
-179.855000,-0.00029236
-179.830000,-0.00028570
-179.805000,-0.00027903
-179.780000,-0.00027237
-179.755000,-0.00026570
-179.730000,-0.00025903
-179.705000,-0.00025235
-179.680000,-0.00024567
-179.655000,-0.00023899
-179.630000,-0.00023231
-179.605000,-0.00022563
-179.580000,-0.00021894
-179.555000,-0.00021225
-179.530000,-0.00020556
-179.505000,-0.00019887
-179.480000,-0.00019219
-179.455000,-0.00018550
-179.430000,-0.00017881
-179.405000,-0.00017212
-179.380000,-0.00016544
-179.355000,-0.00015875
-179.330000,-0.00015206
-179.305000,-0.00014535
-179.280000,-0.00013865
-179.255000,-0.00013196
-179.230000,-0.00012528
-179.205000,-0.00011861
-179.180000,-0.00011195
-179.155000,-0.00010527
-179.130000,-0.00009860
-179.105000,-0.00009193
-179.080000,-0.00008526
-179.055000,-0.00007859
-179.030000,-0.00007191
-179.005000,-0.00006522
-178.980000,-0.00005853
-178.955000,-0.00005187
-178.930000,-0.00004522
-178.905000,-0.00003858
-178.880000,-0.00003193
-178.855000,-0.00002528
-178.830000,-0.00001862
-178.805000,-0.00001197
-178.780000,-0.00000531
-178.755000,0.00000135
-178.730000,0.00000801
-178.705000,0.00001467
-178.680000,0.00002130
-178.655000,0.00002793
-178.630000,0.00003457
-178.605000,0.00004121
-178.580000,0.00004784
-178.555000,0.00005446
-178.530000,0.00006109
-178.505000,0.00006774
-178.480000,0.00007442
-178.455000,0.00008111
-178.430000,0.00008779
-178.405000,0.00009446
-178.380000,0.00010115
-178.355000,0.00010785
-178.330000,0.00011457
-178.305000,0.00012127
-178.280000,0.00012795
-178.255000,0.00013459
-178.230000,0.00014124
-178.205000,0.00014789
-178.180000,0.00015455
-178.155000,0.00016120
-178.130000,0.00016783
-178.105000,0.00017442
-178.080000,0.00018098
-178.055000,0.00018752
-178.030000,0.00019404
-178.005000,0.00020056
-177.980000,0.00020706
-177.955000,0.00021355
-177.930000,0.00022004
-177.905000,0.00022652
-177.880000,0.00023300
-177.855000,0.00023945
-177.830000,0.00024587
-177.805000,0.00025224
-177.780000,0.00025857
-177.755000,0.00026489
-177.730000,0.00027119
-177.705000,0.00027750
-177.680000,0.00028382
-177.655000,0.00029016
-177.630000,0.00029650
-177.605000,0.00030283
-177.580000,0.00030914
-177.555000,0.00031544
-177.530000,0.00032174
-177.505000,0.00032807
-177.480000,0.00033441
-177.455000,0.00034077
-177.430000,0.00034712
-177.405000,0.00035347
-177.380000,0.00035982
-177.355000,0.00036616
-177.330000,0.00037250
-177.305000,0.00037884
-177.280000,0.00038523
-177.255000,0.00039166
-177.230000,0.00039814
-177.205000,0.00040464
-177.180000,0.00041113
-177.155000,0.00041762
-177.130000,0.00042410
-177.105000,0.00043061
-177.080000,0.00043714
-177.055000,0.00044371
-177.030000,0.00045033
-177.005000,0.00045697
-176.980000,0.00046363
-176.955000,0.00047029
-176.930000,0.00047693
-176.905000,0.00048358
-176.880000,0.00049021
-176.855000,0.00049682
-176.830000,0.00050345
-176.805000,0.00051009
-176.780000,0.00051677
-176.755000,0.00052345
-176.730000,0.00053014
-176.705000,0.00053684
-176.680000,0.00054354
-176.655000,0.00055027
-176.630000,0.00055699
-176.605000,0.00056372
-176.580000,0.00057047
-176.555000,0.00057724
-176.530000,0.00058401
-176.505000,0.00059075
-176.480000,0.00059745
-176.455000,0.00060416
-176.430000,0.00061089
-176.405000,0.00061766
-176.380000,0.00062442
-176.355000,0.00063119
-176.330000,0.00063798
-176.305000,0.00064481
-176.280000,0.00065164
-176.255000,0.00065839
-176.230000,0.00066508
-176.205000,0.00067176
-176.180000,0.00067851
-176.155000,0.00068536
-176.130000,0.00069223
-176.105000,0.00069910
-176.080000,0.00070595
-176.055000,0.00071283
-176.030000,0.00071972
-176.005000,0.00072662
-175.980000,0.00073349
-175.955000,0.00074038
-175.930000,0.00074733
-175.905000,0.00075435
-175.880000,0.00076142
-175.855000,0.00076850
-175.830000,0.00077556
-175.805000,0.00078263
-175.780000,0.00078973
-175.755000,0.00079686
-175.730000,0.00080400
-175.705000,0.00081114
-175.680000,0.00081833
-175.655000,0.00082558
-175.630000,0.00083288
-175.605000,0.00084018
-175.580000,0.00084746
-175.555000,0.00085474
-175.530000,0.00086209
