time,displacement
-179.985462,-0.00030353
-179.960462,-0.00029081
-179.935462,-0.00027811
-179.910462,-0.00026543
-179.885462,-0.00025277
-179.860462,-0.00024013
-179.835462,-0.00022752
-179.810462,-0.00021493
-179.785462,-0.00020236
-179.760462,-0.00018982
-179.735462,-0.00017730
-179.710462,-0.00016481
-179.685462,-0.00015234
-179.660462,-0.00013990
-179.635462,-0.00012748
-179.610462,-0.00011508
-179.585462,-0.00010271
-179.560462,-0.00009037
-179.535462,-0.00007805
-179.510462,-0.00006576
-179.485462,-0.00005350
-179.460462,-0.00004126
-179.435462,-0.00002905
-179.410462,-0.00001686
-179.385462,-0.00000470
-179.360462,0.00000743
-179.335462,0.00001953
-179.310462,0.00003161
-179.285462,0.00004366
-179.260462,0.00005568
-179.235462,0.00006767
-179.210462,0.00007964
-179.185462,0.00009158
-179.160462,0.00010349
-179.135462,0.00011537
-179.110462,0.00012722
-179.085462,0.00013905
-179.060462,0.00015084
-179.035462,0.00016261
-179.010462,0.00017435
-178.985462,0.00018607
-178.960462,0.00019776
-178.935462,0.00020942
-178.910462,0.00022105
-178.885462,0.00023266
-178.860462,0.00024424
-178.835462,0.00025580
-178.810462,0.00026733
-178.785462,0.00027883
-178.760462,0.00029030
-178.735462,0.00030175
-178.710462,0.00031318
-178.685462,0.00032458
-178.660462,0.00033595
-178.635462,0.00034730
-178.610462,0.00035863
-178.585462,0.00036994
-178.560462,0.00038122
-178.535462,0.00039249
-178.510462,0.00040372
-178.485462,0.00041494
-178.460462,0.00042614
-178.435462,0.00043731
-178.410462,0.00044846
-178.385462,0.00045959
-178.360462,0.00047070
-178.335462,0.00048178
-178.310462,0.00049284
-178.285462,0.00050388
-178.260462,0.00051490
-178.235462,0.00052590
-178.210462,0.00053687
-178.185462,0.00054783
-178.160462,0.00055876
-178.135462,0.00056968
-178.110462,0.00058057
-178.085462,0.00059145
-178.060462,0.00060230
-178.035462,0.00061314
-178.010462,0.00062396
-177.985462,0.00063476
-177.960462,0.00064554
-177.935462,0.00065630
-177.910462,0.00066704
-177.885462,0.00067776
-177.860462,0.00068847
-177.835462,0.00069916
-177.810462,0.00070984
-177.785462,0.00072049
-177.760462,0.00073113
-177.735462,0.00074175
-177.710462,0.00075236
-177.685462,0.00076295
-177.660462,0.00077352
-177.635462,0.00078408
-177.610462,0.00079462
-177.585462,0.00080514
-177.560462,0.00081564
-177.535462,0.00082613
-177.510462,0.00083660
-177.485462,0.00084706
-177.460462,0.00085750
-177.435462,0.00086792
-177.410462,0.00087833
-177.385462,0.00088872
-177.360462,0.00089908
-177.335462,0.00090943
-177.310462,0.00091976
-177.285462,0.00093007
-177.260462,0.00094037
-177.235462,0.00095064
-177.210462,0.00096090
-177.185462,0.00097114
-177.160462,0.00098136
-177.135462,0.00099156
-177.110462,0.00100174
-177.085462,0.00101190
-177.060462,0.00102204
-177.035462,0.00103216
-177.010462,0.00104226
-176.985462,0.00105234
-176.960462,0.00106240
-176.935462,0.00107243
-176.910462,0.00108245
-176.885462,0.00109244
-176.860462,0.00110240
-176.835462,0.00111235
-176.810462,0.00112226
-176.785462,0.00113216
-176.760462,0.00114204
-176.735462,0.00115190
-176.710462,0.00116173
-176.685462,0.00117154
-176.660462,0.00118133
-176.635462,0.00119110
