time,displacement
-179.985462,-0.00387837
-179.960462,-0.00387497
-179.935462,-0.00387156
-179.910462,-0.00386815
-179.885462,-0.00386474
-179.860462,-0.00386133
-179.835462,-0.00385791
-179.810462,-0.00385449
-179.785462,-0.00385107
-179.760462,-0.00384765
-179.735462,-0.00384422
-179.710462,-0.00384078
-179.685462,-0.00383735
-179.660462,-0.00383391
-179.635462,-0.00383047
-179.610462,-0.00382703
-179.585462,-0.00382358
-179.560462,-0.00382013
-179.535462,-0.00381668
-179.510462,-0.00381323
-179.485462,-0.00380977
-179.460462,-0.00380631
-179.435462,-0.00380285
-179.410462,-0.00379939
-179.385462,-0.00379592
-179.360462,-0.00379245
-179.335462,-0.00378898
-179.310462,-0.00378550
-179.285462,-0.00378202
-179.260462,-0.00377854
-179.235462,-0.00377506
-179.210462,-0.00377157
-179.185462,-0.00376809
-179.160462,-0.00376460
-179.135462,-0.00376111
-179.110462,-0.00375762
-179.085462,-0.00375412
-179.060462,-0.00375063
-179.035462,-0.00374713
-179.010462,-0.00374363
-178.985462,-0.00374012
-178.960462,-0.00373662
-178.935462,-0.00373311
-178.910462,-0.00372960
-178.885462,-0.00372609
-178.860462,-0.00372258
-178.835462,-0.00371907
-178.810462,-0.00371555
-178.785462,-0.00371203
-178.760462,-0.00370850
-178.735462,-0.00370498
-178.710462,-0.00370146
-178.685462,-0.00369794
-178.660462,-0.00369442
-178.635462,-0.00369089
-178.610462,-0.00368736
-178.585462,-0.00368383
-178.560462,-0.00368030
-178.535462,-0.00367678
-178.510462,-0.00367325
-178.485462,-0.00366972
-178.460462,-0.00366619
-178.435462,-0.00366265
-178.410462,-0.00365912
-178.385462,-0.00365559
-178.360462,-0.00365206
-178.335462,-0.00364854
-178.310462,-0.00364501
-178.285462,-0.00364149
-178.260462,-0.00363796
-178.235462,-0.00363443
-178.210462,-0.00363091
-178.185462,-0.00362739
-178.160462,-0.00362387
-178.135462,-0.00362035
-178.110462,-0.00361682
-178.085462,-0.00361330
-178.060462,-0.00360978
-178.035462,-0.00360625
-178.010462,-0.00360272
-177.985462,-0.00359920
-177.960462,-0.00359567
-177.935462,-0.00359215
-177.910462,-0.00358863
-177.885462,-0.00358511
-177.860462,-0.00358159
-177.835462,-0.00357807
-177.810462,-0.00357454
-177.785462,-0.00357102
-177.760462,-0.00356749
-177.735462,-0.00356396
-177.710462,-0.00356043
-177.685462,-0.00355690
-177.660462,-0.00355337
-177.635462,-0.00354984
-177.610462,-0.00354631
-177.585462,-0.00354278
-177.560462,-0.00353926
-177.535462,-0.00353573
-177.510462,-0.00353220
-177.485462,-0.00352867
-177.460462,-0.00352515
-177.435462,-0.00352162
-177.410462,-0.00351810
-177.385462,-0.00351458
-177.360462,-0.00351105
-177.335462,-0.00350753
-177.310462,-0.00350402
-177.285462,-0.00350051
-177.260462,-0.00349700
-177.235462,-0.00349350
-177.210462,-0.00349001
-177.185462,-0.00348651
-177.160462,-0.00348302
-177.135462,-0.00347953
-177.110462,-0.00347606
-177.085462,-0.00347259
-177.060462,-0.00346912
-177.035462,-0.00346566
-177.010462,-0.00346221
-176.985462,-0.00345876
-176.960462,-0.00345532
-176.935462,-0.00345189
-176.910462,-0.00344847
-176.885462,-0.00344506
-176.860462,-0.00344166
-176.835462,-0.00343826
-176.810462,-0.00343487
-176.785462,-0.00343149
-176.760462,-0.00342812
-176.735462,-0.00342476
-176.710462,-0.00342141
-176.685462,-0.00341806
-176.660462,-0.00341473
-176.635462,-0.00341141
-176.610462,-0.00340810
-176.585462,-0.00340480
-176.560462,-0.00340152
-176.535462,-0.00339825
-176.510462,-0.00339499
-176.485462,-0.00339174
-176.460462,-0.00338849
-176.435462,-0.00338525
-176.410462,-0.00338203
-176.385462,-0.00337881
-176.360462,-0.00337560
-176.335462,-0.00337239
-176.310462,-0.00336919
-176.285462,-0.00336600
-176.260462,-0.00336282
-176.235462,-0.00335964
