time,displacement
-179.985462,0.00984180
-179.960462,0.00982059
-179.935462,0.00979935
-179.910462,0.00977811
-179.885462,0.00975686
-179.860462,0.00973560
-179.835462,0.00971432
-179.810462,0.00969303
-179.785462,0.00967173
-179.760462,0.00965043
-179.735462,0.00962911
-179.710462,0.00960778
-179.685462,0.00958645
-179.660462,0.00956510
-179.635462,0.00954375
-179.610462,0.00952239
-179.585462,0.00950102
-179.560462,0.00947964
-179.535462,0.00945825
-179.510462,0.00943686
-179.485462,0.00941545
-179.460462,0.00939404
-179.435462,0.00937263
-179.410462,0.00935121
-179.385462,0.00932978
-179.360462,0.00930834
-179.335462,0.00928691
-179.310462,0.00926546
-179.285462,0.00924401
-179.260462,0.00922256
-179.235462,0.00920110
-179.210462,0.00917964
-179.185462,0.00915818
-179.160462,0.00913671
-179.135462,0.00911524
-179.110462,0.00909376
-179.085462,0.00907228
-179.060462,0.00905081
-179.035462,0.00902933
-179.010462,0.00900784
-178.985462,0.00898636
-178.960462,0.00896487
-178.935462,0.00894338
-178.910462,0.00892189
-178.885462,0.00890040
-178.860462,0.00887892
-178.835462,0.00885743
-178.810462,0.00883594
-178.785462,0.00881445
-178.760462,0.00879296
-178.735462,0.00877148
-178.710462,0.00874999
-178.685462,0.00872851
-178.660462,0.00870702
-178.635462,0.00868553
-178.610462,0.00866404
-178.585462,0.00864256
-178.560462,0.00862108
-178.535462,0.00859959
-178.510462,0.00857812
-178.485462,0.00855664
-178.460462,0.00853516
-178.435462,0.00851369
-178.410462,0.00849223
-178.385462,0.00847076
-178.360462,0.00844930
-178.335462,0.00842784
-178.310462,0.00840638
-178.285462,0.00838492
-178.260462,0.00836347
-178.235462,0.00834201
-178.210462,0.00832056
-178.185462,0.00829912
-178.160462,0.00827767
-178.135462,0.00825623
-178.110462,0.00823479
-178.085462,0.00821335
-178.060462,0.00819191
-178.035462,0.00817048
-178.010462,0.00814905
-177.985462,0.00812762
-177.960462,0.00810619
-177.935462,0.00808476
-177.910462,0.00806333
-177.885462,0.00804190
-177.860462,0.00802047
-177.835462,0.00799904
-177.810462,0.00797761
-177.785462,0.00795618
-177.760462,0.00793476
-177.735462,0.00791333
-177.710462,0.00789190
-177.685462,0.00787047
-177.660462,0.00784903
-177.635462,0.00782760
-177.610462,0.00780617
-177.585462,0.00778474
-177.560462,0.00776330
-177.535462,0.00774186
-177.510462,0.00772042
-177.485462,0.00769897
-177.460462,0.00767752
-177.435462,0.00765606
-177.410462,0.00763461
-177.385462,0.00761315
-177.360462,0.00759169
-177.335462,0.00757024
-177.310462,0.00754878
-177.285462,0.00752732
-177.260462,0.00750585
-177.235462,0.00748438
-177.210462,0.00746290
-177.185462,0.00744142
-177.160462,0.00741994
-177.135462,0.00739845
-177.110462,0.00737696
-177.085462,0.00735547
-177.060462,0.00733398
-177.035462,0.00731249
-177.010462,0.00729099
-176.985462,0.00726949
-176.960462,0.00724798
-176.935462,0.00722648
-176.910462,0.00720497
-176.885462,0.00718345
-176.860462,0.00716192
-176.835462,0.00714039
-176.810462,0.00711886
-176.785462,0.00709732
-176.760462,0.00707577
-176.735462,0.00705422
-176.710462,0.00703266
-176.685462,0.00701110
-176.660462,0.00698954
-176.635462,0.00696796
-176.610462,0.00694638
-176.585462,0.00692480
-176.560462,0.00690321
-176.535462,0.00688161
-176.510462,0.00686000
-176.485462,0.00683837
-176.460462,0.00681673
-176.435462,0.00679508
-176.410462,0.00677342
-176.385462,0.00675176
-176.360462,0.00673008
-176.335462,0.00670839
-176.310462,0.00668668
-176.285462,0.00666496
-176.260462,0.00664323
-176.235462,0.00662149
-176.210462,0.00659973
-176.185462,0.00657796
-176.160462,0.00655618
-176.135462,0.00653439
-176.110462,0.00651258
-176.085462,0.00649075
-176.060462,0.00646889
-176.035462,0.00644702
-176.010462,0.00642514
-175.985462,0.00640325
-175.960462,0.00638134
-175.935462,0.00635941
-175.910462,0.00633745
-175.885462,0.00631548
-175.860462,0.00629350
-175.835462,0.00627150
-175.810462,0.00624948
-175.785462,0.00622744
-175.760462,0.00620537
-175.735462,0.00618328
-175.710462,0.00616117
-175.685462,0.00613904
-175.660462,0.00611690
-175.635462,0.00609473
-175.610462,0.00607254
-175.585462,0.00605035
-175.560462,0.00602813
-175.535462,0.00600588
-175.510462,0.00598361
-175.485462,0.00596131
-175.460462,0.00593899
-175.435462,0.00591666
-175.410462,0.00589431
-175.385462,0.00587194
-175.360462,0.00584954
-175.335462,0.00582712
-175.310462,0.00580468
-175.285462,0.00578221
-175.260462,0.00575973
-175.235462,0.00573721
-175.210462,0.00571468
-175.185462,0.00569213
-175.160462,0.00566956
-175.135462,0.00564697
-175.110462,0.00562435
-175.085462,0.00560172
-175.060462,0.00557906
-175.035462,0.00555640
-175.010462,0.00553371
-174.985462,0.00551101
-174.960462,0.00548829
-174.935462,0.00546555
-174.910462,0.00544280
-174.885462,0.00542003
-174.860462,0.00539725
-174.835462,0.00537446
-174.810462,0.00535166
-174.785462,0.00532884
-174.760462,0.00530600
-174.735462,0.00528315
-174.710462,0.00526028
-174.685462,0.00523741
-174.660462,0.00521454
-174.635462,0.00519166
-174.610462,0.00516876
-174.585462,0.00514585
-174.560462,0.00512294
-174.535462,0.00510001
-174.510462,0.00507708
-174.485462,0.00505414
-174.460462,0.00503119
-174.435462,0.00500823
-174.410462,0.00498524
-174.385462,0.00496225
-174.360462,0.00493924
-174.335462,0.00491623
-174.310462,0.00489322
-174.285462,0.00487021
-174.260462,0.00484719
-174.235462,0.00482417
-174.210462,0.00480115
-174.185462,0.00477811
-174.160462,0.00475507
-174.135462,0.00473203
-174.110462,0.00470897
-174.085462,0.00468591
-174.060462,0.00466284
-174.035462,0.00463977
-174.010462,0.00461670
-173.985462,0.00459362
-173.960462,0.00457054
-173.935462,0.00454746
-173.910462,0.00452437
-173.885462,0.00450126
-173.860462,0.00447815
-173.835462,0.00445504
-173.810462,0.00443193
-173.785462,0.00440881
-173.760462,0.00438568
-173.735462,0.00436253
-173.710462,0.00433938
-173.685462,0.00431621
-173.660462,0.00429303
-173.635462,0.00426984
-173.610462,0.00424665
-173.585462,0.00422345
-173.560462,0.00420025
-173.535462,0.00417705
-173.510462,0.00415383
-173.485462,0.00413061
-173.460462,0.00410737
-173.435462,0.00408413
-173.410462,0.00406087
-173.385462,0.00403762
-173.360462,0.00401435
-173.335462,0.00399108
-173.310462,0.00396779
-173.285462,0.00394447
-173.260462,0.00392114
-173.235462,0.00389779
-173.210462,0.00387444
-173.185462,0.00385107
-173.160462,0.00382770
-173.135462,0.00380431
-173.110462,0.00378091
-173.085462,0.00375749
-173.060462,0.00373407
-173.035462,0.00371064
-173.010462,0.00368722
-172.985462,0.00366381
-172.960462,0.00364041
-172.935462,0.00361702
-172.910462,0.00359362
-172.885462,0.00357022
-172.860462,0.00354682
-172.835462,0.00352342
-172.810462,0.00350001
-172.785462,0.00347661
-172.760462,0.00345321
-172.735462,0.00342984
-172.710462,0.00340649
-172.685462,0.00338316
-172.660462,0.00335984
-172.635462,0.00333653
-172.610462,0.00331324
-172.585462,0.00328998
-172.560462,0.00326673
-172.535462,0.00324351
-172.510462,0.00322030
-172.485462,0.00319713
-172.460462,0.00317399
-172.435462,0.00315090
-172.410462,0.00312784
-172.385462,0.00310481
-172.360462,0.00308182
-172.335462,0.00305886
-172.310462,0.00303593
-172.285462,0.00301303
-172.260462,0.00299017
-172.235462,0.00296736
-172.210462,0.00294459
-172.185462,0.00292186
-172.160462,0.00289918
-172.135462,0.00287655
-172.110462,0.00285398
-172.085462,0.00283145
-172.060462,0.00280897
-172.035462,0.00278654
-172.010462,0.00276415
-171.985462,0.00274182
-171.960462,0.00271955
-171.935462,0.00269734
-171.910462,0.00267519
-171.885462,0.00265309
-171.860462,0.00263106
-171.835462,0.00260909
-171.810462,0.00258718
-171.785462,0.00256534
-171.760462,0.00254355
-171.735462,0.00252183
-171.710462,0.00250017
-171.685462,0.00247857
-171.660462,0.00245704
-171.635462,0.00243558
-171.610462,0.00241418
-171.585462,0.00239284
-171.560462,0.00237158
-171.535462,0.00235038
-171.510462,0.00232925
-171.485462,0.00230819
-171.460462,0.00228718
-171.435462,0.00226623
-171.410462,0.00224535
-171.385462,0.00222453
-171.360462,0.00220378
-171.335462,0.00218309
-171.310462,0.00216247
-171.285462,0.00214192
-171.260462,0.00212142
-171.235462,0.00210097
-171.210462,0.00208058
-171.185462,0.00206025
-171.160462,0.00203999
-171.135462,0.00201977
-171.110462,0.00199961
-171.085462,0.00197948
-171.060462,0.00195940
-171.035462,0.00193937
-171.010462,0.00191941
-170.985462,0.00189949
-170.960462,0.00187964
-170.935462,0.00185983
-170.910462,0.00184007
-170.885462,0.00182034
-170.860462,0.00180064
-170.835462,0.00178097
-170.810462,0.00176134
-170.785462,0.00174176
-170.760462,0.00172222
-170.735462,0.00170272
-170.710462,0.00168324
-170.685462,0.00166379
-170.660462,0.00164436
-170.635462,0.00162497
-170.610462,0.00160561
-170.585462,0.00158628
-170.560462,0.00156698
-170.535462,0.00154771
-170.510462,0.00152846
-170.485462,0.00150925
-170.460462,0.00149007
-170.435462,0.00147089
-170.410462,0.00145173
-170.385462,0.00143258
-170.360462,0.00141346
-170.335462,0.00139437
-170.310462,0.00137530
-170.285462,0.00135623
-170.260462,0.00133717
-170.235462,0.00131813
-170.210462,0.00129910
-170.185462,0.00128008
-170.160462,0.00126107
-170.135462,0.00124207
-170.110462,0.00122306
-170.085462,0.00120403
-170.060462,0.00118500
-170.035462,0.00116596
-170.010462,0.00114691
-169.985462,0.00112787
-169.960462,0.00110880
-169.935462,0.00108973
-169.910462,0.00107063
-169.885462,0.00105154
-169.860462,0.00103246
-169.835462,0.00101337
-169.810462,0.00099427
-169.785462,0.00097514
-169.760462,0.00095599
-169.735462,0.00093683
-169.710462,0.00091766
-169.685462,0.00089847
-169.660462,0.00087925
-169.635462,0.00086000
-169.610462,0.00084072
-169.585462,0.00082142
-169.560462,0.00080209
-169.535462,0.00078273
-169.510462,0.00076333
-169.485462,0.00074390
-169.460462,0.00072443
-169.435462,0.00070493
-169.410462,0.00068537
-169.385462,0.00066577
-169.360462,0.00064612
-169.335462,0.00062643
-169.310462,0.00060670
-169.285462,0.00058692
-169.260462,0.00056708
-169.235462,0.00054718
-169.210462,0.00052722
-169.185462,0.00050720
-169.160462,0.00048713
-169.135462,0.00046699
-169.110462,0.00044678
-169.085462,0.00042651
-169.060462,0.00040618
-169.035462,0.00038580
-169.010462,0.00036537
-168.985462,0.00034488
-168.960462,0.00032432
-168.935462,0.00030369
-168.910462,0.00028299
-168.885462,0.00026221
-168.860462,0.00024135
-168.835462,0.00022043
-168.810462,0.00019943
-168.785462,0.00017837
-168.760462,0.00015725
-168.735462,0.00013606
-168.710462,0.00011481
-168.685462,0.00009349
-168.660462,0.00007209
-168.635462,0.00005060
-168.610462,0.00002903
-168.585462,0.00000738
-168.560462,-0.00001434
-168.535462,-0.00003613
-168.510462,-0.00005799
-168.485462,-0.00007992
-168.460462,-0.00010189
-168.435462,-0.00012394
-168.410462,-0.00014606
-168.385462,-0.00016827
-168.360462,-0.00019057
-168.335462,-0.00021295
-168.310462,-0.00023541
-168.285462,-0.00025794
-168.260462,-0.00028054
-168.235462,-0.00030322
-168.210462,-0.00032596
-168.185462,-0.00034877
-168.160462,-0.00037165
-168.135462,-0.00039459
-168.110462,-0.00041761
-168.085462,-0.00044070
-168.060462,-0.00046385
-168.035462,-0.00048705
-168.010462,-0.00051033
-167.985462,-0.00053367
-167.960462,-0.00055708
-167.935462,-0.00058055
-167.910462,-0.00060408
-167.885462,-0.00062766
-167.860462,-0.00065130
-167.835462,-0.00067498
-167.810462,-0.00069870
-167.785462,-0.00072247
-167.760462,-0.00074628
-167.735462,-0.00077015
-167.710462,-0.00079406
-167.685462,-0.00081801
-167.660462,-0.00084198
-167.635462,-0.00086599
-167.610462,-0.00089003
-167.585462,-0.00091409
-167.560462,-0.00093816
-167.535462,-0.00096223
-167.510462,-0.00098632
-167.485462,-0.00101044
-167.460462,-0.00103459
-167.435462,-0.00105877
-167.410462,-0.00108294
-167.385462,-0.00110710
-167.360462,-0.00113125
-167.335462,-0.00115541
-167.310462,-0.00117957
-167.285462,-0.00120373
-167.260462,-0.00122788
-167.235462,-0.00125201
-167.210462,-0.00127613
-167.185462,-0.00130023
-167.160462,-0.00132431
-167.135462,-0.00134838
-167.110462,-0.00137242
-167.085462,-0.00139644
-167.060462,-0.00142042
-167.035462,-0.00144438
-167.010462,-0.00146831
-166.985462,-0.00149221
-166.960462,-0.00151607
-166.935462,-0.00153990
-166.910462,-0.00156369
-166.885462,-0.00158744
-166.860462,-0.00161115
-166.835462,-0.00163480
-166.810462,-0.00165838
-166.785462,-0.00168188
-166.760462,-0.00170532
-166.735462,-0.00172870
-166.710462,-0.00175202
-166.685462,-0.00177530
-166.660462,-0.00179852
-166.635462,-0.00182169
-166.610462,-0.00184481
-166.585462,-0.00186785
-166.560462,-0.00189083
-166.535462,-0.00191373
-166.510462,-0.00193655
-166.485462,-0.00195929
-166.460462,-0.00198193
-166.435462,-0.00200449
-166.410462,-0.00202698
-166.385462,-0.00204940
-166.360462,-0.00207174
-166.335462,-0.00209398
-166.310462,-0.00211613
-166.285462,-0.00213817
-166.260462,-0.00216012
-166.235462,-0.00218195
-166.210462,-0.00220368
-166.185462,-0.00222532
-166.160462,-0.00224687
-166.135462,-0.00226831
-166.110462,-0.00228964
-166.085462,-0.00231085
-166.060462,-0.00233196
-166.035462,-0.00235296
-166.010462,-0.00237386
-165.985462,-0.00239466
-165.960462,-0.00241534
-165.935462,-0.00243592
-165.910462,-0.00245639
-165.885462,-0.00247676
-165.860462,-0.00249703
-165.835462,-0.00251718
-165.810462,-0.00253721
-165.785462,-0.00255714
-165.760462,-0.00257697
-165.735462,-0.00259672
-165.710462,-0.00261636
-165.685462,-0.00263589
-165.660462,-0.00265530
-165.635462,-0.00267460
-165.610462,-0.00269382
-165.585462,-0.00271295
-165.560462,-0.00273198
-165.535462,-0.00275090
-165.510462,-0.00276971
-165.485462,-0.00278842
-165.460462,-0.00280704
-165.435462,-0.00282557
-165.410462,-0.00284400
-165.385462,-0.00286236
-165.360462,-0.00288063
-165.335462,-0.00289882
-165.310462,-0.00291689
-165.285462,-0.00293485
-165.260462,-0.00295270
-165.235462,-0.00297046
-165.210462,-0.00298811
-165.185462,-0.00300567
-165.160462,-0.00302312
-165.135462,-0.00304047
-165.110462,-0.00305773
-165.085462,-0.00307490
-165.060462,-0.00309196
-165.035462,-0.00310891
-165.010462,-0.00312576
-164.985462,-0.00314251
-164.960462,-0.00315918
-164.935462,-0.00317576
-164.910462,-0.00319227
-164.885462,-0.00320869
-164.860462,-0.00322503
-164.835462,-0.00324127
-164.810462,-0.00325743
-164.785462,-0.00327351
-164.760462,-0.00328951
-164.735462,-0.00330544
-164.710462,-0.00332130
-164.685462,-0.00333708
-164.660462,-0.00335279
-164.635462,-0.00336845
-164.610462,-0.00338405
-164.585462,-0.00339958
-164.560462,-0.00341506
-164.535462,-0.00343048
-164.510462,-0.00344587
-164.485462,-0.00346124
-164.460462,-0.00347658
-164.435462,-0.00349188
-164.410462,-0.00350712
-164.385462,-0.00352232
-164.360462,-0.00353748
-164.335462,-0.00355261
-164.310462,-0.00356770
-164.285462,-0.00358275
-164.260462,-0.00359777
-164.235462,-0.00361276
-164.210462,-0.00362772
-164.185462,-0.00364268
-164.160462,-0.00365763
-164.135462,-0.00367255
-164.110462,-0.00368745
-164.085462,-0.00370230
-164.060462,-0.00371712
-164.035462,-0.00373193
-164.010462,-0.00374673
-163.985462,-0.00376150
-163.960462,-0.00377625
-163.935462,-0.00379096
-163.910462,-0.00380567
-163.885462,-0.00382037
-163.860462,-0.00383505
-163.835462,-0.00384971
-163.810462,-0.00386433
-163.785462,-0.00387895
-163.760462,-0.00389358
-163.735462,-0.00390823
-163.710462,-0.00392289
-163.685462,-0.00393755
-163.660462,-0.00395222
-163.635462,-0.00396689
-163.610462,-0.00398156
-163.585462,-0.00399623
-163.560462,-0.00401089
