time,displacement
-179.985500,-0.00223258
-179.960500,-0.00222450
-179.935500,-0.00221640
-179.910500,-0.00220827
-179.885500,-0.00220010
-179.860500,-0.00219190
-179.835500,-0.00218367
-179.810500,-0.00217539
-179.785500,-0.00216707
-179.760500,-0.00215872
-179.735500,-0.00215031
-179.710500,-0.00214186
-179.685500,-0.00213336
-179.660500,-0.00212482
-179.635500,-0.00211621
-179.610500,-0.00210756
-179.585500,-0.00209886
-179.560500,-0.00209010
-179.535500,-0.00208128
-179.510500,-0.00207241
-179.485500,-0.00206348
-179.460500,-0.00205450
-179.435500,-0.00204546
-179.410500,-0.00203636
-179.385500,-0.00202721
-179.360500,-0.00201800
-179.335500,-0.00200876
-179.310500,-0.00199945
-179.285500,-0.00199009
-179.260500,-0.00198070
-179.235500,-0.00197126
-179.210500,-0.00196177
-179.185500,-0.00195225
-179.160500,-0.00194270
-179.135500,-0.00193310
-179.110500,-0.00192347
-179.085500,-0.00191382
-179.060500,-0.00190411
-179.035500,-0.00189436
-179.010500,-0.00188460
-178.985500,-0.00187478
-178.960500,-0.00186493
-178.935500,-0.00185504
-178.910500,-0.00184509
-178.885500,-0.00183508
-178.860500,-0.00182504
-178.835500,-0.00181493
-178.810500,-0.00180478
-178.785500,-0.00179458
-178.760500,-0.00178433
-178.735500,-0.00177401
-178.710500,-0.00176363
-178.685500,-0.00175323
-178.660500,-0.00174276
-178.635500,-0.00173226
-178.610500,-0.00172173
-178.585500,-0.00171115
-178.560500,-0.00170055
-178.535500,-0.00168991
-178.510500,-0.00167928
-178.485500,-0.00166863
-178.460500,-0.00165795
-178.435500,-0.00164729
-178.410500,-0.00163663
-178.385500,-0.00162596
-178.360500,-0.00161531
-178.335500,-0.00160463
-178.310500,-0.00159401
-178.285500,-0.00158338
-178.260500,-0.00157274
-178.235500,-0.00156212
-178.210500,-0.00155149
-178.185500,-0.00154086
-178.160500,-0.00153022
-178.135500,-0.00151960
-178.110500,-0.00150899
-178.085500,-0.00149837
-178.060500,-0.00148773
-178.035500,-0.00147708
-178.010500,-0.00146647
-177.985500,-0.00145583
-177.960500,-0.00144517
-177.935500,-0.00143453
-177.910500,-0.00142387
-177.885500,-0.00141319
-177.860500,-0.00140253
-177.835500,-0.00139189
-177.810500,-0.00138127
-177.785500,-0.00137060
-177.760500,-0.00135997
-177.735500,-0.00134934
-177.710500,-0.00133869
-177.685500,-0.00132808
-177.660500,-0.00131744
-177.635500,-0.00130678
-177.610500,-0.00129612
-177.585500,-0.00128547
-177.560500,-0.00127480
-177.535500,-0.00126408
-177.510500,-0.00125339
-177.485500,-0.00124263
-177.460500,-0.00123187
-177.435500,-0.00122113
-177.410500,-0.00121032
-177.385500,-0.00119950
-177.360500,-0.00118868
-177.335500,-0.00117781
-177.310500,-0.00116692
-177.285500,-0.00115604
-177.260500,-0.00114514
-177.235500,-0.00113419
-177.210500,-0.00112321
-177.185500,-0.00111227
-177.160500,-0.00110130
-177.135500,-0.00109028
-177.110500,-0.00107929
-177.085500,-0.00106828
-177.060500,-0.00105726
-177.035500,-0.00104629
-177.010500,-0.00103530
-176.985500,-0.00102432
-176.960500,-0.00101333
-176.935500,-0.00100240
-176.910500,-0.00099150
-176.885500,-0.00098054
-176.860500,-0.00096965
-176.835500,-0.00095879
-176.810500,-0.00094789
-176.785500,-0.00093702
-176.760500,-0.00092618
-176.735500,-0.00091533
-176.710500,-0.00090449
-176.685500,-0.00089371
-176.660500,-0.00088296
-176.635500,-0.00087218
-176.610500,-0.00086146
-176.585500,-0.00085089
-176.560500,-0.00084026
-176.535500,-0.00082968
-176.510500,-0.00081935
-176.485500,-0.00080903
-176.460500,-0.00079866
-176.435500,-0.00078847
-176.410500,-0.00077844
-176.385500,-0.00076841
-176.360500,-0.00075847
-176.335500,-0.00074870
-176.310500,-0.00073901
-176.285500,-0.00072942
-176.260500,-0.00072002
-176.235500,-0.00071067
-176.210500,-0.00070138
-176.185500,-0.00069244
-176.160500,-0.00068356
-176.135500,-0.00067470
-176.110500,-0.00066612
-176.085500,-0.00065770
-176.060500,-0.00064941
-176.035500,-0.00064121
-176.010500,-0.00063321
-175.985500,-0.00062539
-175.960500,-0.00061757
-175.935500,-0.00061000
-175.910500,-0.00060254
-175.885500,-0.00059507
-175.860500,-0.00058777
-175.835500,-0.00058058
-175.810500,-0.00057343
-175.785500,-0.00056633
-175.760500,-0.00055935
-175.735500,-0.00055245
