time,displacement
-179.985500,-0.00971552
-179.960500,-0.00970876
-179.935500,-0.00970196
-179.910500,-0.00969512
-179.885500,-0.00968822
-179.860500,-0.00968128
-179.835500,-0.00967429
-179.810500,-0.00966725
-179.785500,-0.00966016
-179.760500,-0.00965302
-179.735500,-0.00964583
-179.710500,-0.00963860
-179.685500,-0.00963132
-179.660500,-0.00962399
-179.635500,-0.00961661
-179.610500,-0.00960918
-179.585500,-0.00960173
-179.560500,-0.00959422
-179.535500,-0.00958668
-179.510500,-0.00957910
-179.485500,-0.00957149
-179.460500,-0.00956384
-179.435500,-0.00955616
-179.410500,-0.00954847
-179.385500,-0.00954075
-179.360500,-0.00953301
-179.335500,-0.00952526
-179.310500,-0.00951750
-179.285500,-0.00950972
-179.260500,-0.00950193
-179.235500,-0.00949415
-179.210500,-0.00948635
-179.185500,-0.00947854
-179.160500,-0.00947073
-179.135500,-0.00946290
-179.110500,-0.00945507
-179.085500,-0.00944724
-179.060500,-0.00943938
-179.035500,-0.00943151
-179.010500,-0.00942363
-178.985500,-0.00941575
-178.960500,-0.00940785
-178.935500,-0.00939992
-178.910500,-0.00939199
-178.885500,-0.00938404
-178.860500,-0.00937608
-178.835500,-0.00936812
-178.810500,-0.00936013
-178.785500,-0.00935213
-178.760500,-0.00934413
-178.735500,-0.00933610
-178.710500,-0.00932808
-178.685500,-0.00932003
-178.660500,-0.00931197
-178.635500,-0.00930391
-178.610500,-0.00929582
-178.585500,-0.00928772
-178.560500,-0.00927961
-178.535500,-0.00927147
-178.510500,-0.00926331
-178.485500,-0.00925512
-178.460500,-0.00924690
-178.435500,-0.00923861
-178.410500,-0.00923028
-178.385500,-0.00922190
-178.360500,-0.00921345
-178.335500,-0.00920496
-178.310500,-0.00919638
-178.285500,-0.00918775
-178.260500,-0.00917907
-178.235500,-0.00917029
-178.210500,-0.00916146
-178.185500,-0.00915256
-178.160500,-0.00914356
-178.135500,-0.00913455
-178.110500,-0.00912546
-178.085500,-0.00911631
-178.060500,-0.00910708
-178.035500,-0.00909778
-178.010500,-0.00908843
-177.985500,-0.00907901
-177.960500,-0.00906954
-177.935500,-0.00906000
-177.910500,-0.00905034
-177.885500,-0.00904063
-177.860500,-0.00903087
-177.835500,-0.00902099
-177.810500,-0.00901096
-177.785500,-0.00900088
-177.760500,-0.00899072
-177.735500,-0.00898045
-177.710500,-0.00897009
-177.685500,-0.00895962
-177.660500,-0.00894905
-177.635500,-0.00893835
-177.610500,-0.00892762
-177.585500,-0.00891682
-177.560500,-0.00890587
-177.535500,-0.00889488
-177.510500,-0.00888385
-177.485500,-0.00887274
-177.460500,-0.00886155
-177.435500,-0.00885032
-177.410500,-0.00883904
-177.385500,-0.00882769
-177.360500,-0.00881631
-177.335500,-0.00880489
-177.310500,-0.00879340
-177.285500,-0.00878187
-177.260500,-0.00877032
-177.235500,-0.00875874
-177.210500,-0.00874710
-177.185500,-0.00873542
-177.160500,-0.00872377
-177.135500,-0.00871208
-177.110500,-0.00870034
-177.085500,-0.00868861
-177.060500,-0.00867689
-177.035500,-0.00866514
-177.010500,-0.00865341
-176.985500,-0.00864169
-176.960500,-0.00862995
-176.935500,-0.00861823
-176.910500,-0.00860649
-176.885500,-0.00859480
-176.860500,-0.00858311
-176.835500,-0.00857145
-176.810500,-0.00855982
-176.785500,-0.00854816
-176.760500,-0.00853657
-176.735500,-0.00852496
-176.710500,-0.00851336
-176.685500,-0.00850178
-176.660500,-0.00849017
-176.635500,-0.00847861
-176.610500,-0.00846705
-176.585500,-0.00845548
-176.560500,-0.00844392
-176.535500,-0.00843236
-176.510500,-0.00842082
-176.485500,-0.00840920
-176.460500,-0.00839757
-176.435500,-0.00838591
-176.410500,-0.00837420
-176.385500,-0.00836250
-176.360500,-0.00835069
-176.335500,-0.00833881
-176.310500,-0.00832684
-176.285500,-0.00831481
-176.260500,-0.00830279
-176.235500,-0.00829063
-176.210500,-0.00827839
-176.185500,-0.00826607
-176.160500,-0.00825364
-176.135500,-0.00824118
-176.110500,-0.00822857
-176.085500,-0.00821590
-176.060500,-0.00820317
-176.035500,-0.00819032
-176.010500,-0.00817749
-175.985500,-0.00816451
-175.960500,-0.00815145
-175.935500,-0.00813838
-175.910500,-0.00812522
-175.885500,-0.00811206
-175.860500,-0.00809883
-175.835500,-0.00808553
-175.810500,-0.00807213
-175.785500,-0.00805865
-175.760500,-0.00804517
-175.735500,-0.00803159
-175.710500,-0.00801795
-175.685500,-0.00800424
-175.660500,-0.00799043
-175.635500,-0.00797660
-175.610500,-0.00796267
-175.585500,-0.00794868
-175.560500,-0.00793461
-175.535500,-0.00792039
-175.510500,-0.00790611
-175.485500,-0.00789169
-175.460500,-0.00787712
-175.435500,-0.00786247
-175.410500,-0.00784768
-175.385500,-0.00783277
-175.360500,-0.00781768
-175.335500,-0.00780244
-175.310500,-0.00778717
-175.285500,-0.00777172
-175.260500,-0.00775616
-175.235500,-0.00774052
-175.210500,-0.00772476
-175.185500,-0.00770895
-175.160500,-0.00769304
-175.135500,-0.00767708
-175.110500,-0.00766106
-175.085500,-0.00764498
-175.060500,-0.00762889
-175.035500,-0.00761274
-175.010500,-0.00759658
-174.985500,-0.00758044
-174.960500,-0.00756429
-174.935500,-0.00754817
-174.910500,-0.00753200
-174.885500,-0.00751589
-174.860500,-0.00749982
-174.835500,-0.00748371
-174.810500,-0.00746760
-174.785500,-0.00745151
-174.760500,-0.00743544
-174.735500,-0.00741936
-174.710500,-0.00740323
-174.685500,-0.00738710
-174.660500,-0.00737100
-174.635500,-0.00735496
-174.610500,-0.00733894
-174.585500,-0.00732288
-174.560500,-0.00730683
-174.535500,-0.00729084
-174.510500,-0.00727482
-174.485500,-0.00725878
-174.460500,-0.00724279
-174.435500,-0.00722678
-174.410500,-0.00721077
-174.385500,-0.00719479
-174.360500,-0.00717882
-174.335500,-0.00716289
-174.310500,-0.00714700
-174.285500,-0.00713111
-174.260500,-0.00711525
-174.235500,-0.00709949
-174.210500,-0.00708379
-174.185500,-0.00706821
-174.160500,-0.00705275
-174.135500,-0.00703729
-174.110500,-0.00702195
-174.085500,-0.00700669
-174.060500,-0.00699150
-174.035500,-0.00697643
-174.010500,-0.00696141
-173.985500,-0.00694647
-173.960500,-0.00693154
-173.935500,-0.00691662
-173.910500,-0.00690177
-173.885500,-0.00688687
-173.860500,-0.00687198
-173.835500,-0.00685706
-173.810500,-0.00684209
-173.785500,-0.00682702
-173.760500,-0.00681184
-173.735500,-0.00679664
-173.710500,-0.00678137
-173.685500,-0.00676591
-173.660500,-0.00675032
-173.635500,-0.00673467
-173.610500,-0.00671883
-173.585500,-0.00670281
-173.560500,-0.00668663
-173.535500,-0.00667026
-173.510500,-0.00665368
-173.485500,-0.00663693
-173.460500,-0.00662004
-173.435500,-0.00660296
-173.410500,-0.00658578
-173.385500,-0.00656844
-173.360500,-0.00655094
-173.335500,-0.00653339
-173.310500,-0.00651567
-173.285500,-0.00649789
-173.260500,-0.00648008
-173.235500,-0.00646208
-173.210500,-0.00644405
-173.185500,-0.00642597
-173.160500,-0.00640779
-173.135500,-0.00638954
-173.110500,-0.00637119
-173.085500,-0.00635272
-173.060500,-0.00633418
-173.035500,-0.00631546
-173.010500,-0.00629655
-172.985500,-0.00627755
-172.960500,-0.00625846
-172.935500,-0.00623923
-172.910500,-0.00621983
-172.885500,-0.00620035
-172.860500,-0.00618080
-172.835500,-0.00616116
-172.810500,-0.00614146
-172.785500,-0.00612173
-172.760500,-0.00610208
-172.735500,-0.00608248
-172.710500,-0.00606295
-172.685500,-0.00604354
-172.660500,-0.00602423
-172.635500,-0.00600502
-172.610500,-0.00598593
-172.585500,-0.00596705
-172.560500,-0.00594828
-172.535500,-0.00592968
-172.510500,-0.00591133
-172.485500,-0.00589312
-172.460500,-0.00587512
-172.435500,-0.00585733
-172.410500,-0.00583973
-172.385500,-0.00582229
-172.360500,-0.00580507
-172.335500,-0.00578807
-172.310500,-0.00577122
-172.285500,-0.00575462
-172.260500,-0.00573824
-172.235500,-0.00572208
-172.210500,-0.00570616
-172.185500,-0.00569043
-172.160500,-0.00567494
-172.135500,-0.00565970
-172.110500,-0.00564473
-172.085500,-0.00563005
-172.060500,-0.00561554
-172.035500,-0.00560133
-172.010500,-0.00558742
-171.985500,-0.00557354
-171.960500,-0.00556001
-171.935500,-0.00554670
-171.910500,-0.00553347
-171.885500,-0.00552060
-171.860500,-0.00550776
-171.835500,-0.00549505
-171.810500,-0.00548256
-171.785500,-0.00547017
-171.760500,-0.00545787
-171.735500,-0.00544559
-171.710500,-0.00543355
-171.685500,-0.00542156
-171.660500,-0.00540956
-171.635500,-0.00539763
-171.610500,-0.00538558
-171.585500,-0.00537358
-171.560500,-0.00536158
-171.535500,-0.00534956
-171.510500,-0.00533742
-171.485500,-0.00532518
-171.460500,-0.00531294
-171.435500,-0.00530043
-171.410500,-0.00528789
-171.385500,-0.00527519
-171.360500,-0.00526223
-171.335500,-0.00524917
-171.310500,-0.00523569
-171.285500,-0.00522183
-171.260500,-0.00520773
-171.235500,-0.00519336
-171.210500,-0.00517849
-171.185500,-0.00516311
-171.160500,-0.00514738
-171.135500,-0.00513109
-171.110500,-0.00511419
-171.085500,-0.00509679
-171.060500,-0.00507876
-171.035500,-0.00506006
-171.010500,-0.00504073
-170.985500,-0.00502081
-170.960500,-0.00500022
-170.935500,-0.00497899
-170.910500,-0.00495716
-170.885500,-0.00493467
-170.860500,-0.00491163
-170.835500,-0.00488797
-170.810500,-0.00486376
-170.785500,-0.00483915
-170.760500,-0.00481392
-170.735500,-0.00478820
-170.710500,-0.00476215
-170.685500,-0.00473568
-170.660500,-0.00470885
-170.635500,-0.00468170
-170.610500,-0.00465431
-170.585500,-0.00462658
-170.560500,-0.00459869
-170.535500,-0.00457083
-170.510500,-0.00454268
-170.485500,-0.00451450
-170.460500,-0.00448643
-170.435500,-0.00445831
-170.410500,-0.00443025
-170.385500,-0.00440223
-170.360500,-0.00437434
-170.335500,-0.00434650
-170.310500,-0.00431866
-170.285500,-0.00429097
-170.260500,-0.00426343
-170.235500,-0.00423597
-170.210500,-0.00420857
-170.185500,-0.00418129
-170.160500,-0.00415409
-170.135500,-0.00412693
-170.110500,-0.00409990
-170.085500,-0.00407313
-170.060500,-0.00404651
-170.035500,-0.00401999
-170.010500,-0.00399391
-169.985500,-0.00396801
-169.960500,-0.00394229
-169.935500,-0.00391702
-169.910500,-0.00389205
-169.885500,-0.00386741
-169.860500,-0.00384305
-169.835500,-0.00381906
-169.810500,-0.00379552
-169.785500,-0.00377221
-169.760500,-0.00374926
-169.735500,-0.00372658
-169.710500,-0.00370408
-169.685500,-0.00368186
-169.660500,-0.00365987
-169.635500,-0.00363798
-169.610500,-0.00361627
-169.585500,-0.00359479
-169.560500,-0.00357330
-169.535500,-0.00355190
-169.510500,-0.00353062
-169.485500,-0.00350935
-169.460500,-0.00348820
-169.435500,-0.00346713
-169.410500,-0.00344610
-169.385500,-0.00342518
-169.360500,-0.00340433
-169.335500,-0.00338359
-169.310500,-0.00336296
-169.285500,-0.00334237
-169.260500,-0.00332182
-169.235500,-0.00330130
-169.210500,-0.00328095
-169.185500,-0.00326067
-169.160500,-0.00324037
-169.135500,-0.00322005
-169.110500,-0.00319959
-169.085500,-0.00317920
-169.060500,-0.00315885
-169.035500,-0.00313832
-169.010500,-0.00311763
-168.985500,-0.00309689
-168.960500,-0.00307616
-168.935500,-0.00305524
-168.910500,-0.00303411
-168.885500,-0.00301298
-168.860500,-0.00299184
-168.835500,-0.00297059
-168.810500,-0.00294926
-168.785500,-0.00292800
-168.760500,-0.00290674
-168.735500,-0.00288558
-168.710500,-0.00286438
-168.685500,-0.00284311
-168.660500,-0.00282214
-168.635500,-0.00280119
