time,displacement
-179.985500,0.00318464
-179.960500,0.00318949
-179.935500,0.00319434
-179.910500,0.00319918
-179.885500,0.00320401
-179.860500,0.00320884
-179.835500,0.00321367
-179.810500,0.00321849
-179.785500,0.00322331
-179.760500,0.00322812
-179.735500,0.00323293
-179.710500,0.00323774
-179.685500,0.00324254
-179.660500,0.00324734
-179.635500,0.00325213
-179.610500,0.00325691
-179.585500,0.00326169
-179.560500,0.00326646
-179.535500,0.00327123
-179.510500,0.00327598
-179.485500,0.00328073
-179.460500,0.00328547
-179.435500,0.00329020
-179.410500,0.00329492
-179.385500,0.00329963
-179.360500,0.00330433
-179.335500,0.00330901
-179.310500,0.00331368
-179.285500,0.00331834
-179.260500,0.00332299
-179.235500,0.00332763
-179.210500,0.00333225
-179.185500,0.00333686
-179.160500,0.00334145
-179.135500,0.00334602
-179.110500,0.00335059
-179.085500,0.00335513
-179.060500,0.00335965
-179.035500,0.00336413
-179.010500,0.00336860
-178.985500,0.00337304
-178.960500,0.00337745
-178.935500,0.00338183
-178.910500,0.00338617
-178.885500,0.00339047
-178.860500,0.00339473
-178.835500,0.00339894
-178.810500,0.00340312
-178.785500,0.00340727
-178.760500,0.00341137
-178.735500,0.00341540
-178.710500,0.00341940
-178.685500,0.00342335
-178.660500,0.00342726
-178.635500,0.00343113
-178.610500,0.00343497
-178.585500,0.00343878
-178.560500,0.00344257
-178.535500,0.00344634
-178.510500,0.00345008
-178.485500,0.00345383
-178.460500,0.00345757
-178.435500,0.00346132
-178.410500,0.00346509
-178.385500,0.00346890
-178.360500,0.00347273
-178.335500,0.00347658
-178.310500,0.00348049
-178.285500,0.00348443
-178.260500,0.00348842
-178.235500,0.00349244
-178.210500,0.00349649
-178.185500,0.00350058
-178.160500,0.00350468
-178.135500,0.00350882
-178.110500,0.00351299
-178.085500,0.00351718
-178.060500,0.00352137
-178.035500,0.00352557
-178.010500,0.00352977
-177.985500,0.00353396
-177.960500,0.00353817
-177.935500,0.00354238
-177.910500,0.00354655
-177.885500,0.00355073
-177.860500,0.00355490
-177.835500,0.00355906
-177.810500,0.00356320
-177.785500,0.00356731
-177.760500,0.00357142
-177.735500,0.00357548
-177.710500,0.00357954
-177.685500,0.00358356
-177.660500,0.00358752
-177.635500,0.00359145
-177.610500,0.00359532
-177.585500,0.00359914
-177.560500,0.00360287
-177.535500,0.00360651
-177.510500,0.00361011
-177.485500,0.00361358
-177.460500,0.00361698
-177.435500,0.00362026
-177.410500,0.00362342
-177.385500,0.00362649
-177.360500,0.00362940
-177.335500,0.00363221
-177.310500,0.00363488
-177.285500,0.00363741
-177.260500,0.00363980
-177.235500,0.00364204
-177.210500,0.00364412
-177.185500,0.00364607
-177.160500,0.00364785
-177.135500,0.00364949
-177.110500,0.00365098
-177.085500,0.00365232
-177.060500,0.00365352
-177.035500,0.00365460
-177.010500,0.00365553
-176.985500,0.00365634
-176.960500,0.00365701
-176.935500,0.00365757
-176.910500,0.00365802
-176.885500,0.00365840
-176.860500,0.00365870
-176.835500,0.00365891
-176.810500,0.00365904
-176.785500,0.00365911
-176.760500,0.00365914
-176.735500,0.00365912
-176.710500,0.00365905
-176.685500,0.00365893
-176.660500,0.00365881
-176.635500,0.00365865
-176.610500,0.00365843
-176.585500,0.00365822
-176.560500,0.00365799
-176.535500,0.00365774
-176.510500,0.00365752
-176.485500,0.00365726
-176.460500,0.00365698
-176.435500,0.00365670
-176.410500,0.00365643
-176.385500,0.00365615
-176.360500,0.00365587
-176.335500,0.00365561
-176.310500,0.00365536
-176.285500,0.00365510
-176.260500,0.00365490
-176.235500,0.00365473
-176.210500,0.00365452
-176.185500,0.00365439
-176.160500,0.00365433
-176.135500,0.00365435
-176.110500,0.00365446
-176.085500,0.00365461
