time,displacement
-179.985462,-0.35369809
-179.960462,-0.35279109
-179.935462,-0.35188394
-179.910462,-0.35097731
-179.885462,-0.35007104
-179.860462,-0.34916482
-179.835462,-0.34825863
-179.810462,-0.34735265
-179.785462,-0.34644699
-179.760462,-0.34554155
-179.735462,-0.34463620
-179.710462,-0.34373099
-179.685462,-0.34282603
-179.660462,-0.34192132
-179.635462,-0.34101680
-179.610462,-0.34011243
-179.585462,-0.33920825
-179.560462,-0.33830432
-179.535462,-0.33740064
-179.510462,-0.33649714
-179.485462,-0.33559382
-179.460462,-0.33469071
-179.435462,-0.33378786
-179.410462,-0.33288523
-179.385462,-0.33198279
-179.360462,-0.33108055
-179.335462,-0.33017855
-179.310462,-0.32927679
-179.285462,-0.32837526
-179.260462,-0.32747392
-179.235462,-0.32657281
-179.210462,-0.32567193
-179.185462,-0.32477130
-179.160462,-0.32387089
-179.135462,-0.32297069
-179.110462,-0.32207072
-179.085462,-0.32117100
-179.060462,-0.32027152
-179.035462,-0.31937226
-179.010462,-0.31847324
-178.985462,-0.31757445
-178.960462,-0.31667591
-178.935462,-0.31577761
-178.910462,-0.31487955
-178.885462,-0.31398172
-178.860462,-0.31308414
-178.835462,-0.31218681
-178.810462,-0.31128973
-178.785462,-0.31039289
-178.760462,-0.30949629
-178.735462,-0.30859995
-178.710462,-0.30770386
-178.685462,-0.30680802
-178.660462,-0.30591244
-178.635462,-0.30501711
-178.610462,-0.30412203
-178.585462,-0.30322721
-178.560462,-0.30233265
-178.535462,-0.30143835
-178.510462,-0.30054432
-178.485462,-0.29965054
-178.460462,-0.29875703
-178.435462,-0.29786379
-178.410462,-0.29697081
-178.385462,-0.29607810
-178.360462,-0.29518565
-178.335462,-0.29429348
-178.310462,-0.29340158
-178.285462,-0.29250995
-178.260462,-0.29161859
-178.235462,-0.29072750
-178.210462,-0.28983668
-178.185462,-0.28894614
-178.160462,-0.28805587
-178.135462,-0.28716589
-178.110462,-0.28627618
-178.085462,-0.28538675
-178.060462,-0.28449761
-178.035462,-0.28360873
-178.010462,-0.28272014
-177.985462,-0.28183183
-177.960462,-0.28094380
-177.935462,-0.28005605
-177.910462,-0.27916859
-177.885462,-0.27828141
-177.860462,-0.27739451
-177.835462,-0.27650789
-177.810462,-0.27562156
-177.785462,-0.27473551
-177.760462,-0.27384975
-177.735462,-0.27296427
-177.710462,-0.27207908
-177.685462,-0.27119418
-177.660462,-0.27030958
-177.635462,-0.26942528
-177.610462,-0.26854127
-177.585462,-0.26765756
-177.560462,-0.26677415
-177.535462,-0.26589104
-177.510462,-0.26500824
-177.485462,-0.26412574
-177.460462,-0.26324355
-177.435462,-0.26236166
-177.410462,-0.26148008
-177.385462,-0.26059880
-177.360462,-0.25971783
-177.335462,-0.25883717
-177.310462,-0.25795681
-177.285462,-0.25707675
-177.260462,-0.25619701
-177.235462,-0.25531758
-177.210462,-0.25443846
-177.185462,-0.25355966
-177.160462,-0.25268118
-177.135462,-0.25180301
-177.110462,-0.25092517
-177.085462,-0.25004764
-177.060462,-0.24917044
-177.035462,-0.24829356
-177.010462,-0.24741700
-176.985462,-0.24654075
-176.960462,-0.24566483
-176.935462,-0.24478922
-176.910462,-0.24391394
-176.885462,-0.24303898
-176.860462,-0.24216436
-176.835462,-0.24129006
-176.810462,-0.24041609
-176.785462,-0.23954245
-176.760462,-0.23866913
-176.735462,-0.23779613
-176.710462,-0.23692347
-176.685462,-0.23605114
-176.660462,-0.23517914
-176.635462,-0.23430747
-176.610462,-0.23343614
-176.585462,-0.23256513
-176.560462,-0.23169446
-176.535462,-0.23082412
-176.510462,-0.22995412
-176.485462,-0.22908446
-176.460462,-0.22821513
-176.435462,-0.22734614
-176.410462,-0.22647749
-176.385462,-0.22560917
-176.360462,-0.22474119
-176.335462,-0.22387355
-176.310462,-0.22300624
-176.285462,-0.22213927
-176.260462,-0.22127264
-176.235462,-0.22040634
-176.210462,-0.21954039
-176.185462,-0.21867480
-176.160462,-0.21780955
-176.135462,-0.21694464
-176.110462,-0.21608007
-176.085462,-0.21521585
-176.060462,-0.21435198
-176.035462,-0.21348846
-176.010462,-0.21262528
-175.985462,-0.21176247
-175.960462,-0.21090001
-175.935462,-0.21003792
-175.910462,-0.20917620
-175.885462,-0.20831483
-175.860462,-0.20745384
-175.835462,-0.20659321
-175.810462,-0.20573295
-175.785462,-0.20487305
-175.760462,-0.20401353
-175.735462,-0.20315438
-175.710462,-0.20229561
-175.685462,-0.20143721
-175.660462,-0.20057919
-175.635462,-0.19972154
-175.610462,-0.19886426
-175.585462,-0.19800737
-175.560462,-0.19715087
-175.535462,-0.19629473
-175.510462,-0.19543898
-175.485462,-0.19458360
-175.460462,-0.19372861
-175.435462,-0.19287401
-175.410462,-0.19201981
-175.385462,-0.19116600
-175.360462,-0.19031259
-175.335462,-0.18945956
-175.310462,-0.18860693
-175.285462,-0.18775469
-175.260462,-0.18690284
-175.235462,-0.18605140
-175.210462,-0.18520036
-175.185462,-0.18434972
-175.160462,-0.18349949
-175.135462,-0.18264966
-175.110462,-0.18180023
-175.085462,-0.18095122
-175.060462,-0.18010260
-175.035462,-0.17925440
-175.010462,-0.17840661
-174.985462,-0.17755922
-174.960462,-0.17671224
-174.935462,-0.17586568
-174.910462,-0.17501952
-174.885462,-0.17417377
-174.860462,-0.17332844
-174.835462,-0.17248351
-174.810462,-0.17163901
-174.785462,-0.17079493
-174.760462,-0.16995127
-174.735462,-0.16910803
-174.710462,-0.16826521
-174.685462,-0.16742282
-174.660462,-0.16658084
-174.635462,-0.16573930
-174.610462,-0.16489818
-174.585462,-0.16405749
-174.560462,-0.16321723
-174.535462,-0.16237740
-174.510462,-0.16153799
-174.485462,-0.16069902
-174.460462,-0.15986048
-174.435462,-0.15902236
-174.410462,-0.15818468
-174.385462,-0.15734743
-174.360462,-0.15651060
-174.335462,-0.15567419
-174.310462,-0.15483821
-174.285462,-0.15400267
-174.260462,-0.15316755
-174.235462,-0.15233287
-174.210462,-0.15149862
-174.185462,-0.15066480
-174.160462,-0.14983142
-174.135462,-0.14899847
-174.110462,-0.14816596
-174.085462,-0.14733390
-174.060462,-0.14650227
-174.035462,-0.14567110
-174.010462,-0.14484037
-173.985462,-0.14401008
-173.960462,-0.14318025
-173.935462,-0.14235089
-173.910462,-0.14152200
-173.885462,-0.14069357
-173.860462,-0.13986560
-173.835462,-0.13903808
-173.810462,-0.13821100
-173.785462,-0.13738439
-173.760462,-0.13655824
-173.735462,-0.13573259
-173.710462,-0.13490740
-173.685462,-0.13408269
-173.660462,-0.13325845
-173.635462,-0.13243468
-173.610462,-0.13161140
-173.585462,-0.13078862
-173.560462,-0.12996632
-173.535462,-0.12914451
-173.510462,-0.12832318
-173.485462,-0.12750234
-173.460462,-0.12668199
-173.435462,-0.12586213
-173.410462,-0.12504275
-173.385462,-0.12422387
-173.360462,-0.12340548
-173.335462,-0.12258758
-173.310462,-0.12177017
-173.285462,-0.12095325
-173.260462,-0.12013682
-173.235462,-0.11932091
-173.210462,-0.11850552
-173.185462,-0.11769064
-173.160462,-0.11687627
-173.135462,-0.11606242
-173.110462,-0.11524907
-173.085462,-0.11443625
-173.060462,-0.11362393
-173.035462,-0.11281214
-173.010462,-0.11200087
-172.985462,-0.11119012
-172.960462,-0.11037990
-172.935462,-0.10957021
-172.910462,-0.10876106
-172.885462,-0.10795242
-172.860462,-0.10714430
-172.835462,-0.10633671
-172.810462,-0.10552963
-172.785462,-0.10472309
-172.760462,-0.10391708
-172.735462,-0.10311160
-172.710462,-0.10230667
-172.685462,-0.10150226
-172.660462,-0.10069837
-172.635462,-0.09989502
-172.610462,-0.09909218
-172.585462,-0.09828987
-172.560462,-0.09748807
-172.535462,-0.09668678
-172.510462,-0.09588603
-172.485462,-0.09508581
-172.460462,-0.09428613
-172.435462,-0.09348700
-172.410462,-0.09268839
-172.385462,-0.09189031
-172.360462,-0.09109275
-172.335462,-0.09029571
-172.310462,-0.08949920
-172.285462,-0.08870323
-172.260462,-0.08790780
-172.235462,-0.08711292
-172.210462,-0.08631857
-172.185462,-0.08552478
-172.160462,-0.08473154
-172.135462,-0.08393886
-172.110462,-0.08314673
-172.085462,-0.08235514
-172.060462,-0.08156410
-172.035462,-0.08077360
-172.010462,-0.07998364
-171.985462,-0.07919423
-171.960462,-0.07840538
-171.935462,-0.07761709
-171.910462,-0.07682934
-171.885462,-0.07604216
-171.860462,-0.07525553
-171.835462,-0.07446946
-171.810462,-0.07368395
-171.785462,-0.07289900
-171.760462,-0.07211460
-171.735462,-0.07133076
-171.710462,-0.07054747
-171.685462,-0.06976475
-171.660462,-0.06898258
-171.635462,-0.06820097
-171.610462,-0.06741993
-171.585462,-0.06663945
-171.560462,-0.06585953
-171.535462,-0.06508016
-171.510462,-0.06430135
-171.485462,-0.06352308
-171.460462,-0.06274537
-171.435462,-0.06196821
-171.410462,-0.06119163
-171.385462,-0.06041561
-171.360462,-0.05964016
-171.335462,-0.05886526
-171.310462,-0.05809090
-171.285462,-0.05731708
-171.260462,-0.05654383
-171.235462,-0.05577115
-171.210462,-0.05499905
-171.185462,-0.05422752
-171.160462,-0.05345655
-171.135462,-0.05268613
-171.110462,-0.05191627
-171.085462,-0.05114698
-171.060462,-0.05037825
-171.035462,-0.04961007
-171.010462,-0.04884245
-170.985462,-0.04807539
-170.960462,-0.04730889
-170.935462,-0.04654296
-170.910462,-0.04577760
-170.885462,-0.04501280
-170.860462,-0.04424857
-170.835462,-0.04348490
-170.810462,-0.04272180
-170.785462,-0.04195928
-170.760462,-0.04119735
-170.735462,-0.04043601
-170.710462,-0.03967525
-170.685462,-0.03891509
-170.660462,-0.03815551
-170.635462,-0.03739651
-170.610462,-0.03663810
-170.585462,-0.03588027
-170.560462,-0.03512302
-170.535462,-0.03436635
-170.510462,-0.03361028
-170.485462,-0.03285480
-170.460462,-0.03209992
-170.435462,-0.03134562
-170.410462,-0.03059192
-170.385462,-0.02983881
-170.360462,-0.02908630
-170.335462,-0.02833441
-170.310462,-0.02758312
-170.285462,-0.02683243
-170.260462,-0.02608232
-170.235462,-0.02533279
-170.210462,-0.02458385
-170.185462,-0.02383551
-170.160462,-0.02308776
-170.135462,-0.02234062
-170.110462,-0.02159409
-170.085462,-0.02084818
-170.060462,-0.02010288
-170.035462,-0.01935822
-170.010462,-0.01861418
-169.985462,-0.01787075
-169.960462,-0.01712793
-169.935462,-0.01638571
-169.910462,-0.01564408
-169.885462,-0.01490304
-169.860462,-0.01416261
-169.835462,-0.01342281
-169.810462,-0.01268365
-169.785462,-0.01194514
-169.760462,-0.01120727
-169.735462,-0.01047005
-169.710462,-0.00973347
-169.685462,-0.00899752
-169.660462,-0.00826219
-169.635462,-0.00752750
-169.610462,-0.00679344
-169.585462,-0.00606004
-169.560462,-0.00532729
-169.535462,-0.00459519
-169.510462,-0.00386376
-169.485462,-0.00313299
-169.460462,-0.00240291
-169.435462,-0.00167351
-169.410462,-0.00094478
-169.385462,-0.00021671
-169.360462,0.00051068
-169.335462,0.00123741
-169.310462,0.00196346
-169.285462,0.00268884
-169.260462,0.00341358
-169.235462,0.00413766
-169.210462,0.00486106
-169.185462,0.00558378
-169.160462,0.00630582
-169.135462,0.00702718
-169.110462,0.00774789
-169.085462,0.00846792
-169.060462,0.00918727
-169.035462,0.00990596
-169.010462,0.01062398
-168.985462,0.01134134
-168.960462,0.01205803
-168.935462,0.01277404
-168.910462,0.01348936
-168.885462,0.01420401
-168.860462,0.01491801
-168.835462,0.01563135
-168.810462,0.01634404
-168.785462,0.01705609
-168.760462,0.01776748
-168.735462,0.01847823
-168.710462,0.01918833
-168.685462,0.01989777
-168.660462,0.02060656
-168.635462,0.02131469
-168.610462,0.02202216
-168.585462,0.02272895
-168.560462,0.02343509
-168.535462,0.02414059
-168.510462,0.02484546
-168.485462,0.02554971
-168.460462,0.02625332
-168.435462,0.02695627
-168.410462,0.02765856
-168.385462,0.02836019
-168.360462,0.02906117
-168.335462,0.02976149
-168.310462,0.03046116
-168.285462,0.03116020
-168.260462,0.03185858
-168.235462,0.03255632
-168.210462,0.03325341
-168.185462,0.03394985
-168.160462,0.03464564
-168.135462,0.03534078
-168.110462,0.03603526
-168.085462,0.03672907
-168.060462,0.03742221
-168.035462,0.03811469
-168.010462,0.03880651
-167.985462,0.03949769
-167.960462,0.04018821
-167.935462,0.04087805
-167.910462,0.04156720
-167.885462,0.04225566
-167.860462,0.04294344
-167.835462,0.04363054
-167.810462,0.04431695
-167.785462,0.04500266
-167.760462,0.04568767
-167.735462,0.04637199
-167.710462,0.04705561
-167.685462,0.04773853
-167.660462,0.04842076
-167.635462,0.04910230
-167.610462,0.04978317
-167.585462,0.05046335
-167.560462,0.05114283
-167.535462,0.05182162
-167.510462,0.05249972
-167.485462,0.05317712
-167.460462,0.05385383
-167.435462,0.05452984
-167.410462,0.05520516
-167.385462,0.05587977
-167.360462,0.05655370
-167.335462,0.05722693
-167.310462,0.05789944
-167.285462,0.05857125
-167.260462,0.05924234
-167.235462,0.05991270
