time,displacement
-179.985462,0.07977047
-179.960462,0.07957131
-179.935462,0.07937210
-179.910462,0.07917301
-179.885462,0.07897400
-179.860462,0.07877499
-179.835462,0.07857598
-179.810462,0.07837702
-179.785462,0.07817812
-179.760462,0.07797927
-179.735462,0.07778043
-179.710462,0.07758162
-179.685462,0.07738286
-179.660462,0.07718415
-179.635462,0.07698548
-179.610462,0.07678683
-179.585462,0.07658823
-179.560462,0.07638968
-179.535462,0.07619117
-179.510462,0.07599270
-179.485462,0.07579427
-179.460462,0.07559588
-179.435462,0.07539754
-179.410462,0.07519924
-179.385462,0.07500098
-179.360462,0.07480276
-179.335462,0.07460459
-179.310462,0.07440646
-179.285462,0.07420838
-179.260462,0.07401033
-179.235462,0.07381233
-179.210462,0.07361437
-179.185462,0.07341647
-179.160462,0.07321860
-179.135462,0.07302077
-179.110462,0.07282299
-179.085462,0.07262526
-179.060462,0.07242758
-179.035462,0.07222994
-179.010462,0.07203234
-178.985462,0.07183479
-178.960462,0.07163729
-178.935462,0.07143983
-178.910462,0.07124242
-178.885462,0.07104506
-178.860462,0.07084775
-178.835462,0.07065049
-178.810462,0.07045328
-178.785462,0.07025611
-178.760462,0.07005900
-178.735462,0.06986194
-178.710462,0.06966493
-178.685462,0.06946797
-178.660462,0.06927106
-178.635462,0.06907421
-178.610462,0.06887741
-178.585462,0.06868067
-178.560462,0.06848397
-178.535462,0.06828734
-178.510462,0.06809076
-178.485462,0.06789423
-178.460462,0.06769777
-178.435462,0.06750136
-178.410462,0.06730500
-178.385462,0.06710871
-178.360462,0.06691247
-178.335462,0.06671629
-178.310462,0.06652017
-178.285462,0.06632411
-178.260462,0.06612810
-178.235462,0.06593215
-178.210462,0.06573626
-178.185462,0.06554043
-178.160462,0.06534466
-178.135462,0.06514895
-178.110462,0.06495329
-178.085462,0.06475769
-178.060462,0.06456215
-178.035462,0.06436668
-178.010462,0.06417127
-177.985462,0.06397591
-177.960462,0.06378062
-177.935462,0.06358539
-177.910462,0.06339022
-177.885462,0.06319511
-177.860462,0.06300005
-177.835462,0.06280506
-177.810462,0.06261012
-177.785462,0.06241525
-177.760462,0.06222043
-177.735462,0.06202567
-177.710462,0.06183096
-177.685462,0.06163632
-177.660462,0.06144173
-177.635462,0.06124720
-177.610462,0.06105273
-177.585462,0.06085831
-177.560462,0.06066395
-177.535462,0.06046965
-177.510462,0.06027541
-177.485462,0.06008123
-177.460462,0.05988710
-177.435462,0.05969304
-177.410462,0.05949903
-177.385462,0.05930507
-177.360462,0.05911117
-177.335462,0.05891732
-177.310462,0.05872353
-177.285462,0.05852980
-177.260462,0.05833613
-177.235462,0.05814251
-177.210462,0.05794894
-177.185462,0.05775544
-177.160462,0.05756199
-177.135462,0.05736860
-177.110462,0.05717526
-177.085462,0.05698198
-177.060462,0.05678876
-177.035462,0.05659560
-177.010462,0.05640249
-176.985462,0.05620944
-176.960462,0.05601645
-176.935462,0.05582351
-176.910462,0.05563063
-176.885462,0.05543780
-176.860462,0.05524503
-176.835462,0.05505232
