time,displacement
-179.985462,0.03563165
-179.960462,0.03554039
-179.935462,0.03544912
-179.910462,0.03535790
-179.885462,0.03526671
-179.860462,0.03517552
-179.835462,0.03508432
-179.810462,0.03499314
-179.785462,0.03490199
-179.760462,0.03481085
-179.735462,0.03471972
-179.710462,0.03462859
-179.685462,0.03453748
-179.660462,0.03444638
-179.635462,0.03435530
-179.610462,0.03426422
-179.585462,0.03417315
-179.560462,0.03408210
-179.535462,0.03399106
-179.510462,0.03390002
-179.485462,0.03380900
-179.460462,0.03371798
-179.435462,0.03362697
-179.410462,0.03353598
-179.385462,0.03344499
-179.360462,0.03335401
-179.335462,0.03326304
-179.310462,0.03317208
-179.285462,0.03308112
-179.260462,0.03299018
-179.235462,0.03289923
-179.210462,0.03280830
-179.185462,0.03271738
-179.160462,0.03262646
-179.135462,0.03253555
-179.110462,0.03244464
-179.085462,0.03235375
-179.060462,0.03226286
-179.035462,0.03217197
-179.010462,0.03208109
-178.985462,0.03199022
-178.960462,0.03189936
-178.935462,0.03180850
-178.910462,0.03171765
-178.885462,0.03162680
-178.860462,0.03153597
-178.835462,0.03144515
-178.810462,0.03135433
-178.785462,0.03126351
-178.760462,0.03117271
-178.735462,0.03108192
-178.710462,0.03099114
-178.685462,0.03090037
-178.660462,0.03080961
-178.635462,0.03071886
-178.610462,0.03062812
-178.585462,0.03053739
-178.560462,0.03044668
-178.535462,0.03035598
-178.510462,0.03026529
-178.485462,0.03017462
-178.460462,0.03008396
-178.435462,0.02999331
-178.410462,0.02990268
-178.385462,0.02981206
-178.360462,0.02972146
-178.335462,0.02963087
-178.310462,0.02954030
-178.285462,0.02944974
-178.260462,0.02935920
-178.235462,0.02926868
-178.210462,0.02917818
-178.185462,0.02908771
-178.160462,0.02899725
-178.135462,0.02890683
-178.110462,0.02881642
-178.085462,0.02872603
-178.060462,0.02863567
-178.035462,0.02854533
-178.010462,0.02845502
-177.985462,0.02836473
-177.960462,0.02827447
-177.935462,0.02818424
-177.910462,0.02809404
-177.885462,0.02800388
-177.860462,0.02791375
-177.835462,0.02782365
-177.810462,0.02773359
-177.785462,0.02764357
-177.760462,0.02755359
-177.735462,0.02746365
-177.710462,0.02737375
-177.685462,0.02728389
-177.660462,0.02719408
-177.635462,0.02710430
-177.610462,0.02701458
-177.585462,0.02692491
-177.560462,0.02683529
-177.535462,0.02674571
-177.510462,0.02665618
-177.485462,0.02656671
-177.460462,0.02647729
-177.435462,0.02638792
-177.410462,0.02629861
-177.385462,0.02620935
-177.360462,0.02612015
-177.335462,0.02603101
-177.310462,0.02594192
-177.285462,0.02585290
-177.260462,0.02576393
-177.235462,0.02567503
-177.210462,0.02558619
