time,displacement
-179.985464,-0.00413422
-179.960464,-0.00412045
-179.935464,-0.00410668
-179.910464,-0.00409291
-179.885464,-0.00407914
-179.860464,-0.00406537
-179.835464,-0.00405160
-179.810464,-0.00403783
-179.785464,-0.00402407
-179.760464,-0.00401031
-179.735464,-0.00399654
-179.710464,-0.00398278
-179.685464,-0.00396902
-179.660464,-0.00395527
-179.635464,-0.00394151
-179.610464,-0.00392776
-179.585464,-0.00391401
-179.560464,-0.00390026
-179.535464,-0.00388652
-179.510464,-0.00387278
-179.485464,-0.00385904
-179.460464,-0.00384530
-179.435464,-0.00383157
-179.410464,-0.00381783
-179.385464,-0.00380411
-179.360464,-0.00379038
-179.335464,-0.00377666
-179.310464,-0.00376294
-179.285464,-0.00374923
-179.260464,-0.00373551
-179.235464,-0.00372181
-179.210464,-0.00370811
-179.185464,-0.00369441
-179.160464,-0.00368072
-179.135464,-0.00366703
-179.110464,-0.00365335
-179.085464,-0.00363967
-179.060464,-0.00362599
-179.035464,-0.00361231
-179.010464,-0.00359864
-178.985464,-0.00358498
-178.960464,-0.00357133
-178.935464,-0.00355768
-178.910464,-0.00354403
-178.885464,-0.00353039
-178.860464,-0.00351674
-178.835464,-0.00350311
-178.810464,-0.00348947
-178.785464,-0.00347584
-178.760464,-0.00346222
-178.735464,-0.00344859
-178.710464,-0.00343497
-178.685464,-0.00342135
-178.660464,-0.00340772
-178.635464,-0.00339410
-178.610464,-0.00338048
-178.585464,-0.00336685
-178.560464,-0.00335323
-178.535464,-0.00333960
-178.510464,-0.00332598
-178.485464,-0.00331235
-178.460464,-0.00329872
-178.435464,-0.00328509
-178.410464,-0.00327146
-178.385464,-0.00325782
-178.360464,-0.00324418
-178.335464,-0.00323053
-178.310464,-0.00321689
-178.285464,-0.00320325
-178.260464,-0.00318961
-178.235464,-0.00317597
-178.210464,-0.00316232
-178.185464,-0.00314866
-178.160464,-0.00313500
-178.135464,-0.00312134
-178.110464,-0.00310767
-178.085464,-0.00309401
-178.060464,-0.00308033
-178.035464,-0.00306666
-178.010464,-0.00305298
-177.985464,-0.00303929
-177.960464,-0.00302560
-177.935464,-0.00301191
-177.910464,-0.00299821
-177.885464,-0.00298452
-177.860464,-0.00297083
-177.835464,-0.00295713
-177.810464,-0.00294344
-177.785464,-0.00292975
-177.760464,-0.00291605
-177.735464,-0.00290235
-177.710464,-0.00288864
-177.685464,-0.00287493
-177.660464,-0.00286122
-177.635464,-0.00284750
-177.610464,-0.00283378
-177.585464,-0.00282005
-177.560464,-0.00280632
-177.535464,-0.00279259
-177.510464,-0.00277886
-177.485464,-0.00276513
-177.460464,-0.00275139
-177.435464,-0.00273766
-177.410464,-0.00272393
-177.385464,-0.00271020
-177.360464,-0.00269646
-177.335464,-0.00268271
-177.310464,-0.00266897
-177.285464,-0.00265522
-177.260464,-0.00264147
-177.235464,-0.00262773
-177.210464,-0.00261398
-177.185464,-0.00260023
-177.160464,-0.00258648
-177.135464,-0.00257271
-177.110464,-0.00255894
-177.085464,-0.00254517
-177.060464,-0.00253141
-177.035464,-0.00251764
-177.010464,-0.00250388
-176.985464,-0.00249012
-176.960464,-0.00247635
-176.935464,-0.00246258
-176.910464,-0.00244882
-176.885464,-0.00243504
-176.860464,-0.00242127
-176.835464,-0.00240750
-176.810464,-0.00239374
-176.785464,-0.00237998
-176.760464,-0.00236622
-176.735464,-0.00235246
-176.710464,-0.00233871
-176.685464,-0.00232496
-176.660464,-0.00231122
-176.635464,-0.00229749
-176.610464,-0.00228376
-176.585464,-0.00227005
-176.560464,-0.00225633
-176.535464,-0.00224261
-176.510464,-0.00222889
-176.485464,-0.00221517
-176.460464,-0.00220147
-176.435464,-0.00218778
-176.410464,-0.00217410
-176.385464,-0.00216043
-176.360464,-0.00214676
-176.335464,-0.00213310
-176.310464,-0.00211945
-176.285464,-0.00210581
-176.260464,-0.00209217
-176.235464,-0.00207853
-176.210464,-0.00206490
-176.185464,-0.00205127
-176.160464,-0.00203766
-176.135464,-0.00202405
-176.110464,-0.00201045
-176.085464,-0.00199686
-176.060464,-0.00198329
-176.035464,-0.00196973
-176.010464,-0.00195619
-175.985464,-0.00194266
-175.960464,-0.00192913
-175.935464,-0.00191562
-175.910464,-0.00190210
-175.885464,-0.00188859
-175.860464,-0.00187507
-175.835464,-0.00186156
-175.810464,-0.00184805
-175.785464,-0.00183454
-175.760464,-0.00182104
-175.735464,-0.00180755
-175.710464,-0.00179406
-175.685464,-0.00178057
-175.660464,-0.00176707
-175.635464,-0.00175357
-175.610464,-0.00174007
-175.585464,-0.00172658
-175.560464,-0.00171310
-175.535464,-0.00169962
-175.510464,-0.00168615
-175.485464,-0.00167269
-175.460464,-0.00165923
-175.435464,-0.00164578
-175.410464,-0.00163234
-175.385464,-0.00161891
-175.360464,-0.00160549
-175.335464,-0.00159209
-175.310464,-0.00157869
-175.285464,-0.00156529
-175.260464,-0.00155190
-175.235464,-0.00153853
-175.210464,-0.00152518
-175.185464,-0.00151185
-175.160464,-0.00149854
-175.135464,-0.00148525
-175.110464,-0.00147198
-175.085464,-0.00145872
-175.060464,-0.00144546
-175.035464,-0.00143222
-175.010464,-0.00141900
-174.985464,-0.00140580
-174.960464,-0.00139262
-174.935464,-0.00137947
-174.910464,-0.00136632
-174.885464,-0.00135320
-174.860464,-0.00134011
-174.835464,-0.00132704
-174.810464,-0.00131400
-174.785464,-0.00130099
