time,displacement
-179.985464,0.00345529
-179.960464,0.00344505
-179.935464,0.00343482
-179.910464,0.00342459
-179.885464,0.00341436
-179.860464,0.00340415
-179.835464,0.00339393
-179.810464,0.00338373
-179.785464,0.00337353
-179.760464,0.00336334
-179.735464,0.00335316
-179.710464,0.00334298
-179.685464,0.00333281
-179.660464,0.00332265
-179.635464,0.00331249
-179.610464,0.00330234
-179.585464,0.00329220
-179.560464,0.00328207
-179.535464,0.00327195
-179.510464,0.00326183
-179.485464,0.00325172
-179.460464,0.00324161
-179.435464,0.00323152
-179.410464,0.00322143
-179.385464,0.00321136
-179.360464,0.00320129
-179.335464,0.00319123
-179.310464,0.00318118
-179.285464,0.00317114
-179.260464,0.00316110
-179.235464,0.00315107
-179.210464,0.00314105
-179.185464,0.00313104
-179.160464,0.00312103
-179.135464,0.00311103
-179.110464,0.00310104
-179.085464,0.00309106
-179.060464,0.00308108
-179.035464,0.00307112
-179.010464,0.00306116
-178.985464,0.00305121
-178.960464,0.00304127
-178.935464,0.00303133
-178.910464,0.00302140
-178.885464,0.00301149
-178.860464,0.00300158
-178.835464,0.00299168
-178.810464,0.00298179
-178.785464,0.00297190
-178.760464,0.00296202
-178.735464,0.00295214
-178.710464,0.00294227
-178.685464,0.00293241
-178.660464,0.00292255
-178.635464,0.00291270
-178.610464,0.00290285
-178.585464,0.00289301
-178.560464,0.00288317
-178.535464,0.00287334
-178.510464,0.00286351
-178.485464,0.00285368
-178.460464,0.00284385
-178.435464,0.00283403
-178.410464,0.00282421
-178.385464,0.00281439
-178.360464,0.00280457
-178.335464,0.00279476
-178.310464,0.00278495
-178.285464,0.00277515
-178.260464,0.00276534
-178.235464,0.00275553
-178.210464,0.00274572
-178.185464,0.00273593
-178.160464,0.00272614
-178.135464,0.00271635
-178.110464,0.00270656
-178.085464,0.00269677
-178.060464,0.00268698
-178.035464,0.00267719
-178.010464,0.00266741
-177.985464,0.00265763
-177.960464,0.00264785
-177.935464,0.00263808
-177.910464,0.00262830
-177.885464,0.00261853
-177.860464,0.00260875
-177.835464,0.00259897
-177.810464,0.00258919
-177.785464,0.00257942
-177.760464,0.00256965
-177.735464,0.00255988
-177.710464,0.00255011
-177.685464,0.00254035
-177.660464,0.00253058
-177.635464,0.00252081
-177.610464,0.00251105
-177.585464,0.00250129
-177.560464,0.00249153
-177.535464,0.00248177
-177.510464,0.00247202
-177.485464,0.00246226
-177.460464,0.00245250
-177.435464,0.00244274
-177.410464,0.00243298
-177.385464,0.00242322
-177.360464,0.00241346
-177.335464,0.00240370
-177.310464,0.00239394
-177.285464,0.00238417
-177.260464,0.00237439
-177.235464,0.00236461
-177.210464,0.00235482
-177.185464,0.00234503
-177.160464,0.00233523
-177.135464,0.00232543
-177.110464,0.00231563
-177.085464,0.00230582
-177.060464,0.00229600
-177.035464,0.00228618
-177.010464,0.00227635
-176.985464,0.00226651
-176.960464,0.00225666
-176.935464,0.00224681
-176.910464,0.00223694
-176.885464,0.00222707
-176.860464,0.00221720
-176.835464,0.00220733
-176.810464,0.00219746
-176.785464,0.00218758
-176.760464,0.00217771
-176.735464,0.00216782
-176.710464,0.00215793
-176.685464,0.00214803
-176.660464,0.00213813
-176.635464,0.00212823
-176.610464,0.00211833
-176.585464,0.00210842
-176.560464,0.00209850
-176.535464,0.00208859
-176.510464,0.00207867
-176.485464,0.00206875
-176.460464,0.00205882
-176.435464,0.00204890
-176.410464,0.00203897
-176.385464,0.00202903
-176.360464,0.00201909
-176.335464,0.00200913
-176.310464,0.00199919
-176.285464,0.00198924
-176.260464,0.00197930
-176.235464,0.00196937
-176.210464,0.00195943
-176.185464,0.00194949
-176.160464,0.00193955
-176.135464,0.00192961
-176.110464,0.00191968
-176.085464,0.00190976
-176.060464,0.00189984
-176.035464,0.00188994
-176.010464,0.00188004
-175.985464,0.00187015
-175.960464,0.00186026
-175.935464,0.00185039
-175.910464,0.00184053
-175.885464,0.00183069
-175.860464,0.00182086
-175.835464,0.00181106
-175.810464,0.00180127
-175.785464,0.00179150
-175.760464,0.00178173
-175.735464,0.00177198
-175.710464,0.00176224
-175.685464,0.00175251
-175.660464,0.00174280
-175.635464,0.00173311
-175.610464,0.00172346
-175.585464,0.00171383
-175.560464,0.00170422
-175.535464,0.00169461
-175.510464,0.00168500
-175.485464,0.00167542
-175.460464,0.00166586
-175.435464,0.00165633
-175.410464,0.00164682
-175.385464,0.00163733
-175.360464,0.00162786
-175.335464,0.00161842
-175.310464,0.00160899
-175.285464,0.00159958
