time,displacement
-179.985464,-0.00914782
-179.960464,-0.00912426
-179.935464,-0.00910070
-179.910464,-0.00907714
-179.885464,-0.00905361
-179.860464,-0.00903007
-179.835464,-0.00900654
-179.810464,-0.00898301
-179.785464,-0.00895950
-179.760464,-0.00893599
-179.735464,-0.00891249
-179.710464,-0.00888900
-179.685464,-0.00886551
-179.660464,-0.00884203
-179.635464,-0.00881855
-179.610464,-0.00879509
-179.585464,-0.00877163
-179.560464,-0.00874817
-179.535464,-0.00872473
-179.510464,-0.00870129
-179.485464,-0.00867786
-179.460464,-0.00865443
-179.435464,-0.00863101
-179.410464,-0.00860760
-179.385464,-0.00858419
-179.360464,-0.00856079
-179.335464,-0.00853739
-179.310464,-0.00851401
-179.285464,-0.00849063
-179.260464,-0.00846725
-179.235464,-0.00844389
-179.210464,-0.00842053
-179.185464,-0.00839718
-179.160464,-0.00837384
-179.135464,-0.00835051
-179.110464,-0.00832718
-179.085464,-0.00830386
-179.060464,-0.00828055
-179.035464,-0.00825724
-179.010464,-0.00823394
-178.985464,-0.00821065
-178.960464,-0.00818737
-178.935464,-0.00816409
-178.910464,-0.00814083
-178.885464,-0.00811757
-178.860464,-0.00809433
-178.835464,-0.00807110
-178.810464,-0.00804787
-178.785464,-0.00802465
-178.760464,-0.00800144
-178.735464,-0.00797823
-178.710464,-0.00795504
-178.685464,-0.00793185
-178.660464,-0.00790868
-178.635464,-0.00788552
-178.610464,-0.00786236
-178.585464,-0.00783922
-178.560464,-0.00781609
-178.535464,-0.00779297
-178.510464,-0.00776986
-178.485464,-0.00774677
-178.460464,-0.00772368
-178.435464,-0.00770061
-178.410464,-0.00767755
-178.385464,-0.00765451
-178.360464,-0.00763148
-178.335464,-0.00760846
-178.310464,-0.00758545
-178.285464,-0.00756246
-178.260464,-0.00753948
-178.235464,-0.00751652
-178.210464,-0.00749357
-178.185464,-0.00747063
-178.160464,-0.00744771
-178.135464,-0.00742481
-178.110464,-0.00740192
-178.085464,-0.00737905
-178.060464,-0.00735619
-178.035464,-0.00733335
-178.010464,-0.00731052
-177.985464,-0.00728771
